,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-13,,,,,,,,,137,50,250,137,50,250,137,50,250,1.7355546194999998
1,2020-02-14,,,,,,,,,137,50,250,274,100,500,274,100,500,1.7349443883700002
2,2020-02-15,,,,,,,,,137,50,250,411,150,750,411,150,750,1.73480941698
3,2020-02-16,,,,,,,,,137,50,250,548,200,1000,548,200,1000,1.73464462873
4,2020-02-17,,,,,,,,,137,50,250,685,250,1250,685,250,1250,1.7344434543
5,2020-02-18,,,,,,,,,137,50,250,823,300,1500,823,300,1500,1.7341978854099998
6,2020-02-19,,,,,,,,,137,50,250,960,350,1750,960,350,1750,1.7338981637
7,2020-02-20,,,,,,,,,137,50,250,1097,400,2000,1097,400,2000,1.7335324041
8,2020-02-21,,,,,,,,,137,50,250,1234,450,2250,1234,450,2250,1.7330861398299997
9,2020-02-22,,,,,,,,,353,139,649,1587,589,2899,1587,589,2899,1.7325016018200001
10,2020-02-23,,,,,,,,,351,139,645,1938,729,3543,1938,729,3543,1.73183273935
11,2020-02-24,,,,,,,,,367,146,674,2305,876,4217,2305,876,4217,1.73101034688
12,2020-02-25,,,,,,,,,400,162,733,2705,1038,4949,2705,1038,4949,1.73001107496
13,2020-02-26,,,,,,,,,469,194,857,3173,1233,5806,3173,1233,5806,1.7287961098500002
14,2020-02-27,,,,,,,,,576,245,1050,3749,1478,6855,3749,1478,6855,1.7273186481099998
15,2020-02-28,,,,,,,,,658,284,1196,4270,1713,7801,4407,1763,8051,1.7255215855000001
16,2020-02-29,,,,,,,,,729,320,1318,4862,1983,8868,5137,2083,9368,1.7233362506
17,2020-03-01,,,,,,,,,812,362,1459,5538,2295,10077,5949,2445,10827,1.72068264659
18,2020-03-02,,,,,,,,,912,414,1622,6312,2659,11448,6861,2859,12448,1.7174639291100002
19,2020-03-03,,,,,,,,,1036,479,1825,7212,3089,13023,7897,3339,14273,1.7135627498600001
20,2020-03-04,,,,,,,,,1168,549,2033,8243,3589,14806,9065,3889,16306,1.7088382147999999
21,2020-03-05,,,,,,,,,1303,623,2238,9409,4163,16793,10368,4513,18543,1.70312099288
22,2020-03-06,,,,,,,,,1449,705,2448,10721,4818,18991,11818,5218,20991,1.6962087214500001
23,2020-03-07,,,,,,,,,1612,797,2671,12195,5566,21411,13429,6016,23661,1.68785871854
24,2020-03-08,2.0,2.0,,,,,,,1794,904,2910,13637,6330,23672,15223,6920,26570,1.6777803577000001
25,2020-03-09,0.0,2.0,,,,,,,1993,1022,3156,15278,7213,26183,17216,7942,29725,1.6656289343200001
26,2020-03-10,0.0,2.0,,,,,,,2203,1152,3464,17114,8218,28973,19419,9094,33189,1.65100442137
27,2020-03-11,0.0,2.0,,,,,,,2426,1294,3813,19140,9350,32053,21845,10389,37002,1.6334622593299999
28,2020-03-12,0.0,2.0,,,,,,,2661,1451,4084,21333,10607,35280,24506,11840,41085,1.6125451842899998
29,2020-03-13,0.0,2.0,,,,,,,2908,1624,4453,23666,11986,38684,27414,13464,45538,1.58784372311
30,2020-03-14,0.0,2.0,,,,,,,3162,1813,4862,26169,13514,42349,30577,15278,50399,1.5590817378400001
31,2020-03-15,1.0,3.0,,,,,,,3417,2017,5062,28857,15212,46093,33993,17295,55461,1.5262052319100001
32,2020-03-16,0.0,3.0,,,,,,,3667,2235,5426,31711,17085,50061,37660,19531,60887,1.48944403238
