,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-01,,,,,,,,,81,50,100,81,50,100,81,50,100,1.21654267963
1,2020-03-02,,,,,,,,,81,50,100,163,100,200,163,100,200,1.21653626113
2,2020-03-03,,,,,,,,,81,50,100,244,150,300,244,150,300,1.21653483582
3,2020-03-04,,,,,,,,,81,50,100,325,200,400,325,200,400,1.2165330934799998
4,2020-03-05,,,,,,,,,81,50,100,406,250,500,406,250,500,1.21653096341
5,2020-03-06,,,,,,,,,81,50,100,488,300,600,488,300,600,1.21652835907
6,2020-03-07,,,,,,,,,81,50,100,569,350,700,569,350,700,1.21652517456
7,2020-03-08,,,,,,,,,81,50,100,650,400,800,650,400,800,1.2165212801799998
8,2020-03-09,,,,,,,,,81,50,100,731,450,900,731,450,900,1.21651651713
9,2020-03-10,,,,,,,,,180,119,220,911,569,1120,911,569,1120,1.2163860102500001
10,2020-03-11,,,,,,,,,179,119,219,1090,689,1339,1090,689,1339,1.21636329717
11,2020-03-12,,,,,,,,,184,123,225,1273,813,1564,1273,813,1564,1.216320106
12,2020-03-13,,,,,,,,,195,132,239,1468,946,1803,1468,946,1803,1.21627513437
13,2020-03-14,,,,,,,,,218,152,267,1686,1098,2069,1686,1098,2069,1.21622679787
14,2020-03-15,,,,,,,,,254,182,310,1940,1280,2378,1940,1280,2378,1.21617342267
15,2020-03-16,,,,,,,,,280,204,342,2139,1435,2620,2220,1485,2720,1.21611200778
16,2020-03-17,,,,,,,,,301,223,366,2358,1608,2885,2521,1708,3085,1.21603928418
17,2020-03-18,,,,,,,,,322,243,392,2599,1801,3177,2843,1951,3477,1.21595605112
18,2020-03-19,,,,,,,,,346,266,421,2864,2018,3497,3189,2218,3897,1.21586229073
19,2020-03-20,,,,,,,,,376,296,456,3159,2265,3853,3565,2515,4353,1.2157562150399999
20,2020-03-21,,,,,,,,,406,326,492,3483,2541,4244,3971,2841,4844,1.2156355568200001
21,2020-03-22,,,,,,,,,434,356,526,3836,2847,4669,4405,3197,5369,1.215496935
22,2020-03-23,,,,,,,,,463,387,559,4218,3184,5128,4868,3584,5928,1.21533748759
23,2020-03-24,,,,,,,,,493,420,594,4629,3555,5621,5360,4005,6521,1.21515401693
24,2020-03-25,1.0,1.0,,,,,,,525,457,632,4974,3892,6033,5885,4462,7153,1.21494229903
25,2020-03-26,0.0,1.0,,,,,,,558,497,671,5353,4270,6484,6443,4960,7823,1.2146968823200002
26,2020-03-27,2.0,3.0,,,,,,,592,531,711,5762,4678,6970,7035,5492,8534,1.21441088296
27,2020-03-28,0.0,3.0,,,,,,,627,562,752,6195,5108,7483,7663,6054,9285,1.21407606642
28,2020-03-29,1.0,4.0,,,,,,,663,593,793,6640,5548,8010,8326,6647,10078,1.2136825403799998
29,2020-03-30,2.0,6.0,,,,,,,701,625,837,7087,5991,8537,9027,7272,10914,1.21321815732
30,2020-03-31,1.0,7.0,,,,,,,740,658,882,7546,6445,9076,9766,7930,11796,1.21266793451
31,2020-04-01,2.0,9.0,,,,,,,780,692,928,8025,6914,9639,10546,8622,12723,1.2120134119700001
32,2020-04-02,2.0,11.0,,,,,,,821,726,976,8524,7397,10222,11367,9349,13699,1.21123199534
33,2020-04-03,0.0,11.0,,,,,,,864,762,1025,9041,7893,10827,12230,10112,14724,1.2102961217700001
34,2020-04-04,3.0,14.0,,,,,,,907,798,1076,9573,8395,11447,13138,10910,15799,1.20917219725
35,2020-04-05,4.0,18.0,,,,,,,953,835,1128,10120,8904,12084,14090,11746,16927,1.20781936764
36,2020-04-06,7.0,25.0,,,,,,,999,872,1182,10685,9421,12740,15089,12618,18109,1.2061881609
37,2020-04-07,0.0,25.0,,,,,,,1047,910,1238,11268,9944,13419,16136,13529,19346,1.2042190619700002
38,2020-04-08,2.0,27.0,,,,,,,1095,949,1297,11871,10473,14122,17231,14478,20643,1.2018410896
39,2020-04-09,2.0,29.0,,,,,,,1145,987,1382,12491,11003,14873,18376,15466,22025,1.19897052452
40,2020-04-10,2.0,31.0,,,,,,,1195,1025,1469,13127,11531,15671,19570,16491,23494,1.1955100874299998
41,2020-04-11,3.0,34.0,,,,,,,1245,1063,1555,13780,12062,16516,20815,17554,25049,1.19134901977
42,2020-04-12,7.0,41.0,,,,,,,1295,1099,1636,14448,12600,17400,22111,18654,26684,1.18636467934
43,2020-04-13,0.0,41.0,,,,,,,1345,1135,1722,15130,13142,18328,23456,19790,28406,1.18042635118
