,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-21,,,,,,,,,56,25,75,56,25,75,56,25,75,1.85233817447
1,2020-02-22,,,,,,,,,56,25,75,112,50,150,112,50,150,1.8471193961099996
2,2020-02-23,,,,,,,,,56,25,75,167,75,225,167,75,225,1.8459640224
3,2020-02-24,,,,,,,,,56,25,75,223,100,300,223,100,300,1.8445526134099999
4,2020-02-25,,,,,,,,,56,25,75,279,125,375,279,125,375,1.8428281620700002
5,2020-02-26,,,,,,,,,56,25,75,335,150,450,335,150,450,1.84072073311
6,2020-02-27,,,,,,,,,56,25,75,391,175,525,391,175,525,1.8381443508400002
7,2020-02-28,,,,,,,,,56,25,75,446,200,600,446,200,600,1.8349930208099996
8,2020-02-29,,,,,,,,,56,25,75,502,225,675,502,225,675,1.8311355929700002
9,2020-03-01,,,,,,,,,154,74,225,656,299,900,656,299,900,1.8263211503499999
10,2020-03-02,,,,,,,,,153,74,224,809,373,1123,809,373,1123,1.82051138243
11,2020-03-03,,,,,,,,,161,78,238,970,451,1361,970,451,1361,1.8133543026199999
12,2020-03-04,,,,,,,,,177,87,266,1147,539,1626,1147,539,1626,1.8045495132599998
13,2020-03-05,,,,,,,,,211,106,324,1358,646,1949,1358,646,1949,1.7936940809200002
14,2020-03-06,,,,,,,,,263,136,410,1622,782,2359,1622,782,2359,1.78029066574
15,2020-03-07,,,,,,,,,303,159,471,1869,917,2754,1924,942,2829,1.76374103587
16,2020-03-08,,,,,,,,,336,179,520,2149,1072,3198,2261,1122,3348,1.7433660229700003
17,2020-03-09,,,,,,,,,374,204,576,2467,1251,3699,2635,1326,3924,1.71847082242
18,2020-03-10,,,,,,,,,419,234,658,2830,1461,4281,3053,1561,4581,1.68844986835
19,2020-03-11,,,,,,,,,472,272,761,3246,1709,4966,3525,1834,5341,1.65294006809
20,2020-03-12,,,,,,,,,522,310,848,3713,1994,5739,4047,2144,6189,1.6119691511200003
21,2020-03-13,,,,,,,,,569,349,912,4226,2319,6575,4616,2494,7100,1.56602512609
22,2020-03-14,,,,,,,,,613,383,938,4782,2678,7438,5229,2878,8038,1.5160163740900001
23,2020-03-15,,,,,,,,,655,414,953,5382,3067,8315,5884,3292,8990,1.4631438277000002
24,2020-03-16,1.0,1.0,,,,,,,698,444,1015,5926,3437,9105,6582,3737,10004,1.40875349144
25,2020-03-17,0.0,1.0,,,,,,,736,484,1031,6509,3847,9912,7318,4221,11035,1.3542168644900001
