,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-24,,,,,,,,,147,50,250,147,50,250,147,50,250,1.98008059868
1,2020-02-25,,,,,,,,,147,50,250,295,100,500,295,100,500,1.9782842605000002
2,2020-02-26,,,,,,,,,147,50,250,442,150,750,442,150,750,1.97788764053
3,2020-02-27,,,,,,,,,147,50,250,589,200,1000,589,200,1000,1.97740374124
4,2020-02-28,,,,,,,,,147,50,250,737,250,1250,737,250,1250,1.9768134972599998
5,2020-02-29,,,,,,,,,147,50,250,884,300,1500,884,300,1500,1.9760937461
6,2020-03-01,,,,,,,,,147,50,250,1031,350,1750,1031,350,1750,1.9752163795400002
7,2020-03-02,,,,,,,,,147,50,250,1179,400,2000,1179,400,2000,1.9741473339200002
8,2020-03-03,,,,,,,,,147,50,250,1326,450,2250,1326,450,2250,1.9728453952400002
9,2020-03-04,,,,,,,,,416,159,700,1742,609,2950,1742,609,2950,1.9710831901900003
10,2020-03-05,,,,,,,,,414,158,698,2156,768,3647,2156,768,3647,1.96913394569
11,2020-03-06,,,,,,,,,437,170,735,2592,938,4382,2592,938,4382,1.96672889505
12,2020-03-07,,,,,,,,,484,193,813,3077,1131,5195,3077,1131,5195,1.96382336095
13,2020-03-08,,,,,,,,,583,241,975,3660,1372,6169,3660,1372,6169,1.96031048783
14,2020-03-09,,,,,,,,,738,316,1227,4398,1688,7395,4398,1688,7395,1.95606404899
15,2020-03-10,,,,,,,,,859,376,1426,5109,2015,8570,5257,2065,8820,1.9509311949300001
16,2020-03-11,,,,,,,,,968,434,1601,5930,2400,9921,6224,2500,10421,1.9447327780900001
17,2020-03-12,,,,,,,,,1100,506,1816,6882,2857,11487,7324,3007,12237,1.9372740079
18,2020-03-13,,,,,,,,,1261,598,2076,7995,3405,13312,8585,3605,14312,1.92832380817
19,2020-03-14,,,,,,,,,1464,714,2403,9312,4070,15465,10049,4320,16715,1.9176083881900001
20,2020-03-15,,,,,,,,,1680,841,2753,10844,4862,17967,11728,5162,19467,1.90481229677
21,2020-03-16,,,,,,,,,1905,978,3119,12602,5790,20836,13633,6140,22586,1.8895748929700003
22,2020-03-17,,,,,,,,,2150,1133,3568,14605,6874,24154,15783,7274,26154,1.8714970440799998
23,2020-03-18,,,,,,,,,2425,1311,4043,16882,8136,27946,18208,8586,30196,1.8501441860599999
24,2020-03-19,1.0,1.0,,,,,,,2731,1516,4490,19198,9493,31736,20940,10102,34686,1.8250629498
25,2020-03-20,1.0,2.0,,,,,,,3060,1742,4981,21844,11076,36019,23999,11844,39666,1.7958171662599998
26,2020-03-21,0.0,2.0,,,,,,,3402,1986,5447,24809,12892,40731,27401,13831,45112,1.7620399760499998
27,2020-03-22,1.0,3.0,,,,,,,3755,2248,5896,28079,14947,45813,31156,16079,51007,1.7234934913900002
28,2020-03-23,0.0,3.0,,,,,,,4117,2528,6314,31613,17235,51153,35274,18607,57321,1.6801186396399999
29,2020-03-24,1.0,4.0,,,,,,,4483,2824,6817,35359,19743,56742,39757,21432,64137,1.63206963721
30,2020-03-25,0.0,4.0,,,,,,,4844,3130,7022,39344,22496,62339,44601,24562,71159,1.57974059614
31,2020-03-26,0.0,4.0,,,,,,,5186,3370,7419,43563,25433,68157,49787,27933,78578,1.52379333458
32,2020-03-27,1.0,5.0,,,,,,,5503,3679,7734,47966,28605,74075,55290,31612,86311,1.46518544494
33,2020-03-28,0.0,5.0,,,,,,,5786,3898,7819,52491,31905,79818,61076,35511,94129,1.4051800879499998
34,2020-03-29,5.0,10.0,,,,,,,6032,4070,8131,57059,35261,85545,67108,39581,102259,1.34530729181
35,2020-03-30,5.0,15.0,,,,,,,6236,4231,8300,61615,38650,91092,73344,43813,110558,1.28724781104
36,2020-03-31,3.0,18.0,,,,,,,6398,4371,8574,66108,42043,96546,79741,48184,119132,1.23263525625
37,2020-04-01,13.0,31.0,,,,,,,6519,4512,8752,70477,45423,101730,86260,52697,127883,1.1828199653
38,2020-04-02,5.0,36.0,,,,,,,6605,4622,8831,74657,48734,106518,92865,57320,136714,1.13867734584
39,2020-04-03,7.0,43.0,,,,,,,6660,4628,8831,78585,51845,110859,99525,61948,145545,1.10053358703
40,2020-04-04,11.0,54.0,,,,,,,6689,4620,8777,82214,54724,114656,106213,66569,154321,1.06822422246
41,2020-04-05,13.0,67.0,,,,,,,6696,4604,8752,85508,57343,117961,112909,71174,163073,1.0412417334200001
42,2020-04-06,24.0,91.0,,,,,,,6684,4601,8697,88436,59696,120762,119593,75775,171769,1.01890455282
43,2020-04-07,12.0,103.0,,,,,,,6656,4632,8649,90975,61800,123097,126249,80407,180417,1.00049442874
44,2020-04-08,21.0,124.0,,,,,,,6616,4652,8449,93108,63627,124729,132865,85060,188866,0.9853414421310001
45,2020-04-09,14.0,138.0,,,,,,,6565,4620,8361,94830,65117,126067,139430,89680,197226,0.9728623553710001
46,2020-04-10,33.0,171.0,,,,,,,6506,4578,8278,96149,66325,126927,145936,94259,205504,0.9625685588799999
47,2020-04-11,35.0,206.0,,,,,,,6440,4554,8189,97087,67201,127382,152376,98814,213693,0.954058735589
48,2020-04-12,30.0,236.0,,,,,,,6368,4529,8098,97669,67832,127661,158745,103344,221790,0.9470060714030001
49,2020-04-13,26.0,262.0,,,,,,,6292,4503,7994,97929,68265,127525,165037,107847,229784,0.941145032816
50,2020-04-14,40.0,302.0,,,,,,,6213,4474,7888,97906,68508,127113,171250,112321,237671,0.936259712079
51,2020-04-15,9.0,311.0,,,,,,,6131,4433,7827,97640,68570,126367,177381,116755,245498,0.932174219273
52,2020-04-16,8.0,319.0,,,,,,,6048,4393,7678,97168,68451,125293,183429,121149,253176,0.928744976593
53,2020-04-17,15.0,334.0,,,,,,,5963,4354,7541,96526,68182,124003,189391,125503,260716,0.925854585866
54,2020-04-18,87.0,421.0,,,,,,,5877,4329,7403,95743,67884,122575,195268,129833,268119,0.9234069379269999
55,2020-04-19,40.0,461.0,,,,,,,5790,4268,7322,94845,67532,121120,201058,134101,275441,0.9213232889290001
56,2020-04-20,121.0,582.0,,,,,,,5704,4189,7239,93853,67117,119608,206762,138291,282680,0.919539092015
57,2020-04-21,70.0,652.0,,,,,,,5617,4083,7155,92787,66599,118065,212380,142375,289834,0.918001425032
58,2020-04-22,46.0,698.0,,,,,,,5531,4014,7068,91662,65981,116485,217911,146389,296902,0.9166668936329999
59,2020-04-23,50.0,748.0,,,,,,,5445,3970,6981,90491,65300,115017,223356,150360,303882,0.9154999167710001
