,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-03,,,,,,,,,18,10,33,18,10,33,18,10,33,1.36257309942
1,2020-03-04,,,,,,,,,18,10,33,35,20,65,35,20,65,1.3594272115200001
2,2020-03-05,,,,,,,,,18,10,33,53,30,97,53,30,97,1.3587082713999998
3,2020-03-06,,,,,,,,,18,10,33,71,40,129,71,40,129,1.35782401189
4,2020-03-07,,,,,,,,,18,10,33,88,50,161,88,50,161,1.35673650785
5,2020-03-08,,,,,,,,,18,10,33,106,60,193,106,60,193,1.35539937395
6,2020-03-09,,,,,,,,,18,10,33,123,70,225,123,70,225,1.3537560617700002
7,2020-03-10,,,,,,,,,18,10,33,141,80,257,141,80,257,1.35173793277
8,2020-03-11,,,,,,,,,18,10,33,159,90,290,159,90,290,1.34926215605
9,2020-03-12,,,,,,,,,39,23,69,198,113,359,198,113,359,1.34611594307
10,2020-03-13,,,,,,,,,39,23,69,237,137,427,237,137,427,1.34239506474
11,2020-03-14,,,,,,,,,40,24,70,277,161,497,277,161,497,1.33784443179
12,2020-03-15,,,,,,,,,43,25,74,320,187,570,320,187,570,1.3323253020999999
13,2020-03-16,,,,,,,,,48,29,82,368,217,652,368,217,652,1.32566107973
14,2020-03-17,,,,,,,,,56,34,94,424,251,745,424,251,745,1.31766237522
15,2020-03-18,,,,,,,,,62,38,102,468,280,815,485,290,847,1.30813577146
16,2020-03-19,,,,,,,,,66,41,108,516,312,890,552,332,954,1.29690087983
17,2020-03-20,,,,,,,,,71,44,113,570,346,970,623,376,1067,1.2838163338200002
18,2020-03-21,,,,,,,,,76,47,119,628,384,1056,699,424,1185,1.2687998013500001
19,2020-03-22,,,,,,,,,82,52,125,693,426,1149,781,476,1310,1.25185120036
20,2020-03-23,,,,,,,,,88,55,131,763,472,1247,869,532,1440,1.23307064016
21,2020-03-24,,,,,,,,,93,59,134,838,522,1348,962,592,1573,1.2126615599700001
22,2020-03-25,,,,,,,,,98,62,137,919,574,1453,1060,654,1710,1.19092128701
23,2020-03-26,,,,,,,,,102,65,141,1004,630,1561,1162,720,1850,1.1682176103
24,2020-03-27,1.0,1.0,,,,,,,107,68,146,1071,675,1638,1269,788,1996,1.14496047729
25,2020-03-28,0.0,1.0,,,,,,,111,71,152,1144,723,1721,1380,860,2148,1.12157517209
26,2020-03-29,0.0,1.0,,,,,,,115,74,157,1218,773,1807,1496,934,2304,1.0984799994
27,2020-03-30,1.0,2.0,,,,,,,118,76,160,1294,824,1894,1614,1011,2463,1.0760691575
28,2020-03-31,1.0,3.0,,,,,,,121,78,163,1367,873,1975,1735,1090,2626,1.0546986814100001
29,2020-04-01,0.0,3.0,,,,,,,124,80,166,1435,918,2047,1859,1170,2792,1.0346736460500001
30,2020-04-02,0.0,3.0,,,,,,,126,82,172,1499,962,2117,1984,1253,2964,1.01623587903
31,2020-04-03,0.0,3.0,,,,,,,127,83,175,1560,1004,2185,2112,1336,3139,0.999552991137
32,2020-04-04,0.0,3.0,,,,,,,129,85,177,1618,1045,2249,2241,1422,3315,0.984711448701
33,2020-04-05,0.0,3.0,,,,,,,130,86,178,1672,1084,2308,2371,1509,3493,0.9717167197859999
34,2020-04-06,0.0,3.0,,,,,,,131,88,179,1721,1120,2363,2502,1597,3672,0.9605019996430001
35,2020-04-07,1.0,4.0,,,,,,,132,89,180,1764,1154,2412,2633,1687,3851,0.9509442068330001
36,2020-04-08,0.0,4.0,,,,,,,132,91,181,1803,1186,2459,2765,1778,4031,0.942883600445
37,2020-04-09,1.0,5.0,,,,,,,132,92,180,1838,1216,2502,2897,1871,4211,0.936142886796
38,2020-04-10,1.0,6.0,,,,,,,132,93,179,1868,1245,2540,3030,1965,4390,0.9305428378020001
39,2020-04-11,1.0,7.0,,,,,,,132,95,178,1893,1271,2572,3162,2060,4567,0.924581151548
40,2020-04-12,0.0,7.0,,,,,,,132,96,176,1914,1296,2596,3294,2156,4743,0.919539755929
41,2020-04-13,1.0,8.0,,,,,,,132,97,174,1931,1319,2613,3426,2254,4917,0.915431734705
42,2020-04-14,0.0,8.0,,,,,,,131,99,172,1944,1341,2625,3558,2353,5088,0.9116425463240001
43,2020-04-15,1.0,9.0,,,,,,,131,100,170,1954,1363,2632,3689,2453,5257,0.908447591451
44,2020-04-16,0.0,9.0,,,,,,,130,100,168,1960,1383,2633,3819,2554,5425,0.9055396041060001
45,2020-04-17,0.0,9.0,,,,,,,130,101,168,1965,1403,2629,3949,2656,5592,0.905554487189
46,2020-04-18,0.0,9.0,,,,,,,130,100,168,1967,1419,2621,4079,2756,5759,0.905615018706
47,2020-04-19,0.0,9.0,,,,,,,129,100,166,1967,1434,2610,4208,2856,5925,0.9057427937989999
48,2020-04-20,0.0,9.0,,,,,,,129,99,165,1966,1447,2597,4336,2956,6090,0.905969741065
49,2020-04-21,4.0,13.0,,,,,,,128,99,165,1963,1458,2583,4465,3056,6254,0.9063421143799999
50,2020-04-22,1.0,14.0,,,,,,,128,99,164,1959,1468,2567,4592,3155,6418,0.906925998504
51,2020-04-23,1.0,15.0,,,,,,,127,98,164,1954,1475,2550,4719,3254,6581,0.907813824972
52,2020-04-24,0.0,15.0,,,,,,,127,97,163,1949,1480,2533,4846,3351,6744,0.9091307251719999
53,2020-04-25,1.0,16.0,,,,,,,126,96,164,1943,1483,2517,4973,3448,6907,0.911037754641
54,2020-04-26,1.0,17.0,,,,,,,126,96,164,1937,1484,2504,5099,3544,7071,0.913725944345
55,2020-04-27,2.0,19.0,,,,,,,126,95,165,1931,1483,2493,5225,3640,7236,0.917392013364
56,2020-04-28,0.0,19.0,,,,,,,126,94,166,1925,1480,2485,5351,3735,7401,0.9221865436200001
57,2020-04-29,0.0,19.0,,,,,,,126,94,168,1920,1476,2481,5478,3829,7568,0.928135407184
58,2020-04-30,0.0,19.0,,,,,,,127,94,169,1916,1470,2480,5604,3924,7737,0.935060251548
59,2020-05-01,4.0,23.0,,,,,,,127,94,170,1913,1463,2482,5732,4018,7906,0.942551472801
60,2020-05-02,1.0,24.0,,,,,,,128,94,172,1910,1456,2487,5859,4112,8078,0.948181698319
61,2020-05-03,1.0,25.0,,,,,,,128,94,174,1909,1450,2493,5988,4207,8252,0.953563023558
62,2020-05-04,0.0,25.0,,,,,,,129,94,176,1909,1445,2503,6117,4302,8427,0.958489151298
63,2020-05-05,0.0,25.0,,,,,,,130,94,178,1910,1440,2516,6246,4397,8605,0.9628223035629999
64,2020-05-06,6.0,31.0,,,,,,,130,95,180,1912,1435,2531,6377,4492,8785,0.966500638326
65,2020-05-07,0.0,31.0,,,,,,,131,94,181,1915,1431,2548,6508,4587,8965,0.9695281320360001
66,2020-05-08,2.0,33.0,,,,,,,132,94,182,1920,1427,2566,6639,4682,9146,0.97195514058
67,2020-05-09,2.0,35.0,,,,,,,132,94,184,1925,1424,2587,6772,4776,9330,0.9738577156899999
68,2020-05-10,0.0,35.0,,,,,,,133,94,186,1932,1422,2610,6905,4870,9516,0.975320712888
69,2020-05-11,1.0,36.0,,,,,,,134,93,188,1939,1419,2634,7038,4964,9704,0.97642647183
70,2020-05-12,2.0,38.0,,,,,,,134,92,190,1947,1416,2658,7173,5057,9893,0.977248582684
71,2020-05-13,2.0,40.0,,,,,,,135,91,191,1956,1413,2683,7307,5149,10083,0.977849370582
72,2020-05-14,0.0,40.0,,,,,,,135,90,192,1965,1409,2707,7443,5239,10275,0.978279707008
73,2020-05-15,2.0,42.0,,,,,,,136,90,193,1974,1406,2732,7579,5330,10468,0.978580037806
74,2020-05-16,0.0,42.0,,,,,,,136,90,195,1983,1401,2757,7715,5420,10662,0.9787819181799999
75,2020-05-17,1.0,43.0,,,,,,,137,89,197,1992,1397,2782,7852,5510,10859,0.978909633281
76,2020-05-18,1.0,44.0,,,,,,,137,89,199,2001,1391,2807,7989,5599,11058,0.978981688972
77,2020-05-19,1.0,45.0,,,,,,,138,88,202,2010,1386,2832,8127,5688,11259,0.979012086647
78,2020-05-20,4.0,49.0,,,,,,,138,88,204,2018,1379,2858,8265,5776,11463,0.979011363986
79,2020-05-21,2.0,51.0,,,,,,,138,87,206,2026,1371,2884,8403,5864,11668,0.978987421047
80,2020-05-22,1.0,52.0,,,,,,,139,86,208,2034,1363,2911,8542,5951,11875,0.9789461641539999
81,2020-05-23,0.0,52.0,,,,,,,139,86,210,2041,1355,2939,8680,6037,12085,0.978892000838
82,2020-05-24,1.0,53.0,,,,,,,139,85,212,2048,1346,2966,8820,6122,12296,0.978828216586
83,2020-05-25,1.0,54.0,,,,,,,139,84,214,2054,1337,2994,8959,6207,12509,0.978757259139
84,2020-05-26,0.0,54.0,,,,,,,139,84,216,2060,1327,3021,9098,6292,12724,0.978680951829
85,2020-05-27,2.0,56.0,,,,,,,140,83,218,2065,1318,3049,9238,6375,12941,0.9786006532539999
86,2020-05-28,1.0,57.0,,,,,,,140,82,220,2070,1309,3078,9377,6458,13161,0.9785173765590001
87,2020-05-29,2.0,59.0,,,,,,,140,81,222,2074,1300,3108,9517,6540,13383,0.978431878413
88,2020-05-30,1.0,60.0,,,,,,,140,81,223,2078,1291,3138,9657,6621,13605,0.978344725203
89,2020-05-31,1.0,61.0,,,,,,,140,80,224,2081,1281,3167,9796,6701,13829,0.978256342155
90,2020-06-01,0.0,61.0,,,,,,,139,79,225,2084,1270,3195,9936,6781,14054,0.975601162483
91,2020-06-02,4.0,65.0,,,,,,,139,78,225,2085,1259,3221,10074,6859,14278,0.972953154015
92,2020-06-03,1.0,66.0,,,,,,,139,77,226,2086,1247,3245,10213,6936,14504,0.970312716206
93,2020-06-04,0.0,66.0,,,,,,,138,75,228,2087,1235,3269,10351,7012,14731,0.967679954636
94,2020-06-05,5.0,71.0,,,,,,,138,74,229,2086,1222,3292,10489,7087,14960,0.965054855343
95,2020-06-06,1.0,72.0,,,,,,,137,73,230,2085,1209,3314,10626,7160,15189,0.962437502112
96,2020-06-07,0.0,72.0,,,,,,,137,72,230,2082,1195,3334,10763,7233,15419,0.9598279776459999
97,2020-06-08,0.0,72.0,,,,,,,136,71,231,2079,1181,3354,10899,7304,15649,0.9572263682200001
98,2020-06-09,0.0,72.0,,,,,,,135,70,231,2075,1166,3372,11034,7374,15880,0.954632718939
99,2020-06-10,1.0,73.0,,,,,,,134,69,231,2070,1151,3387,11168,7444,16111,0.9520470431039999
100,2020-06-11,1.0,74.0,,,,,,,134,67,232,2064,1136,3402,11302,7511,16342,0.949469357348
101,2020-06-12,0.0,74.0,,,,,,,133,66,233,2057,1120,3414,11434,7578,16575,0.9468996808679999
102,2020-06-13,0.0,74.0,,,,,,,132,65,233,2049,1103,3426,11566,7643,16808,0.944338037053
103,2020-06-14,0.0,74.0,,,,,,,131,63,233,2040,1086,3436,11697,7707,17041,0.9417844447879999
104,2020-06-15,0.0,74.0,,,,,,,130,62,233,2030,1068,3444,11826,7770,17273,0.939238913184
105,2020-06-16,0.0,74.0,,,,,,,129,61,232,2019,1050,3451,11955,7831,17505,0.936701447376
106,2020-06-17,,,1.0,0.0,2.0,75.0,74.0,76.0,127,59,231,2008,1031,3457,12082,7890,17735,
107,2020-06-18,,,1.0,0.0,2.0,76.0,74.0,77.0,126,58,230,1996,1012,3461,12209,7949,17965,
108,2020-06-19,,,1.0,0.0,2.0,76.0,75.0,78.0,125,56,230,1982,993,3464,12334,8006,18194,
109,2020-06-20,,,1.0,0.0,2.0,77.0,75.0,79.0,124,55,230,1968,974,3465,12457,8061,18424,
110,2020-06-21,,,1.0,0.0,2.0,78.0,76.0,81.0,122,53,230,1954,954,3465,12580,8115,18653,
111,2020-06-22,,,1.0,0.0,2.0,79.0,76.0,82.0,121,52,229,1938,934,3464,12701,8167,18882,
112,2020-06-23,,,1.0,0.0,2.0,80.0,77.0,83.0,120,50,229,1922,913,3462,12821,8218,19110,
113,2020-06-24,,,1.0,0.0,2.0,80.0,77.0,85.0,118,49,228,1905,892,3459,12939,8267,19338,
114,2020-06-25,,,1.0,0.0,2.0,81.0,78.0,86.0,117,47,228,1887,870,3456,13056,8314,19566,
115,2020-06-26,,,1.0,0.0,2.0,82.0,78.0,88.0,115,46,228,1869,849,3451,13171,8361,19793,
116,2020-06-27,,,1.0,0.0,2.0,83.0,79.0,89.0,114,45,228,1850,827,3446,13285,8406,20020,
117,2020-06-28,,,1.0,0.0,2.0,84.0,79.0,91.0,112,43,227,1831,806,3440,13397,8450,20247,
118,2020-06-29,,,1.0,0.0,2.0,85.0,80.0,92.0,111,42,226,1811,785,3433,13508,8492,20473,
119,2020-06-30,,,1.0,0.0,2.0,86.0,80.0,94.0,109,41,225,1791,764,3425,13617,8534,20698,
120,2020-07-01,,,1.0,0.0,2.0,87.0,81.0,96.0,108,40,224,1770,743,3417,13725,8574,20921,
121,2020-07-02,,,1.0,0.0,2.0,88.0,81.0,97.0,106,39,222,1749,723,3408,13831,8614,21143,
122,2020-07-03,,,1.0,0.0,2.0,89.0,82.0,99.0,105,38,221,1727,703,3399,13936,8652,21363,
123,2020-07-04,,,1.0,0.0,2.0,90.0,82.0,101.0,103,37,220,1706,683,3388,14039,8689,21582,
124,2020-07-05,,,1.0,0.0,2.0,91.0,83.0,102.0,102,36,219,1683,664,3377,14141,8726,21801,
125,2020-07-06,,,1.0,0.0,2.0,92.0,83.0,104.0,100,35,219,1661,646,3366,14241,8761,22019,
126,2020-07-07,,,1.0,0.0,2.0,93.0,84.0,106.0,99,34,218,1639,628,3355,14339,8796,22236,
127,2020-07-08,,,1.0,0.0,2.0,94.0,84.0,107.0,97,33,218,1616,612,3344,14437,8830,22453,
128,2020-07-09,,,1.0,0.0,2.0,94.0,84.0,109.0,96,33,217,1593,596,3332,14532,8863,22670,
129,2020-07-10,,,1.0,0.0,2.0,95.0,85.0,111.0,94,32,215,1571,580,3319,14626,8895,22885,
130,2020-07-11,,,1.0,0.0,2.0,96.0,85.0,112.0,93,31,214,1548,565,3305,14719,8926,23098,
131,2020-07-12,,,1.0,0.0,2.0,97.0,86.0,114.0,91,30,212,1525,551,3290,14810,8957,23310,
132,2020-07-13,,,1.0,0.0,2.0,98.0,86.0,115.0,90,29,210,1502,537,3273,14900,8987,23520,
133,2020-07-14,,,1.0,0.0,2.0,99.0,86.0,117.0,88,29,209,1480,523,3255,14988,9016,23728,
134,2020-07-15,,,1.0,0.0,2.0,100.0,87.0,119.0,87,28,207,1457,510,3236,15075,9045,23934,
135,2020-07-16,,,1.0,0.0,2.0,101.0,87.0,120.0,85,27,205,1435,498,3217,15160,9073,24138,
136,2020-07-17,,,1.0,0.0,2.0,101.0,87.0,122.0,84,27,203,1413,486,3198,15244,9100,24340,
137,2020-07-18,,,1.0,0.0,2.0,102.0,88.0,124.0,83,26,201,1391,474,3178,15327,9127,24541,
138,2020-07-19,,,1.0,0.0,2.0,103.0,88.0,125.0,81,26,199,1369,463,3157,15409,9153,24739,
139,2020-07-20,,,1.0,0.0,2.0,104.0,88.0,127.0,80,25,197,1348,452,3136,15489,9178,24936,
140,2020-07-21,,,1.0,0.0,2.0,105.0,89.0,128.0,79,24,195,1327,441,3112,15568,9203,25130,
141,2020-07-22,,,1.0,0.0,2.0,105.0,89.0,130.0,78,24,194,1306,431,3088,15645,9227,25324,
142,2020-07-23,,,1.0,0.0,2.0,106.0,89.0,132.0,76,23,193,1285,421,3063,15722,9251,25516,
143,2020-07-24,,,1.0,0.0,2.0,107.0,90.0,133.0,75,23,192,1265,411,3038,15797,9274,25707,
144,2020-07-25,,,1.0,0.0,2.0,108.0,90.0,135.0,74,22,190,1245,402,3013,15871,9297,25897,
145,2020-07-26,,,1.0,0.0,2.0,108.0,90.0,136.0,73,22,188,1225,393,2987,15944,9320,26085,
146,2020-07-27,,,1.0,0.0,2.0,109.0,90.0,138.0,72,21,187,1205,384,2962,16015,9342,26271,
147,2020-07-28,,,1.0,0.0,2.0,110.0,91.0,139.0,71,21,185,1186,376,2937,16086,9363,26456,
148,2020-07-29,,,1.0,0.0,2.0,111.0,91.0,141.0,69,21,184,1167,367,2912,16155,9384,26639,
149,2020-07-30,,,1.0,0.0,2.0,111.0,91.0,142.0,68,20,182,1149,359,2887,16224,9405,26820,
150,2020-07-31,,,1.0,0.0,2.0,112.0,91.0,144.0,67,20,180,1131,352,2862,16291,9425,27000,
151,2020-08-01,,,1.0,0.0,2.0,113.0,92.0,146.0,66,19,178,1113,344,2838,16357,9444,27177,
152,2020-08-02,,,1.0,0.0,2.0,113.0,92.0,147.0,65,19,176,1095,337,2813,16423,9464,27353,
153,2020-08-03,,,1.0,0.0,2.0,114.0,92.0,149.0,64,18,174,1078,329,2787,16487,9482,27526,
154,2020-08-04,,,1.0,0.0,2.0,115.0,92.0,150.0,63,18,172,1061,322,2762,16550,9501,27697,
155,2020-08-05,,,1.0,0.0,2.0,115.0,92.0,152.0,62,17,169,1045,315,2736,16612,9519,27866,
156,2020-08-06,,,1.0,0.0,2.0,116.0,93.0,153.0,61,17,168,1029,308,2710,16674,9536,28033,
157,2020-08-07,,,1.0,0.0,2.0,116.0,93.0,154.0,60,17,166,1013,302,2683,16734,9553,28198,
158,2020-08-08,,,1.0,0.0,2.0,117.0,93.0,156.0,60,16,164,997,295,2655,16794,9570,28361,
159,2020-08-09,,,1.0,0.0,2.0,118.0,93.0,157.0,59,16,162,982,289,2626,16853,9587,28523,
160,2020-08-10,,,1.0,0.0,2.0,118.0,93.0,159.0,58,16,160,967,283,2598,16910,9603,28682,
161,2020-08-11,,,1.0,0.0,2.0,119.0,94.0,160.0,57,15,158,952,276,2569,16967,9619,28840,
162,2020-08-12,,,1.0,0.0,2.0,119.0,94.0,162.0,56,15,156,937,270,2540,17023,9634,28996,
163,2020-08-13,,,1.0,0.0,2.0,120.0,94.0,163.0,55,15,155,923,265,2511,17079,9649,29150,
164,2020-08-14,,,1.0,0.0,2.0,120.0,94.0,164.0,55,14,153,909,259,2482,17133,9664,29302,
165,2020-08-15,,,1.0,0.0,2.0,121.0,94.0,166.0,54,14,151,896,253,2453,17187,9679,29453,
166,2020-08-16,,,1.0,0.0,2.0,121.0,94.0,167.0,53,14,149,883,248,2424,17240,9693,29601,
167,2020-08-17,,,1.0,0.0,2.0,122.0,95.0,168.0,52,14,147,870,243,2395,17292,9707,29747,
168,2020-08-18,,,1.0,0.0,2.0,122.0,95.0,170.0,51,13,145,857,238,2366,17344,9721,29892,
169,2020-08-19,,,1.0,0.0,2.0,123.0,95.0,171.0,51,13,143,844,234,2338,17394,9735,30034,
170,2020-08-20,,,0.0,0.0,2.0,123.0,95.0,172.0,50,13,142,832,229,2310,17444,9749,30176,
171,2020-08-21,,,0.0,0.0,2.0,124.0,95.0,174.0,49,13,140,820,225,2282,17494,9762,30315,
172,2020-08-22,,,0.0,0.0,2.0,124.0,95.0,175.0,49,13,138,808,221,2255,17542,9775,30453,
173,2020-08-23,,,0.0,0.0,2.0,125.0,96.0,176.0,48,13,137,797,218,2228,17590,9788,30589,
174,2020-08-24,,,0.0,0.0,2.0,125.0,96.0,177.0,47,12,136,785,214,2202,17638,9801,30724,
175,2020-08-25,,,0.0,0.0,2.0,126.0,96.0,179.0,47,12,134,774,211,2176,17685,9814,30858,
176,2020-08-26,,,0.0,0.0,2.0,126.0,96.0,180.0,46,12,133,763,208,2151,17731,9827,30990,
177,2020-08-27,,,0.0,0.0,2.0,127.0,96.0,181.0,45,12,131,753,205,2126,17776,9839,31121,
178,2020-08-28,,,0.0,0.0,2.0,127.0,96.0,182.0,45,12,130,742,202,2101,17821,9851,31251,
179,2020-08-29,,,0.0,0.0,2.0,128.0,96.0,183.0,44,12,129,732,199,2077,17865,9864,31379,
180,2020-08-30,,,0.0,0.0,2.0,128.0,96.0,185.0,44,11,127,722,196,2054,17909,9875,31506,
181,2020-08-31,,,0.0,0.0,2.0,128.0,97.0,186.0,43,11,126,712,193,2031,17952,9887,31632,
182,2020-09-01,,,0.0,0.0,2.0,129.0,97.0,187.0,43,11,125,703,191,2010,17995,9899,31756,
183,2020-09-02,,,0.0,0.0,2.0,129.0,97.0,188.0,42,11,124,693,188,1988,18037,9910,31880,
184,2020-09-03,,,0.0,0.0,2.0,130.0,97.0,189.0,42,11,123,684,186,1968,18079,9921,32002,
185,2020-09-04,,,0.0,0.0,2.0,130.0,97.0,190.0,41,11,122,675,183,1948,18120,9932,32123,
186,2020-09-05,,,0.0,0.0,2.0,130.0,97.0,191.0,41,10,120,666,181,1928,18160,9943,32243,
187,2020-09-06,,,0.0,0.0,2.0,131.0,97.0,192.0,40,10,119,658,178,1909,18200,9954,32361,
188,2020-09-07,,,0.0,0.0,2.0,131.0,97.0,193.0,40,10,118,649,176,1890,18240,9964,32479,
189,2020-09-08,,,0.0,0.0,2.0,132.0,97.0,194.0,39,10,116,641,173,1871,18279,9975,32594,
190,2020-09-09,,,0.0,0.0,2.0,132.0,97.0,195.0,39,10,115,633,171,1851,18318,9985,32709,
191,2020-09-10,,,0.0,0.0,2.0,132.0,98.0,196.0,38,10,114,625,168,1832,18356,9995,32822,
192,2020-09-11,,,0.0,0.0,2.0,133.0,98.0,197.0,38,10,113,617,166,1814,18393,10005,32934,
193,2020-09-12,,,0.0,0.0,1.0,133.0,98.0,198.0,37,9,112,610,163,1795,18431,10015,33046,
194,2020-09-13,,,0.0,0.0,1.0,133.0,98.0,199.0,37,9,110,602,161,1777,18468,10025,33156,
195,2020-09-14,,,0.0,0.0,1.0,134.0,98.0,200.0,36,9,109,595,159,1759,18504,10035,33264,
196,2020-09-15,,,0.0,0.0,1.0,134.0,98.0,201.0,36,9,108,588,157,1741,18540,10044,33372,
197,2020-09-16,,,0.0,0.0,1.0,134.0,98.0,202.0,36,9,107,581,155,1724,18576,10054,33479,
198,2020-09-17,,,0.0,0.0,1.0,135.0,98.0,203.0,35,9,106,574,153,1706,18611,10063,33585,
199,2020-09-18,,,0.0,0.0,1.0,135.0,98.0,204.0,35,9,105,567,151,1689,18646,10072,33690,
200,2020-09-19,,,0.0,0.0,1.0,135.0,98.0,205.0,34,9,104,561,149,1672,18680,10082,33794,
201,2020-09-20,,,0.0,0.0,1.0,136.0,98.0,206.0,34,9,103,554,147,1655,18714,10091,33897,
202,2020-09-21,,,0.0,0.0,1.0,136.0,99.0,207.0,34,8,103,548,145,1638,18748,10100,33999,
203,2020-09-22,,,0.0,0.0,1.0,136.0,99.0,208.0,33,8,102,542,144,1622,18781,10108,34100,
204,2020-09-23,,,0.0,0.0,1.0,137.0,99.0,209.0,33,8,101,535,142,1606,18814,10117,34200,
205,2020-09-24,,,0.0,0.0,1.0,137.0,99.0,210.0,33,8,100,530,140,1591,18847,10126,34300,
206,2020-09-25,,,0.0,0.0,1.0,137.0,99.0,210.0,32,8,99,524,139,1576,18879,10135,34398,
207,2020-09-26,,,0.0,0.0,1.0,137.0,99.0,211.0,32,8,98,518,137,1561,18911,10143,34495,
208,2020-09-27,,,0.0,0.0,1.0,138.0,99.0,212.0,32,8,97,512,136,1547,18943,10152,34592,
209,2020-09-28,,,0.0,0.0,1.0,138.0,99.0,213.0,31,8,96,507,134,1532,18974,10160,34687,
210,2020-09-29,,,0.0,0.0,1.0,138.0,99.0,214.0,31,8,95,501,133,1518,19005,10168,34782,
211,2020-09-30,,,0.0,0.0,1.0,139.0,99.0,215.0,31,8,94,496,132,1504,19036,10177,34876,
212,2020-10-01,,,0.0,0.0,1.0,139.0,99.0,215.0,30,8,93,491,131,1490,19067,10185,34968,
