,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-04,,,,,,,,,34,25,40,34,25,40,34,25,40,1.8397617654900003
1,2020-03-05,,,,,,,,,34,25,40,69,50,80,69,50,80,1.8059283942099997
2,2020-03-06,,,,,,,,,34,25,40,103,75,120,103,75,120,1.7982760518799998
3,2020-03-07,,,,,,,,,34,25,40,137,100,160,137,100,160,1.78896684134
4,2020-03-08,,,,,,,,,34,25,40,171,125,200,171,125,200,1.7776909534799998
5,2020-03-09,,,,,,,,,34,25,40,206,150,240,206,150,240,1.76410922503
6,2020-03-10,,,,,,,,,34,25,40,240,175,280,240,175,280,1.7478667423599996
7,2020-03-11,,,,,,,,,34,25,40,274,200,320,274,200,320,1.7286158671
8,2020-03-12,,,,,,,,,34,25,40,309,225,360,309,225,360,1.70604955586
9,2020-03-13,,,,,,,,,91,63,122,399,288,482,399,288,482,1.67982686514
10,2020-03-14,,,,,,,,,89,63,119,488,351,601,488,351,601,1.65007046435
11,2020-03-15,,,,,,,,,92,65,124,580,417,724,580,417,724,1.61672143995
12,2020-03-16,,,,,,,,,99,70,135,680,487,859,680,487,859,1.58006228521
13,2020-03-17,,,,,,,,,115,80,159,794,568,1017,794,568,1017,1.54053959791
14,2020-03-18,,,,,,,,,138,96,193,932,665,1210,932,665,1210,1.4987715285499998
15,2020-03-19,,,,,,,,,153,108,215,1051,748,1384,1085,773,1424,1.4555082899599998
16,2020-03-20,,,,,,,,,164,116,230,1180,840,1574,1249,890,1654,1.41158557023
17,2020-03-21,,,,,,,,,175,125,246,1321,940,1779,1424,1015,1899,1.36787738178
18,2020-03-22,,,,,,,,,188,134,263,1474,1050,2002,1611,1150,2162,1.3252368341399998
19,2020-03-23,,,,,,,,,203,145,285,1643,1170,2246,1814,1295,2446,1.2844480678399999
20,2020-03-24,,,,,,,,,216,154,311,1825,1299,2517,2030,1449,2757,1.246186502
21,2020-03-25,,,,,,,,,227,165,325,2017,1439,2801,2257,1614,3081,1.2109836470200002
22,2020-03-26,,,,,,,,,237,172,339,2220,1586,3100,2494,1786,3420,1.17920359879
23,2020-03-27,,,,,,,,,246,181,356,2432,1743,3415,2741,1968,3775,1.15103010914
24,2020-03-28,2.0,2.0,,,,,,,256,189,377,2598,1869,3670,2997,2158,4152,1.1264717868799998
25,2020-03-29,0.0,2.0,,,,,,,265,197,391,2774,2004,3942,3262,2355,4543,1.10538599724
26,2020-03-30,0.0,2.0,,,,,,,273,204,402,2955,2142,4220,3536,2560,4944,1.0875162486799999
27,2020-03-31,1.0,3.0,,,,,,,281,211,410,3137,2284,4496,3817,2771,5354,1.07253519682
28,2020-04-01,1.0,4.0,,,,,,,288,217,415,3310,2421,4752,4104,2989,5768,1.06008441139
29,2020-04-02,1.0,5.0,,,,,,,295,224,419,3467,2548,4978,4399,3213,6187,1.04980568252
30,2020-04-03,1.0,6.0,,,,,,,301,230,422,3616,2670,5185,4700,3443,6608,1.04136228473
31,2020-04-04,0.0,6.0,,,,,,,308,236,423,3759,2790,5378,5008,3680,7031,1.0344509810200002
32,2020-04-05,2.0,8.0,,,,,,,313,243,426,3898,2908,5558,5321,3923,7457,1.0288069925
33,2020-04-06,1.0,9.0,,,,,,,319,248,429,4029,3022,5724,5640,4172,7886,1.0242041972700002
34,2020-04-07,1.0,10.0,,,,,,,325,254,433,4151,3131,5872,5965,4427,8318,1.0204525317200002
35,2020-04-08,2.0,12.0,,,,,,,330,260,438,4265,3237,5999,6295,4687,8755,1.01739406419
36,2020-04-09,2.0,14.0,,,,,,,335,265,443,4372,3338,6117,6630,4953,9197,1.0142890520799999
