,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-15,,,,,,,,,193,100,300,193,100,300,193,100,300,2.49433948765
1,2020-02-16,,,,,,,,,193,100,300,387,200,600,387,200,600,2.49152636241
2,2020-02-17,,,,,,,,,193,100,300,580,300,900,580,300,900,2.4909051571000003
3,2020-02-18,,,,,,,,,193,100,300,773,400,1200,773,400,1200,2.4901472063099996
4,2020-02-19,,,,,,,,,193,100,300,967,500,1500,967,500,1500,2.4892226153599997
5,2020-02-20,,,,,,,,,193,100,300,1160,600,1800,1160,600,1800,2.4880950518200002
6,2020-02-21,,,,,,,,,193,100,300,1353,700,2100,1353,700,2100,2.4867204041599997
7,2020-02-22,,,,,,,,,193,100,300,1547,800,2400,1547,800,2400,2.48504518056
8,2020-02-23,,,,,,,,,193,100,300,1740,900,2700,1740,900,2700,2.4830046057499997
9,2020-02-24,,,,,,,,,653,339,1070,2393,1239,3770,2393,1239,3770,2.4803131981799997
10,2020-02-25,,,,,,,,,651,338,1065,3044,1577,4835,3044,1577,4835,2.47726517909
11,2020-02-26,,,,,,,,,703,365,1157,3747,1943,5992,3747,1943,5992,2.47350266237
12,2020-02-27,,,,,,,,,811,421,1345,4558,2364,7337,4558,2364,7337,2.4689522575
13,2020-02-28,,,,,,,,,1035,537,1736,5594,2901,9072,5594,2901,9072,2.46344257192
14,2020-02-29,,,,,,,,,1387,719,2349,6981,3621,11421,6981,3621,11421,2.45677042345
15,2020-03-01,,,,,,,,,1679,870,2852,8467,4391,13972,8660,4491,14272,2.44868664711
16,2020-03-02,,,,,,,,,1968,1019,3348,10241,5311,17019,10628,5511,17619,2.4388965142
17,2020-03-03,,,,,,,,,2344,1213,3991,12392,6424,20709,12972,6724,21609,2.4270793423
18,2020-03-04,,,,,,,,,2829,1463,4833,15028,7788,25242,15801,8188,26442,2.41284552685
19,2020-03-05,,,,,,,,,3454,1787,6040,18288,9476,30981,19255,9976,32481,2.39572201348
20,2020-03-06,,,,,,,,,4148,2150,7395,22243,11527,38075,23403,12127,39875,2.37515125811
21,2020-03-07,,,,,,,,,4920,2558,8904,26969,13985,46678,28322,14685,48778,2.35048251051
22,2020-03-08,,,,,,,,,5815,3038,10606,32591,16924,56984,34137,17724,59384,2.3209856676400005
23,2020-03-09,,,,,,,,,6864,3612,12731,39261,20437,69414,41001,21337,72114,2.28586250681
24,2020-03-10,1.0,1.0,,,,,,,8075,4296,14864,46682,24394,83207,49075,25634,86977,2.2443000437
25,2020-03-11,0.0,1.0,,,,,,,9416,5086,16872,55448,29143,99014,58491,30720,103849,2.19558035887
26,2020-03-12,0.0,1.0,,,,,,,10861,5986,19644,65605,34763,117501,69352,36706,123492,2.13923153148
27,2020-03-13,0.0,1.0,,,,,,,12401,6806,22383,77195,41148,138538,81753,43513,145875,2.07517985326
28,2020-03-14,0.0,1.0,,,,,,,14016,7740,24571,90176,48352,161373,95769,51254,170445,2.00383649496
29,2020-03-15,1.0,2.0,,,,,,,15674,8897,26258,104462,56530,185282,111443,60151,196702,1.92609037727
30,2020-03-16,0.0,2.0,,,,,,,17324,10141,27979,120107,65801,210410,128767,70292,224681,1.84322886183
31,2020-03-17,1.0,3.0,,,,,,,18914,11285,29048,137053,76067,236110,147681,81578,253728,1.75683079245
32,2020-03-18,2.0,5.0,,,,,,,20407,12475,30316,155117,87329,262435,168089,94054,284044,1.6686673647799999
33,2020-03-19,4.0,9.0,,,,,,,21769,13618,31360,174056,99484,288962,189857,107673,315403,1.58061821689
34,2020-03-20,2.0,11.0,,,,,,,22970,14900,32775,193572,112597,315698,212827,122573,348178,1.49459416685
35,2020-03-21,5.0,16.0,,,,,,,23986,15684,33205,213410,126131,341508,236813,138258,381382,1.4124508745700002
36,2020-03-22,4.0,20.0,,,,,,,24803,16411,34290,233293,139984,366895,261616,154670,415672,1.33587731173
37,2020-03-23,7.0,27.0,,,,,,,25422,16409,35083,252901,153354,391372,287038,171079,450755,1.26625477921
38,2020-03-24,17.0,44.0,,,,,,,25857,16488,35894,271895,166230,414535,312895,187567,486649,1.20450812495
39,2020-03-25,18.0,62.0,,,,,,,26129,17214,35985,289949,179148,435657,339025,204782,522633,1.15100151568
40,2020-03-26,19.0,81.0,,,,,,,26260,17570,35964,306793,191631,454749,365284,222352,558597,1.10553652082
41,2020-03-27,27.0,108.0,,,,,,,26269,17493,36269,322201,203139,471374,391553,239846,594865,1.0674679160299998
42,2020-03-28,32.0,140.0,,,,,,,26176,17578,36358,335976,213912,485349,417729,257425,631223,1.0358896117799998
43,2020-03-29,21.0,161.0,,,,,,,25996,17607,35949,347956,223779,496726,443725,275033,667171,1.00981619835
44,2020-03-30,37.0,198.0,,,,,,,25745,17555,35748,358026,232437,506216,469470,292588,702918,0.988310389584
45,2020-03-31,69.0,267.0,,,,,,,25435,17455,35291,366138,239751,513528,494905,310043,738208,0.970547838141
46,2020-04-01,88.0,355.0,,,,,,,25077,17306,34618,372301,245771,519098,519982,327350,772826,0.9558356644660001
47,2020-04-02,182.0,537.0,,,,,,,24682,17159,33924,376576,250454,522706,544664,344509,806749,0.9436055239910001
48,2020-04-03,109.0,646.0,,,,,,,24257,16915,33022,379064,253752,524368,568922,361425,839771,0.933396476116
49,2020-04-04,200.0,846.0,,,,,,,23810,16661,32225,379904,255513,523818,592731,378087,871995,0.9248360674160001
50,2020-04-05,71.0,917.0,,,,,,,23345,16408,31328,379263,256236,521941,616076,394495,903323,0.917623254085
51,2020-04-06,86.0,1003.0,,,,,,,22868,16155,30655,377328,255980,518306,638944,410650,933978,0.911514215274
52,2020-04-07,229.0,1232.0,,,,,,,22383,15902,29902,374290,255474,513124,661327,426553,963879,0.906310985434
53,2020-04-08,272.0,1504.0,,,,,,,21894,15665,29095,370326,254651,506325,683221,442219,992973,0.9018524609049999
54,2020-04-09,205.0,1709.0,,,,,,,21402,15430,28446,365599,252867,498786,704623,457649,1021419,0.898007289528
55,2020-04-10,223.0,1932.0,,,,,,,20911,15195,27771,360250,250492,490592,725534,472845,1049189,0.894668221521
56,2020-04-11,251.0,2183.0,,,,,,,20422,14918,27078,354402,247916,481402,745956,487763,1076267,0.891747591993
57,2020-04-12,167.0,2350.0,,,,,,,19936,14656,26373,348163,244994,471417,765892,502420,1102639,0.889173686343
58,2020-04-13,93.0,2443.0,,,,,,,19455,14411,25719,341621,241798,461188,785346,516832,1128358,0.886887801513
59,2020-04-14,362.0,2805.0,,,,,,,18979,14128,25055,334855,238371,450495,804325,530960,1153412,0.884841860626
60,2020-04-15,351.0,3156.0,,,,,,,18510,13752,24462,327930,234668,439666,822835,544712,1177874,0.8829964710860001
61,2020-04-16,362.0,3518.0,,,,,,,18047,13415,23923,320900,230777,428970,840882,558127,1201796,0.881319340367
