,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-17,,,,,,,,,607,250,750,607,250,750,607,250,750,3.7200861433199996
1,2020-02-18,,,,,,,,,607,250,750,1214,500,1500,1214,500,1500,3.70954583701
2,2020-02-19,,,,,,,,,607,250,750,1821,750,2250,1821,750,2250,3.70719441882
3,2020-02-20,,,,,,,,,607,250,750,2428,1000,3000,2428,1000,3000,3.70431315881
4,2020-02-21,,,,,,,,,607,250,750,3035,1250,3750,3035,1250,3750,3.70077982732
5,2020-02-22,,,,,,,,,607,250,750,3642,1500,4500,3642,1500,4500,3.6964424289199997
6,2020-02-23,,,,,,,,,607,250,750,4249,1750,5250,4249,1750,5250,3.69111108489
7,2020-02-24,,,,,,,,,607,250,750,4856,2000,6000,4856,2000,6000,3.6845472457999997
8,2020-02-25,,,,,,,,,607,250,750,5463,2250,6750,5463,2250,6750,3.67644916131
9,2020-02-26,,,,,,,,,2824,1149,3886,8287,3399,10636,8287,3399,10636,3.6659761401899997
10,2020-02-27,,,,,,,,,2809,1146,3871,11095,4546,14507,11095,4546,14507,3.6534899283599995
11,2020-02-28,,,,,,,,,3197,1305,4505,14292,5851,19011,14292,5851,19011,3.63773937861
12,2020-02-29,,,,,,,,,3977,1625,5773,18269,7476,24783,18269,7476,24783,3.6180946880400002
13,2020-03-01,,,,,,,,,5609,2295,8430,23878,9772,33212,23878,9772,33212,3.59340885295
14,2020-03-02,,,,,,,,,8198,3371,12670,32076,13143,45882,32076,13143,45882,3.5621813628099996
15,2020-03-03,,,,,,,,,10489,4354,16520,41958,17248,61651,42565,17498,62401,3.5224139621599995
16,2020-03-04,,,,,,,,,13062,5493,20990,54413,22491,81891,55627,22991,83391,3.4715500993800004
17,2020-03-05,,,,,,,,,16637,7125,27218,70443,29366,108359,72264,30116,110609,3.40655469674
18,2020-03-06,,,,,,,,,21402,9363,35383,91238,38480,142992,93666,39480,145992,3.32383816422
19,2020-03-07,,,,,,,,,27421,12260,45241,118053,50491,187482,121087,51741,191232,3.2195960826
20,2020-03-08,,,,,,,,,33977,15659,55179,151423,65900,241911,155065,67400,246411,3.0905613930099998
21,2020-03-09,,,,,,,,,41023,19573,64680,191839,85224,305841,196088,86974,311091,2.93504974577
22,2020-03-10,,,,,,,,,48650,23528,73424,239882,108502,378514,244738,110502,384514,2.7541281950200003
23,2020-03-11,,,,,,,,,56584,29089,82449,295860,137342,460213,301323,139592,466963,2.5522761461
24,2020-03-12,1.0,1.0,,,,,,,64280,35145,91272,357316,171337,547599,365603,174737,558234,2.3372404366499997
25,2020-03-13,1.0,2.0,,,,,,,71042,40808,99334,425550,211000,643062,436645,215546,657568,2.11891186248
26,2020-03-14,4.0,6.0,,,,,,,76544,45360,104661,498897,255055,743218,513189,260907,762229,1.90751178547
27,2020-03-15,6.0,12.0,,,,,,,80774,48883,109166,575694,302313,846611,593963,309790,871394,1.71178343644
28,2020-03-16,12.0,24.0,,,,,,,83782,52497,116469,653868,352515,954651,677746,362288,987863,1.53779883787
29,2020-03-17,14.0,38.0,,,,,,,85633,54736,119445,731303,403880,1061426,763379,417024,1107307,1.3886238645299998
30,2020-03-18,25.0,63.0,,,,,,,86403,56603,122364,807217,456129,1167269,849782,473627,1229670,1.2646605919399998
31,2020-03-19,33.0,96.0,,,,,,,86247,57690,120177,880402,508326,1266456,936029,531318,1349847,1.16433125673
32,2020-03-20,55.0,151.0,,,,,,,85370,57123,118289,949134,558324,1357526,1021398,588441,1468135,1.0848363992399999
33,2020-03-21,44.0,195.0,,,,,,,83960,56764,115822,1011692,605725,1437966,1105359,645206,1583957,1.02282916544
34,2020-03-22,91.0,286.0,,,,,,,82164,55868,112237,1066435,649333,1504961,1187522,701075,1696193,0.974934706417
35,2020-03-23,101.0,387.0,,,,,,,80079,54859,108862,1112537,688533,1558645,1267601,755934,1805055,0.938090358492
36,2020-03-24,125.0,512.0,,,,,,,77784,53663,106233,1149298,722623,1600198,1345386,809598,1911288,0.9097153094179999
37,2020-03-25,147.0,659.0,,,,,,,75347,52328,103323,1175995,751424,1630097,1420733,861927,2014611,0.8877475550280001
38,2020-03-26,243.0,902.0,,,,,,,72826,51003,100399,1192236,773338,1648047,1493558,912931,2115009,0.8705990243809999
