,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-21,,,,,,,,,54,25,75,54,25,75,54,25,75,1.6852022673700002
1,2020-02-22,,,,,,,,,54,25,75,108,50,150,108,50,150,1.6823645168399999
2,2020-02-23,,,,,,,,,54,25,75,162,75,225,162,75,225,1.68173698386
3,2020-02-24,,,,,,,,,54,25,75,215,100,300,215,100,300,1.68097082367
4,2020-02-25,,,,,,,,,54,25,75,269,125,375,269,125,375,1.6800354496399998
5,2020-02-26,,,,,,,,,54,25,75,323,150,450,323,150,450,1.67889351956
6,2020-02-27,,,,,,,,,54,25,75,377,175,525,377,175,525,1.6774994222400001
7,2020-02-28,,,,,,,,,54,25,75,431,200,600,431,200,600,1.6757974032299998
8,2020-02-29,,,,,,,,,54,25,75,485,225,675,485,225,675,1.67371922764
9,2020-03-01,,,,,,,,,140,69,210,625,294,885,625,294,885,1.67111434009
10,2020-03-02,,,,,,,,,139,69,209,764,364,1094,764,364,1094,1.66800552877
11,2020-03-03,,,,,,,,,145,73,220,909,437,1313,909,437,1313,1.6641938545299997
12,2020-03-04,,,,,,,,,159,80,243,1068,518,1556,1068,518,1556,1.65953662813
13,2020-03-05,,,,,,,,,186,96,290,1254,614,1845,1254,614,1845,1.65383879035
14,2020-03-06,,,,,,,,,228,121,363,1482,735,2207,1482,735,2207,1.64685896921
15,2020-03-07,,,,,,,,,261,140,418,1689,851,2550,1743,876,2625,1.63829874261
16,2020-03-08,,,,,,,,,287,157,464,1923,983,2938,2030,1033,3088,1.62779618989
17,2020-03-09,,,,,,,,,318,177,515,2187,1135,3378,2349,1210,3603,1.61493012442
18,2020-03-10,,,,,,,,,354,201,573,2488,1312,3876,2703,1412,4176,1.59923280275
19,2020-03-11,,,,,,,,,398,231,641,2832,1518,4442,3101,1643,4817,1.5802365509799998
20,2020-03-12,,,,,,,,,442,262,712,3220,1756,5078,3543,1906,5528,1.55755935314
21,2020-03-13,,,,,,,,,483,294,771,3649,2025,5774,4026,2200,6299,1.5310133981099998
22,2020-03-14,,,,,,,,,524,328,819,4119,2329,6518,4550,2529,7118,1.50070003803
23,2020-03-15,,,,,,,,,565,356,857,4631,2661,7300,5116,2886,7975,1.46703602311
24,2020-03-16,1.0,1.0,,,,,,,608,392,902,5099,2984,7992,5723,3278,8876,1.43069457085
25,2020-03-17,0.0,1.0,,,,,,,649,430,946,5609,3345,8729,6373,3709,9822,1.39249435255
26,2020-03-18,0.0,1.0,,,,,,,688,461,990,6151,3733,9499,7060,4171,10812,1.35329250641
27,2020-03-19,0.0,1.0,,,,,,,723,481,1043,6715,4134,10299,7783,4652,11854,1.31391838162
28,2020-03-20,2.0,3.0,,,,,,,756,503,1088,7285,4541,11097,8539,5156,12942,1.27514894736
29,2020-03-21,0.0,3.0,,,,,,,785,519,1119,7842,4940,11854,9324,5676,14060,1.23770677642
30,2020-03-22,0.0,3.0,,,,,,,812,535,1145,8394,5335,12581,10137,6212,15205,1.20225859535
31,2020-03-23,2.0,5.0,,,,,,,836,561,1166,8942,5740,13283,10973,6773,16371,1.16939853324
32,2020-03-24,0.0,5.0,,,,,,,857,574,1184,9481,6137,13951,11829,7347,17554,1.13961026547
33,2020-03-25,2.0,7.0,,,,,,,874,584,1195,10000,6520,14573,12704,7932,18749,1.11321537032
34,2020-03-26,2.0,9.0,,,,,,,889,597,1223,10492,6886,15156,13593,8530,19972,1.0903301678
35,2020-03-27,4.0,13.0,,,,,,,903,609,1254,10953,7234,15697,14496,9140,21225,1.07085829853
36,2020-03-28,2.0,15.0,,,,,,,914,630,1274,11384,7569,16200,15410,9770,22498,1.0545300797
37,2020-03-29,1.0,16.0,,,,,,,924,647,1286,11783,7888,16666,16334,10418,23783,1.0409723985100001
38,2020-03-30,2.0,18.0,,,,,,,932,657,1297,12150,8188,17106,17266,11075,25080,1.0297794922299999
39,2020-03-31,4.0,22.0,,,,,,,939,669,1309,12482,8465,17513,18205,11744,26389,1.0205636563
40,2020-04-01,4.0,26.0,,,,,,,946,682,1309,12778,8717,17876,19151,12427,27698,1.01298150286
41,2020-04-02,5.0,31.0,,,,,,,951,695,1313,13042,8951,18199,20102,13122,29010,1.00674182501
42,2020-04-03,3.0,34.0,,,,,,,956,708,1316,13274,9178,18472,21058,13831,30326,1.0016032446799998
43,2020-04-04,6.0,40.0,,,,,,,960,719,1313,13478,9394,18697,22017,14551,31638,0.997367719907
44,2020-04-05,4.0,44.0,,,,,,,963,728,1311,13656,9603,18888,22980,15279,32948,0.9938732717380001
45,2020-04-06,4.0,48.0,,,,,,,966,736,1300,13810,9803,19042,23946,16015,34247,0.990987376253
46,2020-04-07,3.0,51.0,,,,,,,969,738,1292,13942,9981,19169,24915,16754,35539,0.9886014398109999
47,2020-04-08,0.0,51.0,,,,,,,971,741,1278,14056,10148,19263,25886,17496,36817,0.9866263314749999
48,2020-04-09,16.0,67.0,,,,,,,973,750,1274,14155,10314,19342,26859,18247,38091,0.98498880349
49,2020-04-10,5.0,72.0,,,,,,,975,760,1270,14240,10477,19390,27833,19007,39361,0.983628616285
50,2020-04-11,8.0,80.0,,,,,,,976,766,1266,14314,10634,19402,28809,19774,40626,0.9824962136959999
51,2020-04-12,2.0,82.0,,,,,,,977,771,1260,14377,10774,19388,29786,20545,41885,0.981344453811
52,2020-04-13,0.0,82.0,,,,,,,978,775,1242,14431,10903,19344,30764,21321,43127,0.980333315134
53,2020-04-14,15.0,97.0,,,,,,,979,781,1243,14477,11027,19290,31743,22102,44370,0.979415915626
54,2020-04-15,9.0,106.0,,,,,,,979,786,1238,14516,11144,19219,32722,22889,45607,0.9785720228620001
55,2020-04-16,5.0,111.0,,,,,,,979,790,1231,14550,11253,19140,33701,23680,46837,0.9778896070280001
56,2020-04-17,5.0,116.0,,,,,,,979,794,1228,14578,11352,19055,34680,24474,48065,0.977225396428
57,2020-04-18,3.0,119.0,,,,,,,980,794,1222,14603,11437,18962,35660,25269,49287,0.977134754233
58,2020-04-19,1.0,120.0,,,,,,,980,795,1225,14623,11514,18873,36640,26065,50511,0.977045488972
59,2020-04-20,3.0,123.0,,,,,,,980,790,1230,14640,11575,18793,37620,26855,51741,0.9769582640469999
60,2020-04-21,1.0,124.0,,,,,,,980,787,1235,14654,11627,18729,38601,27643,52976,0.9768741403919999
61,2020-04-22,16.0,140.0,,,,,,,980,778,1240,14666,11666,18677,39581,28421,54216,0.976794685215
62,2020-04-23,10.0,150.0,,,,,,,980,770,1245,14675,11695,18644,40560,29192,55460,0.976722221582
63,2020-04-24,7.0,157.0,,,,,,,980,772,1252,14681,11716,18621,41540,29964,56712,0.976660199201
64,2020-04-25,9.0,166.0,,,,,,,979,771,1255,14686,11728,18606,42520,30736,57966,0.976613741892
65,2020-04-26,8.0,174.0,,,,,,,979,765,1258,14689,11727,18599,43499,31501,59224,0.9765904662880001
66,2020-04-27,3.0,177.0,,,,,,,979,756,1265,14691,11712,18604,44477,32257,60489,0.976601669192
67,2020-04-28,15.0,192.0,,,,,,,978,746,1269,14691,11682,18631,45456,33003,61757,0.976664053999
68,2020-04-29,39.0,231.0,,,,,,,978,737,1283,14691,11638,18670,46433,33741,63040,0.976802218108
69,2020-04-30,13.0,244.0,,,,,,,977,725,1292,14689,11577,18724,47411,34467,64331,0.9770521572600002
70,2020-05-01,12.0,256.0,,,,,,,977,715,1299,14687,11502,18792,48388,35182,65629,0.977466058644
71,2020-05-02,11.0,267.0,,,,,,,977,704,1303,14685,11412,18867,49365,35886,66931,0.978118520399
72,2020-05-03,8.0,275.0,,,,,,,977,694,1310,14682,11312,18955,50342,36581,68241,0.9791139126010001
73,2020-05-04,8.0,283.0,,,,,,,978,684,1314,14680,11201,19044,51320,37266,69554,0.980593555185
74,2020-05-05,13.0,296.0,,,,,,,979,676,1325,14679,11087,19138,52300,37942,70879,0.982739313766
75,2020-05-06,9.0,305.0,,,,,,,981,671,1337,14681,10971,19240,53281,38614,72215,0.985766881278
76,2020-05-07,11.0,316.0,,,,,,,985,667,1350,14685,10860,19349,54266,39281,73564,0.9898983620909999
77,2020-05-08,4.0,320.0,,,,,,,990,665,1362,14695,10755,19466,55256,39947,74926,0.9953037418289999
78,2020-05-09,10.0,330.0,,,,,,,996,666,1375,14712,10649,19589,56252,40614,76300,1.00201216445
79,2020-05-10,1.0,331.0,,,,,,,1005,673,1390,14738,10551,19725,57257,41287,77690,1.00982213483
80,2020-05-11,15.0,346.0,,,,,,,1015,678,1402,14773,10464,19868,58272,41966,79092,1.01827100698
81,2020-05-12,9.0,355.0,,,,,,,1024,683,1415,14818,10392,20018,59296,42649,80506,1.02461759073
82,2020-05-13,7.0,362.0,,,,,,,1034,686,1428,14874,10332,20177,60330,43336,81934,1.0306823143200001
83,2020-05-14,9.0,371.0,,,,,,,1046,688,1446,14943,10283,20341,61376,44025,83380,1.03623220355
84,2020-05-15,9.0,380.0,,,,,,,1059,690,1455,15024,10248,20504,62435,44715,84835,1.04111162865
85,2020-05-16,0.0,380.0,,,,,,,1072,689,1481,15118,10222,20686,63506,45405,86315,1.04525071544
86,2020-05-17,5.0,385.0,,,,,,,1085,691,1519,15227,10209,20902,64592,46096,87833,1.04865391772
87,2020-05-18,6.0,391.0,,,,,,,1099,692,1543,15348,10207,21135,65691,46789,89376,1.05137806796
88,2020-05-19,8.0,399.0,,,,,,,1113,690,1565,15484,10213,21386,66804,47480,90940,1.05350902046
89,2020-05-20,8.0,407.0,,,,,,,1128,689,1600,15632,10226,21661,67932,48169,92539,1.0551425623000001
90,2020-05-21,9.0,416.0,,,,,,,1143,692,1637,15794,10247,21961,69075,48861,94175,1.05637163113
91,2020-05-22,3.0,419.0,,,,,,,1158,688,1661,15968,10269,22272,70234,49550,95835,1.05727928078
92,2020-05-23,6.0,425.0,,,,,,,1175,685,1678,16152,10289,22588,71408,50236,97513,1.05793584217
93,2020-05-24,10.0,435.0,,,,,,,1191,682,1720,16347,10305,22933,72599,50919,99233,1.05839870742
94,2020-05-25,5.0,440.0,,,,,,,1208,679,1756,16550,10310,23299,73807,51598,100989,1.05871344453
95,2020-05-26,6.0,446.0,,,,,,,1225,675,1801,16760,10307,23698,75031,52274,102789,1.05891563429
96,2020-05-27,20.0,466.0,,,,,,,1242,671,1849,16978,10295,24132,76274,52945,104638,1.05903264282
97,2020-05-28,4.0,470.0,,,,,,,1260,667,1892,17204,10276,24596,77534,53613,106530,1.0590853058399998
98,2020-05-29,13.0,483.0,,,,,,,1278,664,1943,17436,10252,25093,78812,54278,108472,1.05908936604
99,2020-05-30,4.0,487.0,,,,,,,1297,661,1996,17674,10223,25634,80109,54939,110468,1.05905664888
100,2020-05-31,7.0,494.0,,,,,,,1316,658,2049,17919,10192,26203,81425,55597,112517,1.0589960056
101,2020-06-01,6.0,500.0,,,,,,,1335,654,2104,18169,10155,26788,82761,56252,114621,1.0589140385100002
102,2020-06-02,1.0,501.0,,,,,,,1355,651,2161,18425,10113,27406,84116,56903,116781,1.05881565643
103,2020-06-03,0.0,501.0,,,,,,,1376,647,2219,18688,10071,28060,85492,57551,118999,1.0587045
104,2020-06-04,0.0,501.0,,,,,,,1396,644,2278,18956,10026,28738,86888,58195,121276,1.05858326113
105,2020-06-05,38.0,539.0,,,,,,,1417,641,2338,19230,9975,29439,88305,58837,123614,1.0584539262100001
106,2020-06-06,0.0,539.0,,,,,,,1439,637,2401,19511,9924,30179,89744,59474,126014,1.0583179570399999
107,2020-06-07,7.0,546.0,,,,,,,1461,634,2464,19797,9872,30965,91205,60109,128478,1.0581764250399999
108,2020-06-08,11.0,557.0,,,,,,,1483,631,2529,20089,9821,31775,92688,60740,131007,1.05803011124
109,2020-06-09,11.0,568.0,,,,,,,1506,627,2596,20388,9770,32614,94195,61368,133603,1.05787958055
110,2020-06-10,7.0,575.0,,,,,,,1530,624,2665,20693,9719,33478,95724,61993,136267,1.05772523751
111,2020-06-11,13.0,588.0,,,,,,,1549,619,2727,21000,9667,34356,97273,62613,138993,1.05467913128
112,2020-06-12,5.0,593.0,,,,,,,1569,614,2791,21309,9614,35255,98843,63227,141784,1.05163929404
113,2020-06-13,6.0,599.0,,,,,,,1589,608,2855,21620,9558,36166,100432,63836,144638,1.04860629834
114,2020-06-14,1.0,600.0,,,,,,,1609,603,2920,21932,9500,37090,102041,64439,147558,1.04558022863
115,2020-06-15,2.0,602.0,,,,,,,1629,597,2985,22244,9439,38026,103670,65036,150542,1.04256115629
116,2020-06-16,5.0,607.0,,,,,,,1647,590,3048,22556,9375,38969,105317,65627,153589,1.03954914939
117,2020-06-17,,,7.0,3.0,10.0,614.0,610.0,617.0,1665,585,3110,22866,9309,39918,106982,66213,156698,
118,2020-06-18,,,7.0,3.0,11.0,620.0,614.0,627.0,1682,578,3172,23172,9240,40871,108664,66792,159869,
119,2020-06-19,,,7.0,3.0,11.0,627.0,618.0,638.0,1699,572,3233,23474,9168,41826,110362,67364,163102,
120,2020-06-20,,,7.0,3.0,12.0,635.0,621.0,649.0,1715,566,3293,23772,9094,42781,112077,67931,166394,
121,2020-06-21,,,8.0,3.0,12.0,643.0,625.0,661.0,1730,560,3352,24063,9016,43732,113807,68491,169746,
122,2020-06-22,,,8.0,3.0,13.0,650.0,629.0,674.0,1745,552,3410,24347,8934,44679,115552,69044,173156,
123,2020-06-23,,,8.0,4.0,14.0,659.0,633.0,687.0,1758,545,3466,24622,8848,45615,117310,69589,176622,
124,2020-06-24,,,9.0,4.0,14.0,667.0,637.0,700.0,1772,537,3514,24887,8758,46533,119082,70126,180135,
125,2020-06-25,,,9.0,4.0,15.0,676.0,642.0,715.0,1784,529,3558,25141,8663,47427,120866,70656,183693,
126,2020-06-26,,,9.0,4.0,16.0,685.0,646.0,730.0,1795,521,3621,25388,8565,48321,122661,71178,187314,
127,2020-06-27,,,10.0,4.0,16.0,695.0,650.0,746.0,1806,514,3679,25625,8464,49210,124467,71692,190993,
128,2020-06-28,,,10.0,4.0,17.0,705.0,654.0,762.0,1816,506,3735,25852,8362,50090,126283,72198,194728,
129,2020-06-29,,,10.0,4.0,18.0,715.0,659.0,779.0,1825,498,3790,26068,8256,50959,128109,72696,198517,
130,2020-06-30,,,11.0,4.0,19.0,726.0,663.0,797.0,1833,489,3851,26272,8149,51826,129942,73186,202367,
131,2020-07-01,,,11.0,4.0,19.0,736.0,668.0,816.0,1841,481,3909,26466,8040,52688,131783,73668,206276,
132,2020-07-02,,,11.0,4.0,20.0,747.0,672.0,835.0,1847,473,3978,26649,7928,53556,133630,74141,210254,
133,2020-07-03,,,11.0,4.0,20.0,758.0,677.0,855.0,1853,464,4042,26820,7813,54426,135483,74605,214295,
134,2020-07-04,,,11.0,4.0,20.0,770.0,681.0,875.0,1858,456,4091,26979,7697,55284,137342,75062,218385,
135,2020-07-05,,,11.0,4.0,21.0,781.0,685.0,895.0,1862,446,4133,27127,7577,56124,139204,75508,222518,
136,2020-07-06,,,11.0,4.0,21.0,792.0,690.0,916.0,1865,438,4197,27262,7456,56968,141069,75947,226714,
137,2020-07-07,,,12.0,4.0,22.0,804.0,694.0,937.0,1868,431,4262,27386,7334,57820,142937,76378,230976,
138,2020-07-08,,,12.0,4.0,22.0,816.0,698.0,959.0,1870,422,4327,27497,7211,58680,144807,76801,235302,
139,2020-07-09,,,12.0,4.0,23.0,828.0,702.0,981.0,1871,414,4390,27596,7088,59557,146677,77215,239691,
140,2020-07-10,,,12.0,4.0,23.0,840.0,706.0,1004.0,1871,405,4453,27683,6964,60452,148548,77621,244144,
141,2020-07-11,,,12.0,4.0,24.0,852.0,710.0,1027.0,1870,396,4515,27758,6839,61346,150419,78017,248659,
