,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-25,,,,,,,,,87,50,100,87,50,100,87,50,100,2.0180285652900003
1,2020-02-26,,,,,,,,,87,50,100,173,100,200,173,100,200,1.9917820809599998
2,2020-02-27,,,,,,,,,87,50,100,260,150,300,260,150,300,1.9858053706299998
3,2020-02-28,,,,,,,,,87,50,100,347,200,400,347,200,400,1.9784074810099999
4,2020-02-29,,,,,,,,,87,50,100,434,250,500,434,250,500,1.9692202428799999
5,2020-03-01,,,,,,,,,87,50,100,520,300,600,520,300,600,1.9577714557099999
6,2020-03-02,,,,,,,,,87,50,100,607,350,700,607,350,700,1.9434609173099997
7,2020-03-03,,,,,,,,,87,50,100,694,400,800,694,400,800,1.9255427164099996
8,2020-03-04,,,,,,,,,87,50,100,780,450,900,780,450,900,1.90312851396
9,2020-03-05,,,,,,,,,247,149,340,1028,599,1240,1028,599,1240,1.87513975218
10,2020-03-06,,,,,,,,,243,148,331,1271,747,1570,1271,747,1570,1.8407838146200002
11,2020-03-07,,,,,,,,,253,157,345,1524,905,1915,1524,905,1915,1.79917496688
12,2020-03-08,,,,,,,,,275,175,382,1799,1080,2297,1799,1080,2297,1.74995229213
13,2020-03-09,,,,,,,,,323,212,463,2122,1293,2760,2122,1293,2760,1.6932993680300001
14,2020-03-10,,,,,,,,,393,259,579,2515,1552,3338,2515,1552,3338,1.63004966084
15,2020-03-11,,,,,,,,,437,292,647,2865,1794,3885,2952,1844,3985,1.5616524312
16,2020-03-12,,,,,,,,,465,318,687,3244,2063,4472,3417,2163,4672,1.49004435308
17,2020-03-13,,,,,,,,,495,342,720,3652,2356,5092,3912,2506,5392,1.4174555863299998
18,2020-03-14,,,,,,,,,526,367,754,4092,2674,5745,4439,2874,6145,1.3461722817700001
19,2020-03-15,,,,,,,,,562,393,829,4567,3017,6473,5001,3267,6973,1.27831711593
20,2020-03-16,,,,,,,,,590,411,871,5070,3378,7244,5591,3678,7844,1.21567589555
21,2020-03-17,,,,,,,,,609,428,881,5593,3757,8024,6200,4107,8724,1.15957746112
22,2020-03-18,,,,,,,,,624,442,906,6130,4149,8829,6823,4549,9629,1.1108259781999998
23,2020-03-19,,,,,,,,,636,454,904,6679,4554,9633,7459,5004,10533,1.0696781083600002
24,2020-03-20,1.0,1.0,,,,,,,648,464,902,7080,4870,10195,8107,5469,11435,1.0358767964
25,2020-03-21,0.0,1.0,,,,,,,658,477,897,7494,5199,10762,8765,5947,12331,1.0087518025
26,2020-03-22,1.0,2.0,,,,,,,665,490,889,7907,5532,11305,9430,6438,13220,0.987375110763
27,2020-03-23,0.0,2.0,,,,,,,671,501,884,8302,5859,11807,10101,6940,14103,0.9707306782389999
28,2020-03-24,0.0,2.0,,,,,,,675,508,876,8654,6155,12220,10776,7449,14979,0.9578511969660001
29,2020-03-25,1.0,3.0,,,,,,,678,515,875,8940,6411,12515,11454,7964,15853,0.9478979722579999
30,2020-03-26,0.0,3.0,,,,,,,682,523,874,9184,6642,12741,12136,8487,16726,0.940188273407
31,2020-03-27,3.0,6.0,,,,,,,684,527,874,9403,6851,12928,12820,9015,17600,0.934188538377
32,2020-03-28,1.0,7.0,,,,,,,685,532,873,9593,7041,13081,13505,9547,18472,0.929491818995
33,2020-03-29,1.0,8.0,,,,,,,686,538,871,9753,7211,13197,14192,10086,19342,0.925791553535
34,2020-03-30,6.0,14.0,,,,,,,687,541,864,9878,7360,13232,14879,10628,20205,0.92285770185
35,2020-03-31,9.0,23.0,,,,,,,687,547,855,9976,7496,13217,15566,11175,21060,0.9205173437880001
36,2020-04-01,1.0,24.0,,,,,,,687,553,845,10054,7621,13181,16254,11728,21904,0.9186398129510001
37,2020-04-02,12.0,36.0,,,,,,,687,552,843,10117,7731,13118,16941,12281,22747,0.917125666769
38,2020-04-03,5.0,41.0,,,,,,,687,552,836,10168,7829,13050,17627,12834,23583,0.915898623061
39,2020-04-04,9.0,50.0,,,,,,,685,551,832,10206,7916,12980,18313,13386,24414,0.9143710499500001
40,2020-04-05,3.0,53.0,,,,,,,684,553,827,10232,7992,12910,18997,13939,25241,0.913107763352
41,2020-04-06,12.0,65.0,,,,,,,683,553,824,10249,8055,12846,19679,14493,26065,0.9122072097570001
42,2020-04-07,7.0,72.0,,,,,,,681,554,822,10259,8107,12783,20360,15047,26886,0.911528055712
43,2020-04-08,8.0,80.0,,,,,,,679,552,822,10263,8151,12729,21039,15600,27707,0.911004701241
44,2020-04-09,14.0,94.0,,,,,,,677,547,818,10262,8184,12672,21716,16148,28525,0.9105439849889999
45,2020-04-10,4.0,98.0,,,,,,,675,544,819,10256,8205,12617,22392,16693,29343,0.910509189164
46,2020-04-11,8.0,106.0,,,,,,,673,542,816,10245,8220,12560,23065,17235,30159,0.910479743577
47,2020-04-12,0.0,106.0,,,,,,,671,537,816,10230,8225,12503,23735,17773,30975,0.910458210515
48,2020-04-13,3.0,109.0,,,,,,,668,532,811,10212,8219,12444,24404,18305,31785,0.9104484266249999
49,2020-04-14,15.0,124.0,,,,,,,666,526,810,10191,8204,12390,25070,18832,32595,0.9104560982809999
50,2020-04-15,0.0,124.0,,,,,,,663,521,812,10166,8178,12347,25733,19353,33406,0.910489710825
51,2020-04-16,12.0,136.0,,,,,,,660,515,810,10140,8140,12312,26393,19869,34216,0.910561868646
52,2020-04-17,5.0,141.0,,,,,,,658,510,811,10110,8098,12280,27051,20380,35026,0.910691261289
53,2020-04-18,1.0,142.0,,,,,,,655,504,816,10078,8050,12260,27706,20885,35842,0.9109055301510001
54,2020-04-19,6.0,148.0,,,,,,,652,500,815,10045,7999,12243,28358,21385,36656,0.911245385997
55,2020-04-20,4.0,152.0,,,,,,,649,494,815,10010,7939,12231,29007,21879,37471,0.911770413494
56,2020-04-21,5.0,157.0,,,,,,,646,489,817,9974,7875,12224,29653,22369,38288,0.9125670054680001
57,2020-04-22,0.0,157.0,,,,,,,644,485,816,9936,7806,12218,30297,22854,39104,0.913758661453
58,2020-04-23,14.0,171.0,,,,,,,641,481,817,9899,7734,12213,30938,23335,39920,0.915518181486
59,2020-04-24,-2.0,169.0,,,,,,,639,478,817,9861,7665,12212,31577,23813,40736,0.918079560545
60,2020-04-25,8.0,177.0,,,,,,,638,475,817,9824,7596,12210,32216,24289,41553,0.9217439579629999
61,2020-04-26,4.0,181.0,,,,,,,638,475,820,9789,7528,12214,32854,24764,42372,0.926868595943
62,2020-04-27,3.0,184.0,,,,,,,639,476,823,9758,7467,12221,33493,25240,43195,0.933821394403
63,2020-04-28,4.0,188.0,,,,,,,642,479,830,9731,7414,12240,34135,25719,44025,0.942884087407
64,2020-04-29,7.0,195.0,,,,,,,646,484,836,9711,7371,12265,34781,26204,44860,0.9541053284919999
65,2020-04-30,4.0,199.0,,,,,,,652,491,837,9700,7342,12290,35433,26696,45696,0.967151973096
66,2020-05-01,5.0,204.0,,,,,,,660,498,846,9700,7324,12326,36093,27194,46541,0.9812584681450001
67,2020-05-02,5.0,209.0,,,,,,,667,503,847,9709,7317,12362,36759,27697,47388,0.9918864723280001
68,2020-05-03,1.0,210.0,,,,,,,675,508,855,9728,7321,12401,37434,28206,48243,1.0020499489599999
69,2020-05-04,9.0,219.0,,,,,,,684,515,859,9760,7336,12446,38118,28721,49102,1.01136302415
70,2020-05-05,7.0,226.0,,,,,,,694,527,866,9805,7369,12496,38811,29249,49967,1.01956800322
71,2020-05-06,13.0,239.0,,,,,,,704,540,882,9863,7420,12560,39516,29789,50848,1.02654914284
72,2020-05-07,-1.0,238.0,,,,,,,715,546,894,9934,7481,12639,40230,30335,51742,1.03231375357
73,2020-05-08,4.0,242.0,,,,,,,725,552,908,10018,7552,12731,40956,30888,52650,1.0369558623200001
74,2020-05-09,0.0,242.0,,,,,,,737,557,923,10115,7632,12837,41692,31445,53572,1.0406175467
75,2020-05-10,1.0,243.0,,,,,,,748,563,942,10225,7719,12961,42440,32008,54514,1.0434573723799998
76,2020-05-11,8.0,251.0,,,,,,,759,568,961,10346,7812,13102,43200,32576,55474,1.04562922441
77,2020-05-12,15.0,266.0,,,,,,,771,572,982,10478,7908,13261,43971,33149,56455,1.04727064163
78,2020-05-13,7.0,273.0,,,,,,,783,574,1008,10619,8004,13439,44753,33724,57463,1.0484981086299998
79,2020-05-14,14.0,287.0,,,,,,,794,576,1027,10767,8096,13630,45548,34300,58489,1.0494066962000002
80,2020-05-15,3.0,290.0,,,,,,,806,576,1048,10921,8181,13841,46354,34877,59536,1.0500719847
81,2020-05-16,5.0,295.0,,,,,,,818,577,1070,11079,8260,14065,47172,35454,60606,1.05055293396
82,2020-05-17,3.0,298.0,,,,,,,830,573,1099,11243,8330,14317,48002,36028,61705,1.0508949119600002
83,2020-05-18,3.0,301.0,,,,,,,842,573,1126,11411,8395,14588,48845,36601,62830,1.05113248089
84,2020-05-19,4.0,305.0,,,,,,,854,573,1157,11581,8453,14885,49699,37175,63987,1.05129177955
85,2020-05-20,0.0,305.0,,,,,,,866,571,1184,11754,8497,15204,50565,37746,65170,1.05139246937
86,2020-05-21,8.0,313.0,,,,,,,879,570,1216,11928,8527,15538,51444,38317,66385,1.0514492793899999
87,2020-05-22,2.0,315.0,,,,,,,891,566,1248,12105,8547,15891,52335,38883,67632,1.05147321039
88,2020-05-23,14.0,329.0,,,,,,,903,561,1280,12282,8556,16263,53238,39444,68912,1.05147246036
89,2020-05-24,7.0,336.0,,,,,,,916,556,1313,12461,8555,16653,54154,40001,70225,1.05145312874
90,2020-05-25,2.0,338.0,,,,,,,928,552,1347,12641,8545,17058,55082,40554,71571,1.05141974807
91,2020-05-26,5.0,343.0,,,,,,,941,547,1381,12823,8525,17478,56022,41102,72952,1.05137568293
92,2020-05-27,10.0,353.0,,,,,,,954,543,1417,13006,8495,17914,56976,41645,74368,1.05132342865
