,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-24,,,,,,,,,34,17,40,34,17,40,34,17,40,1.25438596491
1,2020-02-25,,,,,,,,,34,17,40,67,35,80,67,35,80,1.2497996704899998
2,2020-02-26,,,,,,,,,34,17,40,101,53,120,101,53,120,1.2487904183299998
3,2020-02-27,,,,,,,,,34,17,40,135,71,160,135,71,160,1.24756051107
4,2020-02-28,,,,,,,,,34,17,40,168,89,200,168,89,200,1.24606228823
5,2020-02-29,,,,,,,,,34,17,40,202,107,240,202,107,240,1.24423798918
6,2020-03-01,,,,,,,,,34,17,40,236,125,280,236,125,280,1.24201764565
7,2020-03-02,,,,,,,,,34,17,40,269,142,320,269,142,320,1.2393165143
8,2020-03-03,,,,,,,,,34,17,40,303,160,360,303,160,360,1.23603192608
9,2020-03-04,,,,,,,,,74,40,100,377,201,460,377,201,460,1.2317823702700001
10,2020-03-05,,,,,,,,,73,39,99,450,240,558,450,240,558,1.22689979308
11,2020-03-06,,,,,,,,,75,41,101,525,282,659,525,282,659,1.2209355551999999
12,2020-03-07,,,,,,,,,79,43,108,605,325,766,605,325,766,1.21370752969
13,2020-03-08,,,,,,,,,88,49,122,693,375,888,693,375,888,1.2049445427
14,2020-03-09,,,,,,,,,102,58,144,796,433,1031,796,433,1031,1.19432463403
15,2020-03-10,,,,,,,,,112,64,159,874,480,1149,908,498,1189,1.1814746954700002
16,2020-03-11,,,,,,,,,119,69,169,959,532,1277,1026,568,1357,1.1659904828
17,2020-03-12,,,,,,,,,126,75,178,1051,589,1415,1152,643,1535,1.14748839731
18,2020-03-13,,,,,,,,,132,81,189,1150,653,1563,1285,725,1723,1.12566867542
19,2020-03-14,,,,,,,,,140,87,201,1256,722,1723,1425,812,1923,1.1004060048200002
20,2020-03-15,,,,,,,,,147,96,210,1370,801,1893,1572,909,2133,1.0718266274700001
21,2020-03-16,,,,,,,,,152,101,211,1488,885,2063,1724,1010,2343,1.04032053169
22,2020-03-17,,,,,,,,,155,101,212,1609,968,2235,1878,1111,2555,1.00648377282
23,2020-03-18,,,,,,,,,157,101,218,1732,1052,2413,2035,1213,2773,0.971018047925
24,2020-03-19,2.0,2.0,,,,,,,158,104,220,1817,1116,2533,2193,1317,2993,0.934645981469
25,2020-03-20,0.0,2.0,,,,,,,158,102,226,1901,1179,2661,2352,1420,3219,0.898070969844
26,2020-03-21,0.0,2.0,,,,,,,157,101,225,1983,1240,2785,2508,1522,3443,0.8619741393170001
27,2020-03-22,0.0,2.0,,,,,,,154,101,220,2058,1298,2897,2663,1624,3662,0.827023699455
28,2020-03-23,3.0,5.0,,,,,,,151,98,216,2120,1347,2991,2813,1722,3878,0.793870700426
29,2020-03-24,2.0,7.0,,,,,,,146,97,211,2164,1386,3057,2960,1820,4088,0.7631168421
30,2020-03-25,1.0,8.0,,,,,,,142,96,205,2194,1417,3104,3101,1916,4292,0.73525653339
31,2020-03-26,1.0,9.0,,,,,,,137,94,199,2212,1442,3134,3238,2010,4491,0.710612392177
32,2020-03-27,1.0,10.0,,,,,,,131,91,189,2217,1458,3145,3369,2102,4680,0.6892929176029999
33,2020-03-28,2.0,12.0,,,,,,,126,88,182,2211,1465,3138,3495,2190,4861,0.6711945435860001
34,2020-03-29,0.0,12.0,,,,,,,121,86,173,2191,1465,3111,3616,2277,5034,0.6560491682280001
35,2020-03-30,0.0,12.0,,,,,,,116,82,164,2160,1451,3065,3731,2360,5197,0.643495773319
36,2020-03-31,1.0,13.0,,,,,,,111,78,157,2118,1428,3010,3842,2438,5353,0.633147993053
37,2020-04-01,3.0,16.0,,,,,,,106,73,151,2069,1400,2949,3948,2512,5504,0.6246403959610001
38,2020-04-02,1.0,17.0,,,,,,,101,71,144,2014,1369,2875,4049,2583,5648,0.6176514129730001
39,2020-04-03,0.0,17.0,,,,,,,97,68,137,1953,1333,2792,4146,2651,5784,0.611909446871
40,2020-04-04,3.0,20.0,,,,,,,93,66,132,1888,1297,2698,4239,2717,5916,0.607189933412
41,2020-04-05,2.0,22.0,,,,,,,89,63,127,1821,1259,2600,4329,2781,6043,0.603308898341
42,2020-04-06,1.0,23.0,,,,,,,86,60,121,1752,1218,2502,4415,2842,6164,0.600115998922
43,2020-04-07,0.0,23.0,,,,,,,83,57,115,1684,1177,2401,4497,2900,6278,0.597488294418
44,2020-04-08,0.0,23.0,,,,,,,80,54,110,1617,1134,2301,4577,2955,6388,0.595325075019
45,2020-04-09,0.0,23.0,,,,,,,77,52,107,1552,1091,2202,4654,3007,6494,0.593543695396
46,2020-04-10,1.0,24.0,,,,,,,74,49,103,1490,1046,2106,4728,3057,6597,0.592076242902
47,2020-04-11,1.0,25.0,,,,,,,71,47,99,1430,1002,2016,4799,3104,6696,0.5908668653270001
48,2020-04-12,2.0,27.0,,,,,,,69,44,96,1373,958,1931,4868,3149,6791,0.589869612723
49,2020-04-13,1.0,28.0,,,,,,,67,43,93,1319,915,1851,4935,3192,6884,0.589046681472
50,2020-04-14,1.0,29.0,,,,,,,65,41,92,1268,873,1779,5000,3234,6975,0.588366976881
