,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-05,,,,,,,,,100,50,150,100,50,150,100,50,150,1.56076362729
1,2020-02-06,,,,,,,,,100,50,150,200,100,300,200,100,300,1.56035899409
2,2020-02-07,,,,,,,,,100,50,150,300,150,450,300,150,450,1.5602694523700003
3,2020-02-08,,,,,,,,,100,50,150,400,200,600,400,200,600,1.56016010789
4,2020-02-09,,,,,,,,,100,50,150,500,250,750,500,250,750,1.5600265869499998
5,2020-02-10,,,,,,,,,100,50,150,600,300,900,600,300,900,1.55986355262
6,2020-02-11,,,,,,,,,100,50,150,699,350,1050,699,350,1050,1.55966449389
7,2020-02-12,,,,,,,,,100,50,150,799,400,1200,799,400,1200,1.5594214692500001
8,2020-02-13,,,,,,,,,100,50,150,899,450,1350,899,450,1350,1.55912479509
9,2020-02-14,,,,,,,,,249,129,360,1148,579,1710,1148,579,1710,1.55868426037
10,2020-02-15,,,,,,,,,248,129,359,1397,709,2069,1397,709,2069,1.55823251759
11,2020-02-16,,,,,,,,,258,135,372,1655,844,2440,1655,844,2440,1.55766859004
12,2020-02-17,,,,,,,,,280,147,400,1934,991,2839,1934,991,2839,1.55698611456
13,2020-02-18,,,,,,,,,324,172,457,2258,1164,3296,2258,1164,3296,1.5561580065
14,2020-02-19,,,,,,,,,393,212,547,2652,1376,3843,2652,1376,3843,1.55515158391
15,2020-02-20,,,,,,,,,446,242,615,2998,1569,4307,3098,1619,4457,1.5539261499700001
16,2020-02-21,,,,,,,,,491,268,670,3389,1787,4827,3589,1887,5127,1.5524326105500001
17,2020-02-22,,,,,,,,,541,298,732,3830,2036,5408,4130,2186,5858,1.5506159765099998
18,2020-02-23,,,,,,,,,601,334,802,4331,2320,6059,4731,2520,6659,1.5484083354
19,2020-02-24,,,,,,,,,675,378,921,4906,2649,6830,5406,2899,7580,1.54572535924
20,2020-02-25,,,,,,,,,753,425,1045,5559,3025,7724,6158,3325,8624,1.54246435544
21,2020-02-26,,,,,,,,,831,473,1171,6289,3449,8744,6989,3799,9794,1.53849967868
22,2020-02-27,,,,,,,,,913,525,1304,7102,3924,9898,7902,4324,11098,1.5336792645100001
23,2020-02-28,,,,,,,,,1003,582,1449,8005,4456,11197,8905,4906,12547,1.52781707472
24,2020-02-29,1.0,1.0,,,,,,,1102,646,1608,8858,4973,12444,10007,5553,14154,1.52068446486
25,2020-03-01,0.0,1.0,,,,,,,1209,716,1774,9820,5559,13859,11216,6269,15927,1.5120013545
26,2020-03-02,5.0,6.0,,,,,,,1321,790,1942,10882,6215,15429,12537,7059,17868,1.5014284316
27,2020-03-03,1.0,7.0,,,,,,,1436,870,2109,12039,6938,17139,13973,7930,19977,1.48856509342
28,2020-03-04,3.0,10.0,,,,,,,1556,956,2276,13271,7721,18957,15529,8886,22253,1.47296034377
29,2020-03-05,1.0,11.0,,,,,,,1680,1048,2435,14557,8558,20845,17209,9935,24687,1.4541479416999998
30,2020-03-06,2.0,13.0,,,,,,,1804,1147,2587,15915,9463,22817,19013,11083,27274,1.4317148535
31,2020-03-07,3.0,16.0,,,,,,,1927,1252,2714,17351,10447,24861,20940,12335,29988,1.40539821239
32,2020-03-08,2.0,18.0,,,,,,,2043,1360,2849,18853,11509,26979,22983,13695,32837,1.37518426954
33,2020-03-09,1.0,19.0,,,,,,,2151,1447,3025,20403,12622,29202,25134,15142,35861,1.341369507
34,2020-03-10,4.0,23.0,,,,,,,2249,1517,3120,21977,13760,31401,27382,16660,38980,1.3045578327200003
35,2020-03-11,1.0,24.0,,,,,,,2334,1579,3149,23558,14914,33505,29716,18240,42128,1.26559846319
36,2020-03-12,7.0,31.0,,,,,,,2404,1623,3315,25132,16064,35649,32121,19863,45443,1.2254882170799999
37,2020-03-13,6.0,37.0,,,,,,,2460,1660,3401,26679,17199,37746,34581,21523,48843,1.18526259754
38,2020-03-14,2.0,39.0,,,,,,,2500,1698,3485,28176,18315,39782,37081,23222,52328,1.1458977098
39,2020-03-15,1.0,40.0,,,,,,,2526,1720,3496,29600,19389,41669,39607,24943,55823,1.10824420891
40,2020-03-16,8.0,48.0,,,,,,,2538,1736,3505,30929,20410,43400,42145,26679,59327,1.07300278485
41,2020-03-17,7.0,55.0,,,,,,,2537,1746,3490,32146,21365,44948,44682,28425,62816,1.04072746414
42,2020-03-18,12.0,67.0,,,,,,,2526,1749,3450,33236,22245,46289,47209,30175,66266,1.01182771436
43,2020-03-19,6.0,73.0,,,,,,,2506,1740,3417,34185,23029,47430,49714,31915,69682,0.986549727418
44,2020-03-20,10.0,83.0,,,,,,,2478,1727,3382,34984,23708,48377,52193,33643,73064,0.964946595909
