,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-01,,,,,,,,,10,10,10,10,10,10,10,10,10,1.93918128655
1,2020-03-02,,,,,,,,,10,10,10,20,20,20,20,20,20,1.87320310592
2,2020-03-03,,,,,,,,,10,10,10,30,30,30,30,30,30,1.85793206698
3,2020-03-04,,,,,,,,,10,10,10,40,40,40,40,40,40,1.8389595788900004
4,2020-03-05,,,,,,,,,10,10,10,50,50,50,50,50,50,1.8153822391099999
5,2020-03-06,,,,,,,,,10,10,10,60,60,60,60,60,60,1.78615804214
6,2020-03-07,,,,,,,,,10,10,10,70,70,70,70,70,70,1.7501843111200002
7,2020-03-08,,,,,,,,,10,10,10,80,80,80,80,80,80,1.7064516945800001
8,2020-03-09,,,,,,,,,10,10,10,90,90,90,90,90,90,1.6542584903200002
9,2020-03-10,,,,,,,,,26,19,34,116,109,124,116,109,124,1.59332976222
10,2020-03-11,,,,,,,,,25,19,33,141,129,157,141,129,157,1.5242647756299998
11,2020-03-12,,,,,,,,,25,18,35,167,148,192,167,148,192,1.44798027093
12,2020-03-13,,,,,,,,,27,18,39,193,166,230,193,166,230,1.36595079901
13,2020-03-14,,,,,,,,,30,19,46,223,185,276,223,185,276,1.2799242538
14,2020-03-15,,,,,,,,,34,19,57,257,205,332,257,205,332,1.19183582339
15,2020-03-16,,,,,,,,,36,19,62,283,215,384,293,225,394,1.1037409654299999
16,2020-03-17,,,,,,,,,37,19,65,310,225,438,330,245,458,1.01775752287
17,2020-03-18,,,,,,,,,37,19,68,336,234,495,366,264,525,0.935979279968
18,2020-03-19,,,,,,,,,36,18,69,363,243,554,403,283,594,0.860331381
19,2020-03-20,,,,,,,,,36,18,70,389,251,613,439,301,663,0.792382958005
20,2020-03-21,,,,,,,,,36,18,69,415,259,672,475,319,732,0.733153294518
21,2020-03-22,,,,,,,,,34,17,64,439,267,726,509,337,796,0.68298190843
22,2020-03-23,,,,,,,,,33,16,60,462,273,776,542,353,856,0.641534646555
23,2020-03-24,,,,,,,,,31,16,58,483,280,823,573,370,913,0.607957027187
24,2020-03-25,1.0,1.0,,,,,,,30,15,55,487,276,844,603,386,968,0.581111162021
25,2020-03-26,0.0,1.0,,,,,,,28,15,52,490,272,862,631,401,1019,0.559801140735
26,2020-03-27,0.0,1.0,,,,,,,27,15,48,491,268,874,658,416,1066,0.542925625113
27,2020-03-28,1.0,2.0,,,,,,,26,14,44,490,265,880,683,431,1109,0.5295493896500001
28,2020-03-29,0.0,2.0,,,,,,,24,14,41,485,260,874,708,446,1149,0.5189164713319999
29,2020-03-30,1.0,3.0,,,,,,,23,14,37,474,254,855,731,460,1186,0.510432612563
30,2020-03-31,0.0,3.0,,,,,,,22,13,35,460,248,828,753,474,1221,0.503636900225
31,2020-04-01,0.0,3.0,,,,,,,21,13,34,445,242,796,774,488,1254,0.498173258988
32,2020-04-02,0.0,3.0,,,,,,,20,13,32,428,236,761,795,501,1286,0.493766110406
33,2020-04-03,0.0,3.0,,,,,,,20,13,30,412,231,723,814,514,1316,0.49020111569499997
34,2020-04-04,2.0,5.0,,,,,,,19,12,29,394,226,681,833,527,1344,0.48731050507600004
35,2020-04-05,1.0,6.0,,,,,,,18,12,28,377,220,640,851,540,1372,0.48496208814999997
36,2020-04-06,0.0,6.0,,,,,,,17,12,27,360,215,603,869,552,1398,0.483051056055
