,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-17,,,,,,,,,109,50,150,109,50,150,109,50,150,2.048502528
1,2020-02-18,,,,,,,,,109,50,150,217,100,300,217,100,300,2.0456775873099997
2,2020-02-19,,,,,,,,,109,50,150,326,150,450,326,150,450,2.04505213567
3,2020-02-20,,,,,,,,,109,50,150,434,200,600,434,200,600,2.04428817567
4,2020-02-21,,,,,,,,,109,50,150,543,250,750,543,250,750,2.04335500122
5,2020-02-22,,,,,,,,,109,50,150,651,300,900,651,300,900,2.0422150691099996
6,2020-02-23,,,,,,,,,109,50,150,760,350,1050,760,350,1050,2.04082245181
7,2020-02-24,,,,,,,,,109,50,150,868,400,1200,868,400,1200,2.0391209208200003
8,2020-02-25,,,,,,,,,109,50,150,977,450,1350,977,450,1350,2.03704155867
9,2020-02-26,,,,,,,,,322,149,480,1299,599,1830,1299,599,1830,2.03441925036
10,2020-02-27,,,,,,,,,321,149,478,1620,749,2308,1620,749,2308,2.03130101053
11,2020-02-28,,,,,,,,,340,158,512,1960,908,2820,1960,908,2820,2.0274677801
12,2020-02-29,,,,,,,,,381,178,582,2341,1086,3401,2341,1086,3401,2.0227809131599996
13,2020-03-01,,,,,,,,,466,218,727,2807,1305,4127,2807,1305,4127,2.0170406664
14,2020-03-02,,,,,,,,,598,281,953,3405,1586,5080,3405,1586,5080,2.0099980513299998
15,2020-03-03,,,,,,,,,702,332,1135,3999,1869,6064,4107,1919,6214,2.00133912704
16,2020-03-04,,,,,,,,,797,379,1303,4687,2198,7217,4904,2298,7517,1.9906703672200001
17,2020-03-05,,,,,,,,,914,437,1513,5493,2586,8580,5818,2736,9030,1.9775075493799998
18,2020-03-06,,,,,,,,,1057,510,1769,6441,3046,10198,6875,3246,10798,1.9612506888699999
19,2020-03-07,,,,,,,,,1235,604,2080,7567,3601,12127,8110,3851,12877,1.9411781417400003
20,2020-03-08,,,,,,,,,1422,706,2395,8881,4257,14372,9532,4557,15272,1.91647276567
21,2020-03-09,,,,,,,,,1612,817,2746,10384,5025,16967,11143,5375,18017,1.88629575148
22,2020-03-10,,,,,,,,,1813,943,3092,12088,5919,19909,12957,6319,21109,1.84993001448
23,2020-03-11,,,,,,,,,2029,1091,3425,14008,6960,23184,14985,7410,24534,1.8069699080900001
24,2020-03-12,1.0,1.0,,,,,,,2257,1259,3712,15943,8069,26416,17242,8669,28245,1.75750302005
25,2020-03-13,0.0,1.0,,,,,,,2485,1431,3929,18107,9351,29867,19727,10101,32174,1.70220032553
26,2020-03-14,0.0,1.0,,,,,,,2704,1596,4191,20471,10789,33546,22431,11697,36365,1.64226692407
27,2020-03-15,0.0,1.0,,,,,,,2912,1754,4391,23002,12365,37355,25343,13452,40756,1.57928176087
28,2020-03-16,0.0,1.0,,,,,,,3107,1919,4528,25643,14066,41157,28450,15372,45284,1.5149944956
29,2020-03-17,0.0,1.0,,,,,,,3290,2089,4617,28335,15874,44821,31740,17461,49900,1.45113782919
30,2020-03-18,2.0,3.0,,,,,,,3454,2289,4902,31087,17832,48589,35194,19751,54802,1.38928535889
31,2020-03-19,7.0,10.0,,,,,,,3598,2475,4976,33888,19928,52261,38792,22227,59778,1.33076635295
32,2020-03-20,4.0,14.0,,,,,,,3722,2604,5012,36696,22095,55760,42514,24831,64789,1.27663323282
33,2020-03-21,6.0,20.0,,,,,,,3825,2685,5076,39464,24270,59068,46339,27517,69865,1.2276584126299999
34,2020-03-22,5.0,25.0,,,,,,,3912,2773,5165,42141,26439,62153,50251,30290,75030,1.18433139822
35,2020-03-23,0.0,25.0,,,,,,,3983,2816,5257,44703,28549,65015,54234,33107,80286,1.14684436297
36,2020-03-24,7.0,32.0,,,,,,,4040,2915,5330,47131,30647,67598,58275,36022,85615,1.11508306373
37,2020-03-25,8.0,40.0,,,,,,,4086,2958,5399,49404,32662,69906,62361,38981,91014,1.08865411601
38,2020-03-26,8.0,48.0,,,,,,,4122,2992,5561,51497,34563,72042,66482,41973,96575,1.06696193515
39,2020-03-27,16.0,64.0,,,,,,,4149,3019,5549,53390,36322,73878,70632,44992,102123,1.04931447415
40,2020-03-28,5.0,69.0,,,,,,,4170,3040,5520,55075,37932,75468,74802,48033,107642,1.03502060803
41,2020-03-29,11.0,80.0,,,,,,,4185,3062,5485,56555,39397,76762,78986,51095,113127,1.02345440114
42,2020-03-30,7.0,87.0,,,,,,,4195,3112,5468,57839,40756,77839,83181,54208,118595,1.0140835007100002
43,2020-03-31,24.0,111.0,,,,,,,4201,3156,5459,58932,41993,78770,87382,57365,124053,1.00647207001
44,2020-04-01,28.0,139.0,,,,,,,4203,3195,5444,59846,43099,79597,91586,60561,129497,1.00027057969
45,2020-04-02,24.0,163.0,,,,,,,4203,3217,5423,60595,44027,80118,95789,63778,134919,0.995201218165
46,2020-04-03,21.0,184.0,,,,,,,4200,3224,5396,61197,44776,80537,99989,67003,140315,0.9910435650920001
47,2020-04-04,17.0,201.0,,,,,,,4196,3228,5365,61671,45400,80890,104185,70232,145679,0.9876223538269999
48,2020-04-05,10.0,211.0,,,,,,,4189,3231,5329,62035,45946,81144,108374,73463,151008,0.9847976711220001
49,2020-04-06,18.0,229.0,,,,,,,4181,3227,5292,62305,46401,81271,112556,76691,156300,0.982457334358
