,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-22,,,,,,,,,304,200,400,304,200,400,304,200,400,2.15338316899
1,2020-02-23,,,,,,,,,304,200,400,608,400,800,608,400,800,2.14880455715
2,2020-02-24,,,,,,,,,304,200,400,912,600,1200,912,600,1200,2.1477736607
3,2020-02-25,,,,,,,,,304,200,400,1215,800,1600,1215,800,1600,2.14650983136
4,2020-02-26,,,,,,,,,304,200,400,1519,1000,2000,1519,1000,2000,2.14496049255
5,2020-02-27,,,,,,,,,304,200,400,1823,1200,2400,1823,1200,2400,2.14306137815
6,2020-02-28,,,,,,,,,304,200,400,2127,1400,2800,2127,1400,2800,2.14073406821
7,2020-02-29,,,,,,,,,304,200,400,2431,1600,3200,2431,1600,3200,2.13788308643
8,2020-03-01,,,,,,,,,304,200,400,2735,1800,3600,2735,1800,3600,2.13439252724
9,2020-03-02,,,,,,,,,942,598,1356,3677,2398,4956,3677,2398,4956,2.12992073183
10,2020-03-03,,,,,,,,,937,595,1350,4614,2993,6305,4614,2993,6305,2.12467729468
11,2020-03-04,,,,,,,,,1000,632,1457,5613,3626,7761,5613,3626,7761,2.11823021762
12,2020-03-05,,,,,,,,,1128,708,1674,6742,4335,9435,6742,4335,9435,2.11039432814
13,2020-03-06,,,,,,,,,1395,866,2127,8137,5201,11561,8137,5201,11561,2.10088259234
14,2020-03-07,,,,,,,,,1811,1112,2833,9948,6314,14394,9948,6314,14394,2.08936340774
15,2020-03-08,,,,,,,,,2141,1308,3405,11786,7422,17398,12089,7622,17798,2.07545398213
16,2020-03-09,,,,,,,,,2443,1487,3949,13925,8710,20947,14533,9110,21747,2.05872956312
17,2020-03-10,,,,,,,,,2818,1707,4615,16439,10217,25161,17350,10817,26361,2.0387538894599997
18,2020-03-11,,,,,,,,,3278,1978,5388,19413,11995,30149,20629,12795,31749,2.01507387039
19,2020-03-12,,,,,,,,,3850,2321,6432,22960,14117,36180,24479,15117,38180,1.98724744255
20,2020-03-13,,,,,,,,,4446,2688,7503,27102,16605,43282,28925,17805,45682,1.95489345912
21,2020-03-14,,,,,,,,,5053,3075,8532,31851,19480,51414,33978,20880,54214,1.9177427503599997
22,2020-03-15,,,,,,,,,5698,3501,9547,37245,22782,60560,39676,24382,63760,1.87569993237
23,2020-03-16,,,,,,,,,6396,3983,10535,43337,26565,70695,46071,28365,74295,1.82888080009
24,2020-03-17,1.0,1.0,,,,,,,7141,4526,11569,49536,30494,80908,53212,32892,85863,1.77763254937
25,2020-03-18,0.0,1.0,,,,,,,7897,5116,12632,56495,35014,92190,61109,38008,98495,1.72253164942
26,2020-03-19,3.0,4.0,,,,,,,8635,5711,13541,64131,40093,104275,69744,43720,112035,1.6643565628900001
27,2020-03-20,1.0,5.0,,,,,,,9349,6177,14046,72351,45562,116647,79093,49897,126081,1.60404410119
28,2020-03-21,1.0,6.0,,,,,,,10035,6623,14643,80991,51319,129163,89128,56521,140723,1.5426354881600002
29,2020-03-22,3.0,9.0,,,,,,,10683,7067,15460,89863,57273,141789,99811,63588,156182,1.4812221306400002
30,2020-03-23,3.0,12.0,,,,,,,11279,7518,15836,99000,63483,154220,111090,71106,172018,1.4208953027200002
31,2020-03-24,4.0,16.0,,,,,,,11806,7990,16158,108363,69987,166429,122896,79097,188175,1.3626968482100001
32,2020-03-25,3.0,19.0,,,,,,,12261,8330,16828,117806,76611,178643,135156,87428,205003,1.3075681886200001
33,2020-03-26,7.0,26.0,,,,,,,12644,8695,17290,127171,83327,190544,147800,96123,222293,1.25629763731
34,2020-03-27,8.0,34.0,,,,,,,12959,8937,17682,136281,89943,201794,160760,105060,239974,1.20947269089
35,2020-03-28,13.0,47.0,,,,,,,13210,8987,18124,145045,96242,212415,173970,114048,258097,1.16744820637
36,2020-03-29,19.0,66.0,,,,,,,13400,9044,18429,153392,102211,222312,187370,123092,276525,1.1303399241399998
37,2020-03-30,7.0,73.0,,,,,,,13535,9009,18697,161228,107719,231462,200904,132102,295222,1.09804633572
38,2020-03-31,26.0,99.0,,,,,,,13621,9019,18847,168454,112755,239774,214525,141121,314069,1.07029317159
39,2020-04-01,42.0,141.0,,,,,,,13666,9011,18635,174979,117241,246840,228192,150133,332703,1.04668895717
40,2020-04-02,22.0,163.0,,,,,,,13677,8967,18774,180760,121091,252983,241869,159100,351477,1.02677958579
41,2020-04-03,47.0,210.0,,,,,,,13659,8919,18587,185783,124299,258029,255527,168019,370063,1.0100935016700001
42,2020-04-04,34.0,244.0,,,,,,,13615,8899,18289,190049,127022,262272,269142,176919,388352,0.9961740668729999
43,2020-04-05,30.0,274.0,,,,,,,13550,8867,18181,193565,129266,265811,282692,185787,406533,0.98459956595
44,2020-04-06,33.0,307.0,,,,,,,13469,8802,18075,196350,131001,268426,296161,194589,424608,0.974993316517
45,2020-04-07,73.0,380.0,,,,,,,13373,8727,17982,198444,132210,270571,309534,203316,442589,0.967026843658
46,2020-04-08,82.0,462.0,,,,,,,13266,8697,17867,199905,132917,272281,322801,212014,460456,0.960418702766
47,2020-04-09,66.0,528.0,,,,,,,13151,8667,17735,200795,133254,273188,335951,220682,478190,0.9549308781170001
48,2020-04-10,69.0,597.0,,,,,,,13027,8631,17463,201178,133190,273361,348978,229313,495653,0.9503640529590001
49,2020-04-11,80.0,677.0,,,,,,,12898,8589,17180,201117,132842,272859,361876,237903,512833,0.946552558776
50,2020-04-12,43.0,720.0,,,,,,,12764,8543,16992,200670,132398,271727,374640,246446,529824,0.943359475394
51,2020-04-13,78.0,798.0,,,,,,,12626,8493,16798,199896,131848,270097,387266,254940,546622,0.940672132403
52,2020-04-14,70.0,868.0,,,,,,,12485,8441,16601,198847,131280,268001,399751,263382,563222,0.938398121818
53,2020-04-15,81.0,949.0,,,,,,,12342,8385,16401,197569,130646,265555,412094,271767,579623,0.936461846304
54,2020-04-16,123.0,1072.0,,,,,,,12198,8327,16199,196100,129962,263119,424292,280095,595821,0.934801579418
