,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-24,,,,,,,,,51,25,75,51,25,75,51,25,75,1.4330653871799999
1,2020-02-25,,,,,,,,,51,25,75,101,50,150,101,50,150,1.43302160889
2,2020-02-26,,,,,,,,,51,25,75,152,75,225,152,75,225,1.43301185294
3,2020-02-27,,,,,,,,,51,25,75,202,100,300,202,100,300,1.4329999152200001
4,2020-02-28,,,,,,,,,51,25,75,253,125,375,253,125,375,1.4329853052200001
5,2020-02-29,,,,,,,,,51,25,75,304,150,450,304,150,450,1.4329674213699999
6,2020-03-01,,,,,,,,,51,25,75,354,175,525,354,175,525,1.4329455255
7,2020-03-02,,,,,,,,,51,25,75,405,200,600,405,200,600,1.4329187116100002
8,2020-03-03,,,,,,,,,51,25,75,456,225,675,456,225,675,1.43288586716
9,2020-03-04,,,,,,,,,121,64,180,577,289,855,577,289,855,1.43275104634
10,2020-03-05,,,,,,,,,120,64,180,697,354,1035,697,354,1035,1.43268990836
11,2020-03-06,,,,,,,,,125,67,186,822,422,1220,822,422,1220,1.43260106727
12,2020-03-07,,,,,,,,,134,73,200,956,495,1420,956,495,1420,1.4324986776
13,2020-03-08,,,,,,,,,153,86,229,1109,582,1648,1109,582,1648,1.43237844535
14,2020-03-09,,,,,,,,,184,106,274,1293,688,1922,1293,688,1922,1.43223536352
15,2020-03-10,,,,,,,,,206,121,308,1449,784,2154,1499,809,2229,1.4320622915299999
16,2020-03-11,,,,,,,,,225,134,335,1623,893,2413,1724,943,2563,1.4318508430599999
17,2020-03-12,,,,,,,,,246,149,366,1818,1018,2704,1969,1093,2929,1.43159554861
18,2020-03-13,,,,,,,,,269,167,401,2036,1160,3030,2239,1260,3330,1.43128856074
19,2020-03-14,,,,,,,,,299,189,445,2285,1324,3399,2538,1449,3774,1.43091837839
20,2020-03-15,,,,,,,,,330,212,491,2564,1512,3814,2868,1662,4264,1.43047076349
21,2020-03-16,,,,,,,,,361,236,536,2874,1724,4274,3228,1899,4799,1.4299276637
22,2020-03-17,,,,,,,,,392,262,582,3216,1962,4781,3621,2162,5381,1.42926832419
23,2020-03-18,,,,,,,,,427,291,633,3592,2228,5338,4048,2453,6013,1.42846751856
24,2020-03-19,1.0,1.0,,,,,,,465,323,688,3936,2486,5846,4513,2776,6701,1.42749385611
25,2020-03-20,0.0,1.0,,,,,,,506,358,748,4323,2780,6415,5020,3134,7449,1.4263085131
26,2020-03-21,0.0,1.0,,,,,,,550,395,811,4748,3107,7039,5569,3530,8259,1.42486377379
27,2020-03-22,0.0,1.0,,,,,,,596,435,878,5209,3469,7717,6165,3965,9137,1.42310168512
28,2020-03-23,0.0,1.0,,,,,,,645,478,949,5701,3861,8437,6810,4443,10085,1.42095201016
29,2020-03-24,0.0,1.0,,,,,,,697,524,1024,6214,4280,9188,7507,4968,11109,1.41832970657
30,2020-03-25,2.0,3.0,,,,,,,753,574,1105,6760,4733,9985,8260,5543,12214,1.4151324381600001
31,2020-03-26,3.0,6.0,,,,,,,812,627,1191,7348,5226,10841,9072,6170,13404,1.41123822978
32,2020-03-27,2.0,8.0,,,,,,,874,682,1281,7976,5759,11756,9946,6853,14684,1.4065036847999999
33,2020-03-28,5.0,13.0,,,,,,,940,738,1376,8647,6330,12731,10886,7591,16060,1.40076315687
34,2020-03-29,1.0,14.0,,,,,,,1008,779,1480,9356,6921,13766,11894,8370,17539,1.39382974917
35,2020-03-30,2.0,16.0,,,,,,,1079,812,1592,10105,7520,14867,12973,9182,19131,1.38549948699
36,2020-03-31,4.0,20.0,,,,,,,1153,844,1705,10898,8127,16036,14126,10026,20835,1.37556014776
37,2020-04-01,2.0,22.0,,,,,,,1228,875,1822,11734,8739,17276,15354,10902,22657,1.3638060340399998
38,2020-04-02,4.0,26.0,,,,,,,1304,905,1943,12611,9354,18587,16658,11808,24599,1.3500589964200003
39,2020-04-03,3.0,29.0,,,,,,,1380,935,2066,13525,9967,19964,18038,12743,26665,1.3341941827700001
40,2020-04-04,6.0,35.0,,,,,,,1454,962,2172,14473,10571,21388,19493,13706,28836,1.3161666314
41,2020-04-05,8.0,43.0,,,,,,,1526,984,2247,15449,11160,22824,21019,14690,31083,1.2960329822399999
42,2020-04-06,8.0,51.0,,,,,,,1595,1002,2323,16449,11728,24270,22614,15693,33406,1.27396270602
43,2020-04-07,9.0,60.0,,,,,,,1659,1019,2427,17463,12269,25748,24273,16713,35832,1.25023582634
44,2020-04-08,7.0,67.0,,,,,,,1718,1033,2525,18484,12778,27248,25991,17746,38357,1.22522793214
45,2020-04-09,9.0,76.0,,,,,,,1770,1046,2551,19501,13250,28694,27760,18793,40907,1.1993862368700001
46,2020-04-10,6.0,82.0,,,,,,,1815,1098,2562,20503,13721,30065,29575,19892,43468,1.17320125316
47,2020-04-11,11.0,93.0,,,,,,,1852,1116,2662,21482,14155,31446,31427,21008,46130,1.1471776687000002
48,2020-04-12,3.0,96.0,,,,,,,1883,1131,2701,22425,14549,32770,33310,22140,48830,1.12180642448
49,2020-04-13,2.0,98.0,,,,,,,1905,1156,2701,23322,14926,33992,35216,23297,51531,1.0975387962
50,2020-04-14,13.0,111.0,,,,,,,1921,1180,2729,24164,15294,35129,37137,24477,54259,1.07476292156
51,2020-04-15,11.0,122.0,,,,,,,1930,1201,2739,24941,15652,36163,39067,25679,56998,1.0537837429999999
52,2020-04-16,7.0,129.0,,,,,,,1934,1217,2743,25647,15994,37084,41001,26897,59740,1.0348083934799999
53,2020-04-17,11.0,140.0,,,,,,,1932,1230,2741,26275,16319,37882,42933,28127,62481,1.01793978442
54,2020-04-18,12.0,152.0,,,,,,,1926,1232,2709,26821,16616,38525,44859,29359,65190,1.00318055015
55,2020-04-19,7.0,159.0,,,,,,,1916,1232,2679,27283,16885,39032,46776,30592,67868,0.990447278834
56,2020-04-20,10.0,169.0,,,,,,,1904,1233,2641,27661,17134,39426,48679,31825,70509,0.979592126657
57,2020-04-21,14.0,183.0,,,,,,,1889,1228,2604,27954,17360,39707,50568,33053,73112,0.970427117331
58,2020-04-22,10.0,193.0,,,,,,,1872,1228,2589,28167,17569,39870,52441,34282,75701,0.9627465743960001
59,2020-04-23,8.0,201.0,,,,,,,1854,1234,2547,28304,17769,39892,54294,35516,78248,0.956344773513
60,2020-04-24,8.0,209.0,,,,,,,1834,1228,2530,28369,17951,39871,56129,36744,80778,0.951027894478
61,2020-04-25,12.0,221.0,,,,,,,1814,1229,2519,28368,18082,39828,57943,37974,83296,0.9466208152879999
62,2020-04-26,6.0,227.0,,,,,,,1793,1214,2504,28309,18179,39670,59737,39188,85799,0.942969971277
63,2020-04-27,2.0,229.0,,,,,,,1772,1203,2479,28199,18251,39448,61509,40392,88277,0.939943583551
64,2020-04-28,10.0,239.0,,,,,,,1750,1192,2419,28044,18287,39166,63259,41584,90696,0.9370978729870001
65,2020-04-29,11.0,250.0,,,,,,,1728,1183,2367,27851,18290,38804,64988,42768,93062,0.934765967835
66,2020-04-30,11.0,261.0,,,,,,,1706,1172,2333,27627,18262,38397,66694,43941,95394,0.932853145638
