,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-03,,,,,,,,,12,10,25,12,10,25,12,10,25,1.41041666667
1,2020-03-04,,,,,,,,,12,10,25,24,20,50,24,20,50,1.40405396241
2,2020-03-05,,,,,,,,,12,10,25,35,30,75,35,30,75,1.4026449465700002
3,2020-03-06,,,,,,,,,12,10,25,47,40,100,47,40,100,1.40092336685
4,2020-03-07,,,,,,,,,12,10,25,59,50,125,59,50,125,1.3988193835499998
5,2020-03-08,,,,,,,,,12,10,25,71,60,150,71,60,150,1.39624714481
6,2020-03-09,,,,,,,,,12,10,25,83,70,175,83,70,175,1.3931008282100001
7,2020-03-10,,,,,,,,,12,10,25,95,80,200,95,80,200,1.38924954313
8,2020-03-11,,,,,,,,,12,10,25,106,90,225,106,90,225,1.3845307273899998
9,2020-03-12,,,,,,,,,27,19,50,134,109,275,134,109,275,1.37868329738
10,2020-03-13,,,,,,,,,27,19,50,161,129,325,161,129,325,1.3715631049399999
11,2020-03-14,,,,,,,,,28,20,51,189,149,376,189,149,376,1.3627908875499999
12,2020-03-15,,,,,,,,,30,20,53,219,170,429,219,170,429,1.35198050662
13,2020-03-16,,,,,,,,,34,22,58,253,193,486,253,193,486,1.33864444192
14,2020-03-17,,,,,,,,,40,25,65,293,219,551,293,219,551,1.32220359831
15,2020-03-18,,,,,,,,,44,27,70,325,236,595,337,246,620,1.30201020225
16,2020-03-19,,,,,,,,,47,28,73,360,255,643,384,275,693,1.27741535484
17,2020-03-20,,,,,,,,,50,30,77,398,275,694,433,305,769,1.24789281366
18,2020-03-21,,,,,,,,,53,31,82,439,296,750,486,336,850,1.21319582284
19,2020-03-22,,,,,,,,,56,32,86,484,319,811,543,369,936,1.17349803469
20,2020-03-23,,,,,,,,,59,33,91,531,342,876,602,402,1026,1.1294417952299998
21,2020-03-24,,,,,,,,,61,34,94,580,367,945,662,437,1120,1.08205596962
22,2020-03-25,,,,,,,,,62,35,97,629,392,1016,724,472,1216,1.03258340676
