,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-21,,,,,,,,,58,25,75,58,25,75,58,25,75,1.87537720315
1,2020-02-22,,,,,,,,,58,25,75,116,50,150,116,50,150,1.8696174682599997
2,2020-02-23,,,,,,,,,58,25,75,175,75,225,175,75,225,1.8683423344799999
3,2020-02-24,,,,,,,,,58,25,75,233,100,300,233,100,300,1.8667846369099999
4,2020-02-25,,,,,,,,,58,25,75,291,125,375,291,125,375,1.86488147526
5,2020-02-26,,,,,,,,,58,25,75,349,150,450,349,150,450,1.8625556973400004
6,2020-02-27,,,,,,,,,58,25,75,408,175,525,408,175,525,1.8597124789500001
7,2020-02-28,,,,,,,,,58,25,75,466,200,600,466,200,600,1.8562349600999999
8,2020-02-29,,,,,,,,,58,25,75,524,225,675,524,225,675,1.85197862398
9,2020-03-01,,,,,,,,,162,74,231,686,299,906,686,299,906,1.84662857444
10,2020-03-02,,,,,,,,,161,74,228,848,374,1133,848,374,1133,1.8402154544799998
11,2020-03-03,,,,,,,,,170,79,241,1018,453,1373,1018,453,1373,1.83230941836
12,2020-03-04,,,,,,,,,187,88,267,1205,542,1640,1205,542,1640,1.8225906501299998
13,2020-03-05,,,,,,,,,224,108,324,1429,651,1964,1429,651,1964,1.81061791092
14,2020-03-06,,,,,,,,,280,139,414,1709,791,2377,1709,791,2377,1.7958489012799999
15,2020-03-07,,,,,,,,,323,164,484,1974,930,2786,2032,955,2861,1.77763419322
16,2020-03-08,,,,,,,,,358,187,543,2274,1093,3253,2390,1143,3403,1.75524307718
17,2020-03-09,,,,,,,,,399,215,612,2615,1283,3790,2790,1358,4015,1.7279426122
18,2020-03-10,,,,,,,,,447,249,691,3004,1508,4405,3237,1608,4705,1.69511435148
19,2020-03-11,,,,,,,,,503,294,780,3449,1778,5110,3740,1903,5485,1.6564267828299999
20,2020-03-12,,,,,,,,,557,333,860,3948,2086,5895,4297,2236,6345,1.61200018854
21,2020-03-13,,,,,,,,,606,371,918,4495,2433,6737,4903,2608,7262,1.5624764825600002
22,2020-03-14,,,,,,,,,651,410,963,5088,2819,7624,5554,3019,8224,1.50896102194
23,2020-03-15,,,,,,,,,695,460,996,5724,3254,8545,6248,3479,9220,1.45285819855
24,2020-03-16,1.0,1.0,,,,,,,737,501,1020,6299,3680,9334,6985,3980,10239,1.39568286677
25,2020-03-17,0.0,1.0,,,,,,,775,531,1089,6912,4137,10195,7760,4512,11328,1.33890771478
26,2020-03-18,0.0,1.0,,,,,,,807,574,1098,7549,4633,11053,8567,5086,12426,1.28386628367
27,2020-03-19,0.0,1.0,,,,,,,833,592,1111,8195,5137,11897,9400,5679,13537,1.2317043628
28,2020-03-20,1.0,2.0,,,,,,,855,610,1150,8826,5639,12723,10255,6290,14686,1.18335797764
29,2020-03-21,0.0,2.0,,,,,,,872,628,1152,9418,6127,13460,11127,6919,15837,1.13953695954
30,2020-03-22,0.0,2.0,,,,,,,885,647,1170,9980,6610,14147,12012,7566,17007,1.10070187024
31,2020-03-23,2.0,4.0,,,,,,,894,663,1176,10515,7086,14780,12906,8229,18183,1.06703829403
32,2020-03-24,0.0,4.0,,,,,,,900,666,1183,11016,7537,15351,13805,8896,19365,1.03844891507
33,2020-03-25,2.0,6.0,,,,,,,902,672,1175,11471,7960,15834,14708,9568,20539,1.01458526867
34,2020-03-26,4.0,10.0,,,,,,,903,679,1179,11871,8344,16234,15611,10247,21718,0.994922470568
35,2020-03-27,0.0,10.0,,,,,,,902,686,1175,12216,8697,16549,16513,10934,22893,0.9788545317980001
36,2020-03-28,0.0,10.0,,,,,,,899,692,1178,12510,9018,16809,17412,11627,24070,0.965778619675
37,2020-03-29,5.0,15.0,,,,,,,896,696,1185,12754,9304,17031,18308,12323,25255,0.955149205684
38,2020-03-30,0.0,15.0,,,,,,,890,693,1187,12950,9537,17222,19198,13017,26442,0.946501359191
39,2020-03-31,11.0,26.0,,,,,,,885,692,1160,13098,9728,17363,20083,13709,27601,0.939452706077
40,2020-04-01,5.0,31.0,,,,,,,878,689,1134,13201,9886,17407,20961,14399,28734,0.933694602395
41,2020-04-02,7.0,38.0,,,,,,,871,689,1124,13264,10001,17433,21832,15088,29858,0.928979824363
42,2020-04-03,5.0,43.0,,,,,,,863,686,1113,13294,10094,17435,22695,15774,30971,0.9251105700710001
43,2020-04-04,3.0,46.0,,,,,,,855,681,1095,13295,10165,17379,23550,16456,32065,0.9219282236380001
44,2020-04-05,0.0,46.0,,,,,,,847,677,1079,13271,10214,17307,24397,17133,33143,0.919305132572
45,2020-04-06,0.0,46.0,,,,,,,839,672,1065,13225,10239,17201,25236,17806,34208,0.9171381727600001
46,2020-04-07,26.0,72.0,,,,,,,830,669,1053,13161,10245,17078,26066,18475,35261,0.91534375221
47,2020-04-08,0.0,72.0,,,,,,,821,661,1039,13083,10240,16935,26888,19136,36299,0.913853924462
48,2020-04-09,9.0,81.0,,,,,,,813,657,1023,12993,10225,16783,27701,19794,37322,0.912613343916
