,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-04,,,,,,,,,112,50,150,112,50,150,112,50,150,1.52889912583
1,2020-03-05,,,,,,,,,112,50,150,225,100,300,225,100,300,1.52786817018
2,2020-03-06,,,,,,,,,112,50,150,337,150,450,337,150,450,1.5276401926199998
3,2020-03-07,,,,,,,,,112,50,150,449,200,600,449,200,600,1.5273618737299999
4,2020-03-08,,,,,,,,,112,50,150,561,250,750,561,250,750,1.52702213053
5,2020-03-09,,,,,,,,,112,50,150,674,300,900,674,300,900,1.5266074547600001
6,2020-03-10,,,,,,,,,112,50,150,786,350,1050,786,350,1050,1.5261013880599998
7,2020-03-11,,,,,,,,,112,50,150,898,400,1200,898,400,1200,1.5254838854700001
8,2020-03-12,,,,,,,,,112,50,150,1010,450,1350,1010,450,1350,1.52473054375
9,2020-03-13,,,,,,,,,276,129,388,1286,579,1738,1286,579,1738,1.5231938036100001
10,2020-03-14,,,,,,,,,274,129,386,1561,709,2124,1561,709,2124,1.5219964804
11,2020-03-15,,,,,,,,,285,135,403,1846,844,2526,1846,844,2526,1.5204391899599998
12,2020-03-16,,,,,,,,,308,147,438,2154,992,2964,2154,992,2964,1.5185842886899998
13,2020-03-17,,,,,,,,,355,172,511,2509,1165,3474,2509,1165,3474,1.5163582807499998
14,2020-03-18,,,,,,,,,429,212,624,2938,1377,4097,2938,1377,4097,1.5136737118999999
15,2020-03-19,,,,,,,,,485,243,709,3310,1570,4655,3423,1620,4805,1.5104167596399998
16,2020-03-20,,,,,,,,,531,268,778,3729,1789,5283,3953,1889,5583,1.50645142683
17,2020-03-21,,,,,,,,,583,299,857,4199,2038,5989,4536,2188,6439,1.50164673463
18,2020-03-22,,,,,,,,,643,335,948,4730,2324,6787,5179,2524,7387,1.4958336170200002
19,2020-03-23,,,,,,,,,717,380,1060,5335,2654,7697,5896,2904,8447,1.4887915246399999
20,2020-03-24,,,,,,,,,794,428,1172,6016,3032,8719,6690,3332,9619,1.48025133069
21,2020-03-25,,,,,,,,,868,477,1279,6773,3459,9847,7559,3809,10897,1.46988694843
22,2020-03-26,,,,,,,,,945,529,1384,7605,3939,11081,8503,4339,12281,1.4573306523299998
23,2020-03-27,,,,,,,,,1025,587,1492,8518,4477,12423,9528,4927,13773,1.4421842336500001
24,2020-03-28,2.0,2.0,,,,,,,1110,652,1611,9353,4999,13646,10639,5579,15383,1.4240599173100001
25,2020-03-29,1.0,3.0,,,,,,,1197,723,1734,10275,5593,14994,11836,6302,17117,1.4026593362900002
26,2020-03-30,1.0,4.0,,,,,,,1281,799,1839,11271,6257,16430,13116,7101,18956,1.3778733625100001
27,2020-03-31,4.0,8.0,,,,,,,1360,879,1913,12323,6989,17905,14477,7981,20868,1.34986651169
28,2020-04-01,2.0,10.0,,,,,,,1436,964,1989,13404,7780,19384,15913,8945,22857,1.31909388513
29,2020-04-02,2.0,12.0,,,,,,,1507,1019,2059,14481,8587,20820,17419,9964,24916,1.28623736471
30,2020-04-03,2.0,14.0,,,,,,,1571,1060,2130,15568,9404,22241,18991,11024,27045,1.25209717615
31,2020-04-04,3.0,17.0,,,,,,,1628,1133,2225,16666,10268,23687,20619,12158,29269,1.2174896294700002
32,2020-04-05,8.0,25.0,,,,,,,1677,1157,2304,17760,11127,25134,22296,13316,31573,1.18318054553
33,2020-04-06,2.0,27.0,,,,,,,1718,1199,2355,18835,11991,26541,24014,14515,33928,1.14985281571
34,2020-04-07,3.0,30.0,,,,,,,1750,1230,2379,19868,12841,27859,25764,15745,36306,1.1180952948
35,2020-04-08,5.0,35.0,,,,,,,1775,1249,2405,20848,13662,29092,27539,16995,38710,1.08840114367
36,2020-04-09,8.0,43.0,,,,,,,1792,1266,2461,21772,14452,30274,29331,18261,41170,1.06116526615
37,2020-04-10,0.0,43.0,,,,,,,1803,1280,2479,22631,15202,31368,31134,19541,43649,1.03667297372
38,2020-04-11,13.0,56.0,,,,,,,1808,1285,2476,23414,15899,32352,32942,20826,46124,1.01507929714
39,2020-04-12,7.0,63.0,,,,,,,1808,1289,2458,24112,16536,33199,34751,22116,48582,0.996390574358
40,2020-04-13,0.0,63.0,,,,,,,1805,1292,2433,24720,17105,33898,36555,23408,51014,0.9804666567129999
41,2020-04-14,17.0,80.0,,,,,,,1798,1295,2407,25237,17601,34465,38353,24703,53420,0.9670525902299999
42,2020-04-15,0.0,80.0,,,,,,,1788,1296,2395,25664,18019,34947,40140,26000,55815,0.955829606286
43,2020-04-16,7.0,87.0,,,,,,,1775,1294,2382,26003,18349,35340,41916,27294,58196,0.946465311659
44,2020-04-17,31.0,118.0,,,,,,,1761,1281,2364,26257,18611,35644,43676,28576,60559,0.9386487897560001
45,2020-04-18,19.0,137.0,,,,,,,1745,1267,2344,26431,18819,35858,45421,29844,62903,0.932107950298
46,2020-04-19,13.0,150.0,,,,,,,1728,1257,2317,26530,18943,35950,47149,31101,65219,0.9266137560169999
47,2020-04-20,5.0,155.0,,,,,,,1709,1258,2262,26562,19044,35908,48858,32360,67481,0.921977325958
48,2020-04-21,16.0,171.0,,,,,,,1690,1252,2218,26535,19097,35771,50548,33613,69698,0.918044303304
49,2020-04-22,10.0,181.0,,,,,,,1670,1251,2180,26455,19118,35573,52219,34864,71878,0.914688872067
50,2020-04-23,8.0,189.0,,,,,,,1650,1230,2127,26330,19099,35295,53868,36095,74005,0.9118084196170001
51,2020-04-24,13.0,202.0,,,,,,,1629,1216,2108,26167,19049,34942,55497,37311,76112,0.9093191096250001
52,2020-04-25,13.0,215.0,,,,,,,1608,1214,2088,25971,18984,34551,57105,38526,78200,0.907152319291
53,2020-04-26,11.0,226.0,,,,,,,1586,1204,2044,25749,18904,34120,58691,39731,80244,0.9052517969920001
54,2020-04-27,7.0,233.0,,,,,,,1565,1183,2004,25505,18798,33666,60256,40914,82247,0.903571388973
55,2020-04-28,6.0,239.0,,,,,,,1543,1166,1977,25243,18672,33209,61798,42081,84223,0.902073208178
56,2020-04-29,12.0,251.0,,,,,,,1521,1145,1956,24967,18523,32759,63319,43227,86179,0.9007261482619999
57,2020-04-30,15.0,266.0,,,,,,,1499,1121,1934,24678,18348,32298,64818,44348,88112,0.899504670988
58,2020-05-01,13.0,279.0,,,,,,,1477,1098,1913,24380,18152,31829,66295,45447,90024,0.898387813188
59,2020-05-02,17.0,296.0,,,,,,,1455,1075,1891,24074,17947,31356,67750,46523,91915,0.8973583715919999
60,2020-05-03,24.0,320.0,,,,,,,1433,1054,1868,23762,17733,30880,69184,47577,93782,0.8964022324709999
61,2020-05-04,21.0,341.0,,,,,,,1411,1029,1846,23446,17505,30409,70595,48607,95627,0.8955078197600002
62,2020-05-05,14.0,355.0,,,,,,,1389,1016,1823,23126,17263,29970,71985,49624,97450,0.8946182631749999
63,2020-05-06,15.0,370.0,,,,,,,1368,993,1800,22804,17004,29551,73352,50617,99249,0.893791787994
64,2020-05-07,18.0,388.0,,,,,,,1346,968,1777,22480,16721,29147,74698,51586,101025,0.893031021867
65,2020-05-08,11.0,399.0,,,,,,,1325,941,1753,22155,16432,28774,76023,52527,102778,0.892328524425
