,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-19,,,,,,,,,94,50,150,94,50,150,94,50,150,1.48030476743
1,2020-02-20,,,,,,,,,94,50,150,188,100,300,188,100,300,1.48023042139
2,2020-02-21,,,,,,,,,94,50,150,282,150,450,282,150,450,1.48021396301
3,2020-02-22,,,,,,,,,94,50,150,376,200,600,376,200,600,1.48019386169
4,2020-02-23,,,,,,,,,94,50,150,470,250,750,470,250,750,1.4801693113699999
5,2020-02-24,,,,,,,,,94,50,150,564,300,900,564,300,900,1.4801393277500001
6,2020-02-25,,,,,,,,,94,50,150,658,350,1050,658,350,1050,1.48010270898
7,2020-02-26,,,,,,,,,94,50,150,752,400,1200,752,400,1200,1.48005798762
8,2020-02-27,,,,,,,,,94,50,150,846,450,1350,846,450,1350,1.4800033721399999
9,2020-02-28,,,,,,,,,229,129,360,1075,579,1710,1075,579,1710,1.47987354226
10,2020-02-29,,,,,,,,,228,129,359,1303,709,2069,1303,709,2069,1.4797842068599998
11,2020-03-01,,,,,,,,,236,135,372,1539,844,2440,1539,844,2440,1.4796654655700001
12,2020-03-02,,,,,,,,,255,147,400,1794,991,2839,1794,991,2839,1.47952483135
13,2020-03-03,,,,,,,,,293,172,457,2087,1164,3296,2087,1164,3296,1.47935662535
14,2020-03-04,,,,,,,,,353,212,547,2440,1377,3843,2440,1377,3843,1.47915411025
15,2020-03-05,,,,,,,,,398,242,615,2744,1569,4307,2838,1619,4457,1.47890836792
16,2020-03-06,,,,,,,,,435,268,670,3085,1788,4827,3273,1888,5127,1.47860879481
17,2020-03-07,,,,,,,,,477,298,732,3468,2037,5408,3750,2187,5858,1.47824589203
18,2020-03-08,,,,,,,,,526,334,802,3900,2321,6059,4276,2521,6659,1.47780731252
19,2020-03-09,,,,,,,,,587,379,890,4393,2651,6799,4863,2901,7549,1.4772767389800001
20,2020-03-10,,,,,,,,,651,426,981,4950,3027,7630,5514,3327,8530,1.47663427407
21,2020-03-11,,,,,,,,,714,474,1071,5570,3452,8550,6228,3802,9600,1.4758553771
22,2020-03-12,,,,,,,,,781,526,1165,6257,3929,9565,7009,4329,10765,1.4749112930200001
23,2020-03-13,,,,,,,,,854,584,1266,7016,4463,10680,7863,4913,12030,1.47376733118
24,2020-03-14,1.0,1.0,,,,,,,935,648,1378,7722,4982,11698,8797,5562,13408,1.47238111496
25,2020-03-15,0.0,1.0,,,,,,,1023,719,1498,8517,5572,12837,9820,6281,14906,1.47070102023
26,2020-03-16,1.0,2.0,,,,,,,1116,795,1625,9396,6232,14091,10935,7077,16530,1.46866429824
27,2020-03-17,0.0,2.0,,,,,,,1214,876,1759,10356,6962,15451,12150,7954,18289,1.46619501711
28,2020-03-18,0.0,2.0,,,,,,,1320,964,1902,11382,7754,16895,13469,8918,20191,1.4632010988100002
29,2020-03-19,0.0,2.0,,,,,,,1433,1060,2065,12463,8602,18413,14903,9979,22255,1.45957045766
30,2020-03-20,0.0,2.0,,,,,,,1555,1163,2252,13620,9523,20049,16458,11142,24506,1.45516641873
31,2020-03-21,1.0,3.0,,,,,,,1684,1272,2447,14869,10527,21826,18142,12415,26952,1.4498223557299998
32,2020-03-22,3.0,6.0,,,,,,,1820,1388,2648,16212,11617,23742,19962,13804,29600,1.4433359962099999
33,2020-03-23,0.0,6.0,,,,,,,1963,1485,2853,17649,12768,25793,21925,15290,32452,1.4354645600100002
34,2020-03-24,3.0,9.0,,,,,,,2112,1583,3086,19174,13972,27989,24037,16873,35538,1.4259236887600002
35,2020-03-25,0.0,9.0,,,,,,,2266,1653,3351,20790,15199,30359,26303,18527,38888,1.41439547019
36,2020-03-26,1.0,10.0,,,,,,,2423,1724,3572,22499,16448,32860,28727,20251,42460,1.40055222943
37,2020-03-27,0.0,10.0,,,,,,,2581,1794,3788,24299,17716,35483,31308,22045,46247,1.38410007059
38,2020-03-28,3.0,13.0,,,,,,,2738,1863,3993,26183,18996,38210,34045,23909,50239,1.3648360913100002
39,2020-03-29,7.0,20.0,,,,,,,2889,1933,4200,28137,20280,41031,36935,25842,54439,1.3426992689500001
40,2020-03-30,-5.0,15.0,,,,,,,3034,1999,4377,30149,21560,43910,39969,27841,58815,1.31779160763
41,2020-03-31,12.0,27.0,,,,,,,3169,2062,4578,32202,22827,46863,43137,29904,63393,1.29036468784
42,2020-04-01,7.0,34.0,,,,,,,3291,2119,4750,34278,24069,49854,46428,32023,68143,1.26079273696
43,2020-04-02,7.0,41.0,,,,,,,3399,2163,4876,36357,25268,52827,49826,34187,73018,1.22955732204
44,2020-04-03,5.0,46.0,,,,,,,3490,2197,4947,38413,26405,55709,53316,36385,77964,1.19724722957
45,2020-04-04,6.0,52.0,,,,,,,3563,2224,4923,40421,27466,58381,56879,38609,82887,1.16455571308
46,2020-04-05,0.0,52.0,,,,,,,3617,2245,5060,42354,28438,60994,60496,40854,87946,1.1322550968
47,2020-04-06,14.0,66.0,,,,,,,3654,2251,5180,44187,29301,63527,64150,43106,93126,1.10114199051
48,2020-04-07,0.0,66.0,,,,,,,3674,2269,5132,45898,30086,65806,67823,45376,98257,1.07196136122
49,2020-04-08,0.0,66.0,,,,,,,3678,2274,5087,47464,30777,67806,71502,47650,103344,1.04532538063
50,2020-04-09,43.0,109.0,,,,,,,3670,2283,5087,48868,31406,69543,75172,49933,108431,1.02164486747
51,2020-04-10,12.0,121.0,,,,,,,3651,2279,5072,50096,31961,71042,78823,52213,113502,1.0010918854000002
52,2020-04-11,9.0,130.0,,,,,,,3624,2269,5048,51139,32437,72302,82447,54482,118549,0.9836079230310001
53,2020-04-12,11.0,141.0,,,,,,,3590,2253,4942,51991,32826,73252,86037,56736,123490,0.968956441938
54,2020-04-13,8.0,149.0,,,,,,,3550,2242,4873,52652,33135,73925,89587,58978,128363,0.956798595301
