,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-05,0.0,0.0,,,,,,,101,50,150,101,50,150,101,50,150,2.29159382725
1,2020-02-06,0.0,0.0,,,,,,,101,50,150,202,99,300,202,100,300,2.2913764771
2,2020-02-07,0.0,0.0,,,,,,,101,50,150,303,150,450,303,150,450,2.29132827251
3,2020-02-08,0.0,0.0,,,,,,,101,50,150,404,199,600,404,200,600,2.29126936228
4,2020-02-09,0.0,0.0,,,,,,,237,114,386,640,332,968,641,314,986,2.2911973631
5,2020-02-10,0.0,0.0,,,,,,,237,114,386,877,452,1348,878,428,1372,2.29110935896
6,2020-02-11,0.0,0.0,,,,,,,237,114,386,1114,570,1730,1115,542,1758,2.29100178118
7,2020-02-12,0.0,0.0,,,,,,,237,114,386,1350,687,2113,1352,656,2144,2.29087026133
8,2020-02-13,0.0,0.0,,,,,,,379,190,610,1729,899,2701,1731,846,2754,2.29070945051
9,2020-02-14,0.0,0.0,,,,,,,535,284,835,2264,1190,3530,2266,1130,3589,2.2904968892900004
10,2020-02-15,0.0,0.0,,,,,,,730,417,1100,2994,1629,4608,2996,1547,4689,2.2902543803
11,2020-02-16,0.0,0.0,,,,,,,1370,774,1892,4364,2506,6485,4366,2321,6581,2.2899536503299998
12,2020-02-17,0.0,0.0,,,,,,,2179,1350,2994,6543,3946,9400,6545,3671,9575,2.28958717542
13,2020-02-18,0.0,0.0,,,,,,,2504,1560,3484,9047,5534,12858,9049,5231,13059,2.2891396465700002
14,2020-02-19,0.0,0.0,,,,,,,2989,1937,4067,12036,7503,16892,12038,7168,17126,2.2885923976
15,2020-02-20,0.0,0.0,,,,,,,3094,2007,4207,15029,9464,20943,15132,9175,21333,2.28792206034
16,2020-02-21,0.0,0.0,,,,,,,3522,2283,4715,18451,11716,25485,18654,11458,26048,2.2871000702599997
17,2020-02-22,0.0,0.0,,,,,,,4430,2919,5878,22780,14616,31179,23084,14377,31926,2.28609335992
18,2020-02-23,0.0,0.0,,,,,,,5262,3521,6919,27941,18145,37903,28346,17898,38845,2.28486064782
19,2020-02-24,0.0,0.0,,,,,,,6290,4254,8330,33994,22336,45815,34636,22152,47175,2.28335031016
20,2020-02-25,0.0,0.0,,,,,,,9442,6156,12351,43200,28449,57574,44078,28308,59526,2.28149878822
21,2020-02-26,0.0,0.0,,,,,,,11290,7536,14823,54253,35891,71941,55368,35844,74349,2.27922775417
22,2020-02-27,0.0,0.0,,,,,,,12210,8092,16131,66226,43867,87633,67578,43936,90480,2.27644162649
23,2020-02-28,0.0,0.0,,,,,,,14460,9574,19296,80307,53234,106252,82038,53510,109776,2.2730227260900002
24,2020-02-29,1.0,1.0,,,,,,,17094,11052,23206,96866,63978,128499,99132,64562,132982,2.2688257195099997
25,2020-03-01,0.0,1.0,,,,,,,21797,13895,30057,117934,77477,157285,120929,78457,163039,2.26367133901
26,2020-03-02,5.0,6.0,,,,,,,26853,17080,37302,143416,93842,192562,147782,95537,200341,2.25733869251
27,2020-03-03,1.0,7.0,,,,,,,32537,20626,45400,173775,113187,234867,180319,116163,245741,2.24955603223
28,2020-03-04,4.0,11.0,,,,,,,39044,24413,54694,210315,136106,285986,219363,140576,300435,2.23998911341
29,2020-03-05,1.0,12.0,,,,,,,47865,29679,66858,255191,163923,348706,267228,170255,367293,2.22822733808
30,2020-03-06,2.0,14.0,,,,,,,57736,35221,81254,309832,197246,425706,324964,205476,448547,2.21376832426
31,2020-03-07,3.0,17.0,,,,,,,69043,42010,97571,375353,237067,518549,394007,247486,546118,2.19600198002
32,2020-03-08,4.0,21.0,,,,,,,81767,50127,115757,452690,284322,628488,475774,297613,661875,2.17419705148
33,2020-03-09,1.0,22.0,,,,,,,96032,59753,137277,543460,340559,758940,571806,357366,799152,2.1474960483200003
34,2020-03-10,6.0,28.0,,,,,,,112185,71450,161298,649355,407717,912029,683991,428816,960450,2.11492935
35,2020-03-11,5.0,33.0,,,,,,,128522,83251,183071,768434,484853,1082734,812513,512067,1143521,2.0754645996
36,2020-03-12,10.0,43.0,,,,,,,144704,97302,198225,901848,574562,1266220,957217,609369,1341746,2.02810977849
37,2020-03-13,9.0,52.0,,,,,,,160373,110273,214328,1050011,676649,1464453,1117590,719642,1556074,1.9720818497200001
