,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-01,,,,,,,,,109,50,150,109,50,150,109,50,150,1.51289723829
1,2020-03-02,,,,,,,,,109,50,150,219,100,300,219,100,300,1.5122002302000002
2,2020-03-03,,,,,,,,,109,50,150,328,150,450,328,150,450,1.5120459497
3,2020-03-04,,,,,,,,,109,50,150,438,200,600,438,200,600,1.51185752861
4,2020-03-05,,,,,,,,,109,50,150,547,250,750,547,250,750,1.5116274154
5,2020-03-06,,,,,,,,,109,50,150,656,300,900,656,300,900,1.51134638909
6,2020-03-07,,,,,,,,,109,50,150,766,350,1050,766,350,1050,1.51100319005
7,2020-03-08,,,,,,,,,109,50,150,875,400,1200,875,400,1200,1.5105840685
8,2020-03-09,,,,,,,,,109,50,150,985,450,1350,985,450,1350,1.51007223186
9,2020-03-10,,,,,,,,,267,129,388,1252,579,1738,1252,579,1738,1.50931851457
10,2020-03-11,,,,,,,,,266,129,386,1517,709,2124,1517,709,2124,1.5085391396799999
11,2020-03-12,,,,,,,,,276,135,403,1794,844,2526,1794,844,2526,1.5075672405
12,2020-03-13,,,,,,,,,298,147,438,2091,991,2964,2091,991,2964,1.50638915289
13,2020-03-14,,,,,,,,,343,172,511,2435,1164,3474,2435,1164,3474,1.5049571763999998
14,2020-03-15,,,,,,,,,414,211,624,2848,1375,4097,2848,1375,4097,1.5032131834
15,2020-03-16,,,,,,,,,467,242,709,3206,1568,4655,3316,1618,4805,1.50108418043
16,2020-03-17,,,,,,,,,511,267,778,3608,1785,5283,3827,1885,5583,1.49848070225
17,2020-03-18,,,,,,,,,561,297,857,4060,2033,5990,4389,2183,6440,1.4952991918
18,2020-03-19,,,,,,,,,619,332,949,4570,2316,6788,5008,2516,7388,1.4914090287700001
19,2020-03-20,,,,,,,,,692,376,1061,5152,2642,7698,5699,2892,8448,1.48664439838
20,2020-03-21,,,,,,,,,766,423,1173,5809,3015,8721,6465,3315,9621,1.48079818325
21,2020-03-22,,,,,,,,,839,469,1280,6539,3435,9851,7304,3785,10901,1.4736125329700003
22,2020-03-23,,,,,,,,,915,519,1387,7344,3905,11087,8220,4305,12287,1.4647747626199998
23,2020-03-24,,,,,,,,,996,574,1520,8231,4430,12457,9216,4880,13807,1.4539164990900002
24,2020-03-25,1.0,1.0,,,,,,,1083,635,1679,9047,4936,13747,10299,5515,15485,1.44063021145
25,2020-03-26,0.0,1.0,,,,,,,1174,701,1833,9955,5508,15194,11472,6217,17317,1.4245154346200002
26,2020-03-27,3.0,4.0,,,,,,,1263,771,1969,10942,6145,16760,12736,6989,19286,1.40526011895
27,2020-03-28,0.0,4.0,,,,,,,1352,845,2083,11996,6842,18405,14087,7834,21368,1.3827447326
28,2020-03-29,6.0,10.0,,,,,,,1437,922,2173,13090,7593,20068,15525,8757,23541,1.3571279680500001
29,2020-03-30,0.0,10.0,,,,,,,1521,1001,2263,14197,8382,21707,17045,9758,25803,1.32886544389
