,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-29,,,,,,,,,28,10,40,28,10,40,28,10,40,1.3575326145200002
1,2020-03-01,,,,,,,,,28,10,40,55,20,80,55,20,80,1.3572748070899998
2,2020-03-02,,,,,,,,,28,10,40,83,30,120,83,30,120,1.35721771248
3,2020-03-03,,,,,,,,,28,10,40,111,40,160,111,40,160,1.35714796917
4,2020-03-04,,,,,,,,,28,10,40,139,50,200,139,50,200,1.35706277264
5,2020-03-05,,,,,,,,,28,10,40,166,60,240,166,60,240,1.3569586952700001
6,2020-03-06,,,,,,,,,28,10,40,194,70,280,194,70,280,1.3568315471799999
7,2020-03-07,,,,,,,,,28,10,40,222,80,320,222,80,320,1.3566762055300001
8,2020-03-08,,,,,,,,,28,10,40,250,90,360,250,90,360,1.35648640495
9,2020-03-09,,,,,,,,,63,25,96,312,115,456,312,115,456,1.35620814871
10,2020-03-10,,,,,,,,,62,25,96,375,141,552,375,141,552,1.35591893121
11,2020-03-11,,,,,,,,,64,27,99,439,168,650,439,168,650,1.3555592144400002
12,2020-03-12,,,,,,,,,69,29,106,507,198,756,507,198,756,1.35512246982
13,2020-03-13,,,,,,,,,77,34,122,585,232,878,585,232,878,1.3545908934399997
14,2020-03-14,,,,,,,,,91,42,145,676,275,1022,676,275,1022,1.35394270951
15,2020-03-15,,,,,,,,,101,48,163,749,313,1144,777,323,1184,1.35315066558
16,2020-03-16,,,,,,,,,109,53,177,831,356,1280,886,376,1360,1.35218125975
17,2020-03-17,,,,,,,,,118,59,192,922,406,1432,1005,436,1552,1.3509950197299998
18,2020-03-18,,,,,,,,,128,66,210,1022,462,1601,1133,502,1761,1.34954228405
19,2020-03-19,,,,,,,,,141,75,232,1135,527,1792,1274,577,1992,1.34776007919
20,2020-03-20,,,,,,,,,154,84,253,1261,602,2005,1427,662,2245,1.3455691349799999
21,2020-03-21,,,,,,,,,166,93,274,1399,685,2239,1594,755,2519,1.3428690962999998
22,2020-03-22,,,,,,,,,179,103,296,1551,779,2494,1772,859,2814,1.3395337260299998
23,2020-03-23,,,,,,,,,192,114,318,1715,883,2771,1965,973,3131,1.3354044724
24,2020-03-24,2.0,2.0,,,,,,,207,126,341,1860,983,3016,2172,1099,3471,1.3302852043100002
25,2020-03-25,0.0,2.0,,,,,,,223,138,365,2020,1096,3285,2394,1238,3836,1.3239417448
26,2020-03-26,0.0,2.0,,,,,,,238,152,396,2194,1221,3582,2633,1390,4231,1.31611200927
27,2020-03-27,1.0,3.0,,,,,,,254,166,427,2379,1358,3902,2887,1557,4658,1.3065345260299999
28,2020-03-28,2.0,5.0,,,,,,,270,180,454,2572,1505,4234,3157,1738,5111,1.2949994995
29,2020-03-29,1.0,6.0,,,,,,,286,191,476,2768,1655,4565,3443,1930,5586,1.2814150755299998
30,2020-03-30,1.0,7.0,,,,,,,303,203,499,2969,1809,4901,3746,2133,6085,1.26586412176
31,2020-03-31,1.0,8.0,,,,,,,318,212,531,3178,1968,5255,4064,2345,6615,1.2486196242799998
32,2020-04-01,2.0,10.0,,,,,,,333,220,554,3393,2129,5616,4397,2565,7168,1.23010525875
33,2020-04-02,2.0,12.0,,,,,,,348,226,570,3612,2289,5977,4745,2791,7738,1.21082027005
34,2020-04-03,0.0,12.0,,,,,,,361,231,589,3832,2445,6334,5106,3023,8326,1.19126479692
35,2020-04-04,2.0,14.0,,,,,,,374,237,606,4052,2598,6688,5480,3260,8932,1.17189185855
36,2020-04-05,2.0,16.0,,,,,,,386,242,619,4272,2747,7032,5866,3503,9550,1.1530908389799999
37,2020-04-06,0.0,16.0,,,,,,,397,247,625,4490,2892,7361,6262,3751,10175,1.1351919039899998
38,2020-04-07,2.0,18.0,,,,,,,407,253,630,4704,3031,7674,6669,4004,10804,1.1184762321700001
39,2020-04-08,0.0,18.0,,,,,,,416,258,635,4913,3163,7968,7085,4263,11439,1.10317974926
40,2020-04-09,3.0,21.0,,,,,,,424,263,639,5115,3288,8242,7509,4526,12077,1.08948421506
41,2020-04-10,0.0,21.0,,,,,,,432,268,645,5309,3403,8491,7941,4794,12722,1.07749784071
42,2020-04-11,4.0,25.0,,,,,,,440,273,651,5494,3510,8715,8381,5067,13373,1.0672365945
43,2020-04-12,2.0,27.0,,,,,,,446,277,655,5670,3607,8917,8827,5345,14028,1.05862085209
44,2020-04-13,2.0,29.0,,,,,,,453,282,664,5837,3698,9105,9280,5628,14691,1.0514941696200002
45,2020-04-14,3.0,32.0,,,,,,,459,287,674,5993,3782,9280,9739,5915,15364,1.04565688597
46,2020-04-15,1.0,33.0,,,,,,,465,291,680,6140,3861,9430,10204,6206,16044,1.0409000569700002
47,2020-04-16,4.0,37.0,,,,,,,470,295,680,6277,3937,9556,10675,6502,16724,1.03702933049
48,2020-04-17,0.0,37.0,,,,,,,476,302,686,6405,4013,9671,11150,6804,17409,1.0338766335
49,2020-04-18,1.0,38.0,,,,,,,481,307,690,6525,4088,9772,11631,7112,18098,1.03130278233
50,2020-04-19,1.0,39.0,,,,,,,486,311,692,6638,4162,9858,12118,7423,18790,1.02919517861
51,2020-04-20,2.0,41.0,,,,,,,491,315,695,6743,4234,9934,12609,7738,19484,1.02746366832
52,2020-04-21,1.0,42.0,,,,,,,496,319,697,6843,4306,10006,13105,8057,20180,1.0260362456999998
53,2020-04-22,0.0,42.0,,,,,,,501,322,699,6937,4375,10075,13606,8380,20879,1.02485529888
54,2020-04-23,3.0,45.0,,,,,,,505,326,699,7026,4443,10138,14111,8706,21577,1.02387456711
55,2020-04-24,2.0,47.0,,,,,,,510,330,697,7112,4510,10197,14621,9037,22274,1.02306063455
56,2020-04-25,1.0,48.0,,,,,,,515,333,703,7194,4576,10254,15136,9371,22976,1.0225000663200001
57,2020-04-26,3.0,51.0,,,,,,,519,336,707,7274,4639,10310,15655,9707,23682,1.0221838991
58,2020-04-27,0.0,51.0,,,,,,,524,339,715,7351,4701,10369,16179,10047,24397,1.02211847642
59,2020-04-28,6.0,57.0,,,,,,,528,342,724,7427,4761,10430,16707,10390,25120,1.02231487065
60,2020-04-29,0.0,57.0,,,,,,,533,346,731,7501,4821,10487,17240,10736,25851,1.0228104474
61,2020-04-30,4.0,61.0,,,,,,,538,350,736,7574,4879,10542,17778,11086,26586,1.02347635116
62,2020-05-01,3.0,64.0,,,,,,,543,353,739,7647,4937,10601,18321,11440,27324,1.0243005413200001
63,2020-05-02,8.0,72.0,,,,,,,548,357,743,7719,4993,10659,18869,11798,28067,1.02531440958
64,2020-05-03,4.0,76.0,,,,,,,553,361,752,7791,5048,10721,19423,12160,28818,1.02655456594
65,2020-05-04,4.0,80.0,,,,,,,559,365,762,7864,5102,10791,19982,12525,29580,1.0280632381
66,2020-05-05,3.0,83.0,,,,,,,565,369,773,7937,5157,10868,20546,12895,30352,1.02988847905
67,2020-05-06,4.0,87.0,,,,,,,571,374,784,8012,5211,10956,21117,13269,31136,1.03208404261
68,2020-05-07,0.0,87.0,,,,,,,577,378,797,8088,5267,11054,21694,13648,31932,1.034708754
69,2020-05-08,1.0,88.0,,,,,,,584,383,809,8167,5325,11164,22278,14032,32740,1.0378251664
70,2020-05-09,0.0,88.0,,,,,,,592,389,822,8249,5384,11289,22870,14421,33562,1.0414972759
71,2020-05-10,3.0,91.0,,,,,,,600,395,837,8334,5445,11424,23470,14816,34399,1.0457870867499999
72,2020-05-11,3.0,94.0,,,,,,,609,401,851,8424,5510,11568,24078,15218,35249,1.05074989419
73,2020-05-12,1.0,95.0,,,,,,,619,409,863,8519,5580,11716,24697,15627,36112,1.0564283164100001
74,2020-05-13,2.0,97.0,,,,,,,630,417,876,8620,5655,11868,25327,16045,36987,1.06284537344
75,2020-05-14,1.0,98.0,,,,,,,642,426,889,8728,5735,12026,25968,16471,37876,1.06999726514
76,2020-05-15,0.0,98.0,,,,,,,655,436,911,8845,5821,12200,26623,16908,38786,1.07784688383
77,2020-05-16,0.0,98.0,,,,,,,669,448,937,8971,5916,12398,27292,17357,39722,1.08631938981
78,2020-05-17,0.0,98.0,,,,,,,685,460,956,9108,6019,12611,27978,17818,40678,1.0953012263600002
79,2020-05-18,2.0,100.0,,,,,,,703,475,983,9258,6133,12842,28681,18293,41660,1.10464361792
80,2020-05-19,2.0,102.0,,,,,,,722,490,1008,9421,6258,13088,29403,18783,42667,1.11417084921
81,2020-05-20,5.0,107.0,,,,,,,743,507,1042,9599,6395,13357,30145,19291,43709,1.12369260014
82,2020-05-21,3.0,110.0,,,,,,,765,525,1079,9794,6546,13651,30910,19816,44787,1.13301861369
83,2020-05-22,3.0,113.0,,,,,,,789,545,1117,10005,6713,13972,31699,20361,45904,1.1419733549
84,2020-05-23,2.0,115.0,,,,,,,815,565,1154,10236,6895,14318,32514,20927,47057,1.15040832153
85,2020-05-24,1.0,116.0,,,,,,,842,588,1197,10486,7094,14692,33356,21515,48254,1.15821028807
86,2020-05-25,1.0,117.0,,,,,,,871,611,1246,10758,7310,15101,34227,22126,49499,1.1653047646999999
87,2020-05-26,2.0,119.0,,,,,,,902,632,1298,11051,7541,15548,35129,22759,50797,1.17165497528
88,2020-05-27,1.0,120.0,,,,,,,934,655,1354,11366,7787,16039,36064,23415,52150,1.17725740275
89,2020-05-28,5.0,125.0,,,,,,,969,680,1411,11705,8050,16574,37032,24096,53561,1.18213528096
90,2020-05-29,7.0,132.0,,,,,,,1004,701,1473,12068,8325,17158,38037,24797,55033,1.1863313610700001
91,2020-05-30,1.0,133.0,,,,,,,1042,721,1538,12456,8609,17784,39079,25518,56570,1.1899009864499999
92,2020-05-31,0.0,133.0,,,,,,,1082,750,1602,12868,8911,18450,40161,26268,58172,1.1929061268
93,2020-06-01,0.0,133.0,,,,,,,1123,775,1673,13306,9225,19167,41284,27044,59844,1.19541066108
94,2020-06-02,3.0,136.0,,,,,,,1167,794,1744,13770,9545,19929,42451,27838,61588,1.1974769086700001
95,2020-06-03,6.0,142.0,,,,,,,1212,811,1814,14260,9866,20734,43663,28649,63401,1.19916345761
96,2020-06-04,9.0,151.0,,,,,,,1256,828,1883,14774,10187,21576,44919,29478,65284,1.19784574014
97,2020-06-05,1.0,152.0,,,,,,,1303,850,1954,15312,10512,22451,46222,30329,67238,1.1962576417200002
98,2020-06-06,2.0,154.0,,,,,,,1351,865,2036,15873,10833,23370,47573,31194,69273,1.19444284408
99,2020-06-07,0.0,154.0,,,,,,,1400,879,2118,16459,11147,24334,48973,32074,71391,1.19243855215
100,2020-06-08,1.0,155.0,,,,,,,1451,892,2202,17068,11451,25339,50424,32967,73593,1.19027655315
101,2020-06-09,6.0,161.0,,,,,,,1503,908,2283,17700,11749,26377,51927,33876,75875,1.18798377237
102,2020-06-10,4.0,165.0,,,,,,,1556,922,2358,18354,12038,27437,53483,34798,78233,1.18558289209
103,2020-06-11,6.0,171.0,,,,,,,1610,937,2441,19029,12320,28524,55093,35736,80673,1.18309293008
104,2020-06-12,5.0,176.0,,,,,,,1666,943,2534,19727,12583,29647,56759,36679,83207,1.18052965077
105,2020-06-13,1.0,177.0,,,,,,,1723,945,2624,20445,12827,30798,58482,37625,85830,1.17790606537
106,2020-06-14,2.0,179.0,,,,,,,1781,947,2717,21184,13054,31977,60263,38572,88546,1.1752329001000001
107,2020-06-15,3.0,182.0,,,,,,,1841,958,2826,21943,13262,33201,62104,39531,91372,1.17251896972
108,2020-06-16,6.0,188.0,,,,,,,1901,963,2935,22721,13450,34463,64005,40494,94307,1.16977151452
109,2020-06-17,9.0,197.0,,,,,,,1963,962,3028,23517,13618,35747,65968,41456,97334,1.16699644226
110,2020-06-18,11.0,208.0,,,,,,,2026,961,3120,24332,13768,37054,67994,42418,100454,1.16419854749
111,2020-06-19,6.0,214.0,,,,,,,2087,956,3227,25162,13897,38397,70081,43375,103681,1.15922089769
112,2020-06-20,10.0,224.0,,,,,,,2149,952,3348,26008,13999,39791,72230,44328,107028,1.15424164855
