,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-26,,,,,,,,,105,50,150,105,50,150,105,50,150,1.27597635641
1,2020-02-27,,,,,,,,,105,50,150,211,100,300,211,100,300,1.27595659146
2,2020-02-28,,,,,,,,,105,50,150,316,150,450,316,150,450,1.27595218531
3,2020-02-29,,,,,,,,,105,50,150,421,200,600,421,200,600,1.27594679323
4,2020-03-01,,,,,,,,,105,50,150,526,250,750,526,250,750,1.27594019336
5,2020-03-02,,,,,,,,,105,50,150,632,300,900,632,300,900,1.2759321135200001
6,2020-03-03,,,,,,,,,105,50,150,737,350,1050,737,350,1050,1.27592221964
7,2020-03-04,,,,,,,,,105,50,150,842,400,1200,842,400,1200,1.27591010153
8,2020-03-05,,,,,,,,,105,50,150,947,450,1350,947,450,1350,1.2758952553
9,2020-03-06,,,,,,,,,236,119,330,1183,569,1680,1183,569,1680,1.27580523464
10,2020-03-07,,,,,,,,,235,119,329,1418,689,2009,1418,689,2009,1.27577395474
11,2020-03-08,,,,,,,,,242,123,338,1660,813,2346,1660,813,2346,1.27572642602
12,2020-03-09,,,,,,,,,257,132,358,1917,946,2704,1917,946,2704,1.2756727984899998
13,2020-03-10,,,,,,,,,289,152,400,2205,1098,3103,2205,1098,3103,1.2756109496999999
14,2020-03-11,,,,,,,,,338,182,465,2543,1280,3567,2543,1280,3567,1.2755384337200002
15,2020-03-12,,,,,,,,,375,204,513,2812,1435,3929,2918,1485,4079,1.2754516564
16,2020-03-13,,,,,,,,,403,222,549,3110,1608,4328,3321,1708,4628,1.27534644446
17,2020-03-14,,,,,,,,,434,243,588,3438,1801,4766,3754,1951,5216,1.27522060215
18,2020-03-15,,,,,,,,,468,266,631,3801,2018,5246,4222,2218,5846,1.27507078779
19,2020-03-16,,,,,,,,,510,296,684,4206,2264,5780,4732,2514,6530,1.2748917837
20,2020-03-17,,,,,,,,,553,326,737,4653,2540,6367,5285,2840,7267,1.2746771042799998
21,2020-03-18,,,,,,,,,595,355,788,5143,2846,7004,5879,3196,8054,1.27441838827
22,2020-03-19,,,,,,,,,636,386,839,5674,3183,7693,6516,3583,8893,1.27410612714
23,2020-03-20,,,,,,,,,680,420,891,6249,3553,8434,7196,4003,9784,1.2737287749
24,2020-03-21,1.0,1.0,,,,,,,728,456,948,6741,3890,9051,7924,4460,10731,1.2732718914
25,2020-03-22,1.0,2.0,,,,,,,779,496,1007,7285,4267,9729,8703,4956,11737,1.2727175104200001
26,2020-03-23,0.0,2.0,,,,,,,830,537,1074,7873,4680,10465,9533,5493,12811,1.27204340475
27,2020-03-24,3.0,5.0,,,,,,,884,580,1161,8500,5127,11268,10417,6074,13971,1.27122241736
28,2020-03-25,1.0,6.0,,,,,,,939,625,1254,9150,5601,12123,11356,6699,15225,1.2702214215899998
29,2020-03-26,2.0,8.0,,,,,,,997,674,1352,9809,6093,13009,12352,7374,16576,1.26899998912
30,2020-03-27,5.0,13.0,,,,,,,1057,725,1449,10492,6614,13946,13410,8100,18024,1.2675089972700002
31,2020-03-28,2.0,15.0,,,,,,,1120,779,1555,11210,7171,14952,14530,8879,19579,1.26568919619
32,2020-03-29,2.0,17.0,,,,,,,1185,836,1673,11962,7764,16036,15716,9715,21251,1.26346990443
33,2020-03-30,3.0,20.0,,,,,,,1252,894,1786,12746,8392,17191,16968,10610,23037,1.26076797188
34,2020-03-31,5.0,25.0,,,,,,,1321,955,1899,13557,9052,18407,18289,11566,24936,1.2574873765999999
35,2020-04-01,7.0,32.0,,,,,,,1392,1019,2025,14397,9745,19695,19681,12585,26961,1.25352008594
36,2020-04-02,3.0,35.0,,,,,,,1465,1083,2146,15267,10472,21053,21146,13669,29107,1.24874897967
37,2020-04-03,9.0,44.0,,,,,,,1538,1149,2266,16168,11236,22480,22684,14819,31372,1.2430537150799998
38,2020-04-04,8.0,52.0,,,,,,,1611,1216,2377,17099,12032,23966,24295,16036,33749,1.23632017342
39,2020-04-05,12.0,64.0,,,,,,,1685,1282,2507,18056,12858,25525,25980,17319,36255,1.22845338955
40,2020-04-06,1.0,65.0,,,,,,,1758,1335,2612,19035,13698,27131,27738,18654,38867,1.21939255563
41,2020-04-07,8.0,73.0,,,,,,,1829,1380,2690,20033,14541,28746,29566,20035,41556,1.20912514638
42,2020-04-08,16.0,89.0,,,,,,,1897,1418,2787,21047,15380,30372,31464,21454,44343,1.19769638812
43,2020-04-09,9.0,98.0,,,,,,,1963,1454,2875,22072,16208,31993,33427,22908,47217,1.1852111699799999
