,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-02,,,,,,,,,55,25,75,55,25,75,55,25,75,1.45454094622
1,2020-03-03,,,,,,,,,55,25,75,110,50,150,110,50,150,1.45426672221
2,2020-03-04,,,,,,,,,55,25,75,165,75,225,165,75,225,1.4542060232799998
3,2020-03-05,,,,,,,,,55,25,75,219,100,300,219,100,300,1.45413189274
4,2020-03-06,,,,,,,,,55,25,75,274,125,375,274,125,375,1.45404136032
5,2020-03-07,,,,,,,,,55,25,75,329,150,450,329,150,450,1.4539307998
6,2020-03-08,,,,,,,,,55,25,75,384,175,525,384,175,525,1.45379578454
7,2020-03-09,,,,,,,,,55,25,75,439,200,600,439,200,600,1.4536309114100001
8,2020-03-10,,,,,,,,,55,25,75,494,225,675,494,225,675,1.4534295862
9,2020-03-11,,,,,,,,,132,64,180,625,289,855,625,289,855,1.4528685265399999
10,2020-03-12,,,,,,,,,131,64,180,756,354,1035,756,354,1035,1.45252904407
11,2020-03-13,,,,,,,,,136,67,186,892,422,1220,892,422,1220,1.45206747154
12,2020-03-14,,,,,,,,,146,73,200,1038,495,1420,1038,495,1420,1.4515255123500002
13,2020-03-15,,,,,,,,,167,86,229,1205,582,1648,1205,582,1648,1.4508813725299998
14,2020-03-16,,,,,,,,,200,106,274,1406,688,1921,1406,688,1921,1.45010939825
15,2020-03-17,,,,,,,,,226,121,308,1576,784,2153,1631,809,2228,1.4491749381799999
16,2020-03-18,,,,,,,,,246,134,335,1767,893,2413,1877,943,2563,1.44803706919
17,2020-03-19,,,,,,,,,269,149,366,1981,1017,2703,2146,1092,2928,1.44666241303
18,2020-03-20,,,,,,,,,295,166,401,2222,1159,3028,2441,1259,3328,1.44500649015
19,2020-03-21,,,,,,,,,328,189,445,2495,1323,3397,2769,1448,3772,1.44300878363
20,2020-03-22,,,,,,,,,362,212,490,2802,1511,3811,3132,1661,4261,1.4405950954
21,2020-03-23,,,,,,,,,396,236,534,3144,1722,4270,3528,1897,4795,1.43767286318
22,2020-03-24,,,,,,,,,431,261,581,3520,1959,4776,3959,2159,5376,1.4341335026100002
23,2020-03-25,,,,,,,,,469,289,631,3933,2223,5331,4427,2448,6006,1.42984430208
24,2020-03-26,1.0,1.0,,,,,,,510,318,685,4312,2477,5836,4937,2767,6691,1.4246400393599998
25,2020-03-27,1.0,2.0,,,,,,,554,352,744,4735,2765,6400,5492,3119,7434,1.4183156406600002
26,2020-03-28,3.0,5.0,,,,,,,600,387,807,5199,3084,7021,6091,3507,8241,1.4106185508700002
27,2020-03-29,1.0,6.0,,,,,,,647,424,874,5700,3435,7696,6738,3931,9115,1.40124408447
28,2020-03-30,0.0,6.0,,,,,,,695,464,944,6228,3813,8411,7434,4395,10058,1.3898358733899998
29,2020-03-31,4.0,10.0,,,,,,,745,505,1018,6773,4213,9155,8179,4901,11075,1.37600066212
30,2020-04-01,1.0,11.0,,,,,,,795,549,1096,7342,4642,9943,8974,5451,12171,1.35934961366
31,2020-04-02,1.0,12.0,,,,,,,845,594,1179,7941,5102,10787,9818,6046,13349,1.33957207163
32,2020-04-03,2.0,14.0,,,,,,,892,635,1264,8564,5589,11685,10710,6682,14612,1.316531363
33,2020-04-04,0.0,14.0,,,,,,,936,657,1345,9205,6079,12629,11646,7339,15956,1.29034672801
34,2020-04-05,0.0,14.0,,,,,,,976,680,1394,9853,6571,13578,12622,8019,17350,1.2614160536299999
35,2020-04-06,1.0,15.0,,,,,,,1012,690,1450,10502,7049,14539,13634,8710,18800,1.23036041427
36,2020-04-07,1.0,16.0,,,,,,,1042,700,1495,11149,7513,15499,14676,9410,20294,1.1979176995899998
37,2020-04-08,3.0,19.0,,,,,,,1067,706,1527,11785,7958,16446,15743,10117,21821,1.16483755216
38,2020-04-09,4.0,23.0,,,,,,,1086,709,1545,12402,8378,17360,16830,10827,23365,1.1318162183299998
39,2020-04-10,9.0,32.0,,,,,,,1099,711,1540,12991,8770,18215,17929,11538,24905,1.09947825819
40,2020-04-11,1.0,33.0,,,,,,,1106,710,1544,13543,9129,19015,19035,12248,26449,1.0683871948299999
41,2020-04-12,2.0,35.0,,,,,,,1108,713,1563,14052,9455,19771,20143,12962,28011,1.0390587260600002
42,2020-04-13,6.0,41.0,,,,,,,1105,718,1543,14510,9748,20440,21248,13680,29554,1.01195563593
