,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-25,,,,,,,,,397,300,500,397,300,500,397,300,500,1.9437100614200002
1,2020-02-26,,,,,,,,,397,300,500,794,600,1000,794,600,1000,1.94225086825
2,2020-02-27,,,,,,,,,397,300,500,1190,900,1500,1190,900,1500,1.9419282797400002
3,2020-02-28,,,,,,,,,397,300,500,1587,1200,2000,1587,1200,2000,1.9415345023500001
4,2020-02-29,,,,,,,,,397,300,500,1984,1500,2500,1984,1500,2500,1.9410538865400002
5,2020-03-01,,,,,,,,,397,300,500,2381,1800,3000,2381,1800,3000,1.9404673707099998
6,2020-03-02,,,,,,,,,397,300,500,2778,2100,3500,2778,2100,3500,1.93975174994
7,2020-03-03,,,,,,,,,397,300,500,3175,2400,4000,3175,2400,4000,1.9388787932700002
8,2020-03-04,,,,,,,,,397,300,500,3571,2700,4500,3571,2700,4500,1.9378141801099997
9,2020-03-05,,,,,,,,,1157,839,1500,4729,3539,6000,4729,3539,6000,1.93607838197
10,2020-03-06,,,,,,,,,1152,835,1494,5881,4374,7494,5881,4374,7494,1.9344421414700002
11,2020-03-07,,,,,,,,,1221,880,1589,7102,5254,9082,7102,5254,9082,1.93235487283
12,2020-03-08,,,,,,,,,1362,973,1782,8463,6228,10864,8463,6228,10864,1.9298492052200003
13,2020-03-09,,,,,,,,,1655,1166,2184,10118,7394,13047,10118,7394,13047,1.9268250622099998
14,2020-03-10,,,,,,,,,2112,1466,2813,12230,8860,15860,12230,8860,15860,1.9231637858099997
15,2020-03-11,,,,,,,,,2476,1703,3328,14309,10264,18687,14706,10564,19187,1.9187130651
16,2020-03-12,,,,,,,,,2804,1911,3849,16716,11876,22036,17510,12476,23036,1.9132918343
17,2020-03-13,,,,,,,,,3207,2162,4509,19527,13738,26045,20717,14638,27545,1.9067222432900002
18,2020-03-14,,,,,,,,,3703,2467,5337,22833,15906,30882,24421,17106,32882,1.89877781659
19,2020-03-15,,,,,,,,,4329,2852,6372,26766,18458,36754,28750,19958,39254,1.8891680842400003
20,2020-03-16,,,,,,,,,4998,3262,7467,31367,21420,43720,33748,23220,46720,1.8775409352599999
21,2020-03-17,,,,,,,,,5699,3689,8590,36669,24810,51810,39447,26910,55310,1.86346922539
22,2020-03-18,,,,,,,,,6468,4141,9735,42740,28652,61044,45915,31052,65044,1.84645842102
23,2020-03-19,,,,,,,,,7330,4618,11097,49673,32971,71641,53245,35671,76141,1.82593451164
24,2020-03-20,1.0,1.0,,,,,,,8291,5192,12695,56807,37324,82835,61536,40863,88835,1.8012557179700002
25,2020-03-21,0.0,1.0,,,,,,,9318,5797,14211,64973,42286,95552,70854,46661,103046,1.7717662790900002
26,2020-03-22,4.0,5.0,,,,,,,10377,6412,16006,74130,47818,109969,81231,53073,119051,1.7368958181
27,2020-03-23,4.0,9.0,,,,,,,11456,7068,17972,84224,53914,126159,92688,60142,137022,1.6962976248
28,2020-03-24,2.0,11.0,,,,,,,12540,7770,19950,95109,60519,143925,105228,67913,156972,1.6499769784600002
29,2020-03-25,4.0,15.0,,,,,,,13606,8517,21080,106604,67570,162192,118834,76431,178052,1.59835780974
30,2020-03-26,10.0,25.0,,,,,,,14621,9272,21362,118749,75138,180226,133455,85703,199413,1.5422609669
31,2020-03-27,10.0,35.0,,,,,,,15549,10038,22951,131494,83265,199329,149004,95741,222364,1.4828111449399999
32,2020-03-28,9.0,44.0,,,,,,,16368,10526,23547,144655,91629,218366,165372,106268,245911,1.4213202899700002
33,2020-03-29,4.0,48.0,,,,,,,17063,10819,23968,158015,99981,236997,182435,117087,269878,1.3591834042200002
34,2020-03-30,8.0,56.0,,,,,,,17624,11196,24709,171309,108325,255334,200059,128284,294587,1.29779834431
35,2020-03-31,33.0,89.0,,,,,,,18044,11801,25397,184356,116864,273264,218103,140085,319984,1.2385032365000002
36,2020-04-01,33.0,122.0,,,,,,,18322,12130,25399,196978,125305,290073,236425,152216,345382,1.18251945827
37,2020-04-02,32.0,154.0,,,,,,,18464,12317,25921,208974,133481,306259,254889,164533,371302,1.1308909173200001
38,2020-04-03,38.0,192.0,,,,,,,18485,12488,26286,220129,141351,321448,273374,177022,397588,1.08441507123
39,2020-04-04,24.0,216.0,,,,,,,18402,12542,25806,230240,148701,334559,291776,189564,423393,1.04357233715
40,2020-04-05,15.0,231.0,,,,,,,18234,12452,25420,239156,155355,345768,310010,202016,448813,1.00847930377
41,2020-04-06,29.0,260.0,,,,,,,17998,12348,25071,246777,161291,354833,328009,214365,473884,0.978899726822
42,2020-04-07,96.0,356.0,,,,,,,17708,12181,24256,253029,166404,361118,345717,226546,498139,0.9543251836509999
43,2020-04-08,77.0,433.0,,,,,,,17375,12033,23919,257864,170667,365087,363092,238580,522058,0.9340974133509999
44,2020-04-09,70.0,503.0,,,,,,,17011,11794,23540,261269,173943,367546,380103,250374,545598,0.917525606331
45,2020-04-10,96.0,599.0,,,,,,,16623,11562,22792,263271,176233,368976,396726,261936,568389,0.903967083089
46,2020-04-11,87.0,686.0,,,,,,,16219,11332,21865,263940,177528,367890,412945,273269,590254,0.89286640339
47,2020-04-12,70.0,756.0,,,,,,,15805,11101,21082,263377,178102,365425,428749,284370,611335,0.8837641364409999
48,2020-04-13,88.0,844.0,,,,,,,15385,10875,20429,261698,178158,361886,444134,295246,631763,0.876289295261
49,2020-04-14,0.0,844.0,,,,,,,14963,10658,19740,259038,177620,356916,459097,305904,651503,0.870145598136
50,2020-04-15,264.0,1108.0,,,,,,,14543,10445,19350,255537,176264,350869,473640,316350,670853,0.865097081131
51,2020-04-16,0.0,1108.0,,,,,,,14127,10235,18690,251342,174369,344161,487767,326585,689542,0.860955363958
52,2020-04-17,137.0,1245.0,,,,,,,13718,10021,18146,246596,172073,336386,501485,336607,707688,0.857569162523
53,2020-04-18,159.0,1404.0,,,,,,,13316,9827,17439,241427,169412,327539,514801,346435,725127,0.8548159191820001
54,2020-04-19,302.0,1706.0,,,,,,,12923,9643,16956,235948,166514,318690,527723,356078,742083,0.852595207606
55,2020-04-20,0.0,1706.0,,,,,,,12539,9435,16553,230252,163497,309822,540263,365514,758635,0.8508235702120001
56,2020-04-21,255.0,1961.0,,,,,,,12166,9246,16153,224420,160396,300904,552429,374761,774787,0.849430512535
57,2020-04-22,221.0,2182.0,,,,,,,11804,9061,15758,218516,157276,292405,564232,383823,790544,0.8483554461239999
58,2020-04-23,178.0,2360.0,,,,,,,11452,8852,15370,212593,154095,283855,575684,392675,805913,0.847545418585
59,2020-04-24,196.0,2556.0,,,,,,,11111,8638,14859,206693,150939,275174,586796,401313,820772,0.846953495779
60,2020-04-25,174.0,2730.0,,,,,,,10781,8375,14413,200851,147752,266796,597577,409689,835184,0.84653767468
61,2020-04-26,169.0,2899.0,,,,,,,10462,8133,13870,195094,144554,258800,608039,417823,849054,0.846260213726
62,2020-04-27,104.0,3003.0,,,,,,,10153,7850,13346,189442,141302,251065,618191,425673,862400,0.8460872756319999
63,2020-04-28,150.0,3153.0,,,,,,,9853,7601,12842,183911,138028,243478,628045,433274,875241,0.845988786866
64,2020-04-29,252.0,3405.0,,,,,,,9564,7281,12362,178511,134651,236100,637608,440556,887602,0.845938427978
65,2020-04-30,157.0,3562.0,,,,,,,9283,6956,12121,173251,131162,228871,646891,447512,899723,0.8459136789939999
66,2020-05-01,154.0,3716.0,,,,,,,9011,6697,11845,168135,127623,222025,655902,454209,911567,0.8458958547409999
67,2020-05-02,130.0,3846.0,,,,,,,8748,6465,11498,163165,124067,215377,664650,460674,923064,0.845870077395
68,2020-05-03,158.0,4004.0,,,,,,,8492,6252,11166,158342,120492,209104,673143,466927,934230,0.845825149348
69,2020-05-04,86.0,4090.0,,,,,,,8245,5961,10856,153664,116810,203003,681387,472889,945085,0.845753308724
70,2020-05-05,122.0,4212.0,,,,,,,8004,5714,10522,149129,113089,196972,689391,478604,955606,0.84564987095
71,2020-05-06,208.0,4420.0,,,,,,,7771,5570,10254,144733,109413,191073,697162,484174,965860,0.845512779245
72,2020-05-07,132.0,4552.0,,,,,,,7544,5345,9991,140473,105696,185307,704706,489519,975850,0.845325467299
73,2020-05-08,150.0,4702.0,,,,,,,7323,5105,9732,136344,101949,179669,712029,494624,985581,0.8451102222589999
74,2020-05-09,138.0,4840.0,,,,,,,7109,4865,9559,132342,98176,174368,719138,499490,995139,0.844870948182
75,2020-05-10,139.0,4979.0,,,,,,,6901,4601,9394,128461,94402,169349,726039,504092,1004533,0.8446098039480001
76,2020-05-11,129.0,5108.0,,,,,,,6698,4336,9161,124698,90604,164639,732737,508428,1013693,0.8443368318760001
77,2020-05-12,33.0,5141.0,,,,,,,6501,4084,8930,121046,86839,160223,739238,512513,1022622,0.844051678509
78,2020-05-13,174.0,5315.0,,,,,,,6310,3889,8738,117503,83128,156119,745548,516403,1031360,0.8437711822
79,2020-05-14,167.0,5482.0,,,,,,,6123,3707,8624,114063,79554,152382,751671,520110,1039983,0.8434802716850001
80,2020-05-15,110.0,5592.0,,,,,,,5942,3533,8459,110722,76132,148720,757613,523644,1048442,0.843183322827
81,2020-05-16,113.0,5705.0,,,,,,,5766,3368,8226,107476,72803,145101,763379,527012,1056668,0.842884410994
82,2020-05-17,92.0,5797.0,,,,,,,5594,3239,7994,104322,69576,141598,768973,530251,1064662,0.842587349728
83,2020-05-18,65.0,5862.0,,,,,,,5427,3090,7839,101257,66415,138270,774399,533342,1072500,0.842295763095
84,2020-05-19,76.0,5938.0,,,,,,,5264,2949,7711,98276,63403,135126,779664,536292,1080210,0.8420131764650001
85,2020-05-20,128.0,6066.0,,,,,,,5106,2813,7494,95378,60502,132098,784770,539106,1087704,0.841743121239
86,2020-05-21,82.0,6148.0,,,,,,,4952,2684,7323,92559,57616,129168,789721,541790,1095027,0.841489253645
87,2020-05-22,80.0,6228.0,,,,,,,4802,2560,7224,89818,54831,126401,794523,544350,1102251,0.841255485752
88,2020-05-23,76.0,6304.0,,,,,,,4656,2439,7074,87150,52165,123743,799179,546790,1109324,0.841046131601
89,2020-05-24,68.0,6372.0,,,,,,,4514,2326,6914,84555,49626,121099,803693,549116,1116238,0.84086607221
90,2020-05-25,44.0,6416.0,,,,,,,4376,2217,6719,82030,47242,118424,808069,551334,1122956,0.840720942455
91,2020-05-26,57.0,6473.0,,,,,,,4241,2114,6532,79573,45020,115796,812310,553448,1129488,0.840617345096
92,2020-05-27,74.0,6547.0,,,,,,,4111,2014,6382,77183,42949,113248,816421,555463,1135870,0.840563096584
93,2020-05-28,93.0,6640.0,,,,,,,3983,1919,6294,74857,40979,110804,820404,557382,1142163,0.8405675102079999
94,2020-05-29,78.0,6718.0,,,,,,,3860,1828,6206,72593,39100,108385,824264,559210,1148368,0.840641722105
95,2020-05-30,50.0,6768.0,,,,,,,3740,1741,6118,70391,37307,106044,828004,560952,1154486,0.8407990647139999
96,2020-05-31,78.0,6846.0,,,,,,,3623,1657,6031,68248,35596,103849,831627,562609,1160516,0.841055490628
97,2020-06-01,189.0,7035.0,,,,,,,3510,1576,5945,66165,33934,101799,835137,564186,1166460,0.841430046585
98,2020-06-02,50.0,7085.0,,,,,,,3402,1502,5861,64140,32346,99821,838540,565689,1172320,0.8419453921080001
99,2020-06-03,67.0,7152.0,,,,,,,3300,1432,5781,62176,30829,97891,841840,567122,1178101,0.8426283465119999
100,2020-06-04,49.0,7201.0,,,,,,,3202,1365,5703,60273,29381,96100,845042,568487,1183803,0.843510344399
101,2020-06-05,34.0,7235.0,,,,,,,3108,1303,5627,58429,28001,94404,848150,569791,1189430,0.84462798647
102,2020-06-06,54.0,7289.0,,,,,,,3018,1245,5554,56644,26686,92734,851168,571037,1194984,0.8460236640889999
103,2020-06-07,27.0,7316.0,,,,,,,2932,1186,5484,54920,25432,91144,854100,572223,1200468,0.847745633892
104,2020-06-08,37.0,7353.0,,,,,,,2851,1129,5410,53258,24236,89640,856951,573352,1205878,0.84984786375
105,2020-06-09,55.0,7408.0,,,,,,,2775,1078,5332,51658,23096,88253,859726,574431,1211209,0.852389388527
106,2020-06-10,46.0,7454.0,,,,,,,2704,1035,5255,50121,22018,86976,862431,575466,1216464,0.855432969456
107,2020-06-11,38.0,7492.0,,,,,,,2638,998,5179,48648,21001,85773,865069,576465,1221642,0.859042817148
108,2020-06-12,46.0,7538.0,,,,,,,2577,959,5102,47241,20042,84581,867645,577424,1226744,0.863281125381
109,2020-06-13,38.0,7576.0,,,,,,,2521,919,5038,45902,19133,83414,870166,578344,1231781,0.868203307554
110,2020-06-14,48.0,7624.0,,,,,,,2470,882,4952,44632,18275,82248,872636,579227,1236733,0.873851978603
111,2020-06-15,23.0,7647.0,,,,,,,2425,852,4880,43433,17470,81097,875061,580079,1241612,0.880249981205
112,2020-06-16,17.0,7664.0,,,,,,,2385,828,4798,42308,16722,79950,877446,580908,1246409,0.887393120281
113,2020-06-17,69.0,7733.0,,,,,,,2351,800,4718,41257,16019,78807,879797,581709,1251127,0.8952436381569999
114,2020-06-18,36.0,7769.0,,,,,,,2323,774,4641,40280,15361,77667,882120,582483,1255767,0.903725768767
