,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-23,,,,,,,,,110,50,150,110,50,150,110,50,150,1.8975554088900002
1,2020-02-24,,,,,,,,,110,50,150,220,100,300,220,100,300,1.8922788055700002
2,2020-02-25,,,,,,,,,110,50,150,330,150,450,330,150,450,1.89111694353
3,2020-02-26,,,,,,,,,110,50,150,440,200,600,440,200,600,1.88970081711
4,2020-02-27,,,,,,,,,110,50,150,550,250,750,550,250,750,1.88797546254
5,2020-02-28,,,,,,,,,110,50,150,660,300,900,660,300,900,1.88587430094
6,2020-02-29,,,,,,,,,110,50,150,770,350,1050,770,350,1050,1.8833167659299999
7,2020-03-01,,,,,,,,,110,50,150,880,400,1200,880,400,1200,1.88020545488
8,2020-03-02,,,,,,,,,110,50,150,990,450,1350,990,450,1350,1.87642269443
9,2020-03-03,,,,,,,,,309,149,450,1299,599,1800,1299,599,1800,1.8716966519599998
10,2020-03-04,,,,,,,,,307,148,448,1606,747,2247,1606,747,2247,1.86609938997
11,2020-03-05,,,,,,,,,323,157,476,1930,905,2722,1930,905,2722,1.85928005476
12,2020-03-06,,,,,,,,,357,176,532,2287,1082,3254,2287,1082,3254,1.8510184188499998
13,2020-03-07,,,,,,,,,428,215,650,2715,1297,3904,2715,1297,3904,1.84100928652
14,2020-03-08,,,,,,,,,538,276,834,3253,1573,4737,3253,1573,4737,1.8288863446099999
15,2020-03-09,,,,,,,,,621,324,967,3764,1847,5554,3874,1897,5704,1.8142118390900002
16,2020-03-10,,,,,,,,,693,367,1073,4347,2164,6476,4567,2264,6776,1.79647894413
17,2020-03-11,,,,,,,,,777,420,1196,5014,2535,7521,5344,2685,7971,1.77513754647
18,2020-03-12,,,,,,,,,876,484,1369,5780,2969,8739,6220,3169,9339,1.74962706322
19,2020-03-13,,,,,,,,,996,566,1613,6666,3486,10202,7215,3736,10952,1.7194561626
20,2020-03-14,,,,,,,,,1114,651,1807,7670,4087,11858,8330,4387,12758,1.68431498722
21,2020-03-15,,,,,,,,,1226,740,1959,8785,4778,13667,9555,5128,14717,1.64417637451
22,2020-03-16,,,,,,,,,1336,835,2081,10011,5564,15597,10891,5964,16797,1.59934835324
23,2020-03-17,,,,,,,,,1446,941,2190,11347,6455,17637,12337,6905,18987,1.5504465805399998
24,2020-03-18,1.0,1.0,,,,,,,1558,1050,2228,12596,7357,19415,13895,7956,21214,1.4983186930599999
25,2020-03-19,0.0,1.0,,,,,,,1662,1141,2334,13951,8350,21301,15557,9098,23547,1.44396542401
26,2020-03-20,2.0,3.0,,,,,,,1756,1216,2389,15383,9408,23214,17313,10314,25936,1.38848356743
27,2020-03-21,0.0,3.0,,,,,,,1837,1287,2487,16863,10520,25168,19150,11602,28422,1.33302896722
28,2020-03-22,0.0,3.0,,,,,,,1906,1328,2606,18341,11633,27123,21056,12931,31027,1.2787809265899999
29,2020-03-23,1.0,4.0,,,,,,,1965,1372,2644,19768,12730,28934,23021,14303,33671,1.22689333527
30,2020-03-24,4.0,8.0,,,,,,,2011,1397,2678,21157,13804,30645,25032,15701,36348,1.17842580338
31,2020-03-25,1.0,9.0,,,,,,,2045,1419,2725,22510,14856,32297,27077,17121,39073,1.13425578207
32,2020-03-26,0.0,9.0,,,,,,,2068,1451,2736,23802,15887,33838,29146,18572,41809,1.09498534025
33,2020-03-27,0.0,9.0,,,,,,,2082,1479,2750,25008,16882,35220,31228,20052,44558,1.06087295129
34,2020-03-28,4.0,13.0,,,,,,,2088,1503,2763,26100,17820,36370,33316,21556,47321,1.0318265593
35,2020-03-29,3.0,16.0,,,,,,,2088,1503,2750,27074,18672,37314,35404,23060,50071,1.00747039952
36,2020-03-30,0.0,16.0,,,,,,,2082,1506,2738,27930,19437,38093,37486,24566,52809,0.9872580612340001
37,2020-03-31,3.0,19.0,,,,,,,2072,1508,2739,28666,20110,38751,39557,26074,55547,0.9705854428120001
38,2020-04-01,5.0,24.0,,,,,,,2057,1509,2728,29277,20677,39289,41614,27583,58275,0.9568714628139999
39,2020-04-02,8.0,32.0,,,,,,,2040,1508,2705,29759,21135,39766,43654,29092,60980,0.945600138134
40,2020-04-03,13.0,45.0,,,,,,,2020,1511,2669,30116,21505,40101,45674,30603,63648,0.9363336943610001
41,2020-04-04,6.0,51.0,,,,,,,1998,1511,2623,30359,21800,40335,47672,32114,66270,0.928709538212
42,2020-04-05,13.0,64.0,,,,,,,1975,1509,2587,30496,22022,40435,49646,33624,68857,0.922430611478
43,2020-04-06,8.0,72.0,,,,,,,1950,1508,2536,30540,22202,40365,51596,35133,71392,0.917254401956
44,2020-04-07,20.0,92.0,,,,,,,1925,1495,2484,30500,22325,40205,53521,36629,73875,0.9129828969239999
45,2020-04-08,15.0,107.0,,,,,,,1898,1467,2443,30387,22394,39970,55419,38096,76318,0.9094541623919999
46,2020-04-09,16.0,123.0,,,,,,,1872,1441,2397,30214,22417,39642,57291,39538,78714,0.906535532432
47,2020-04-10,10.0,133.0,,,,,,,1845,1423,2353,29991,22388,39258,59136,40961,81066,0.904118161566
48,2020-04-11,12.0,145.0,,,,,,,1818,1396,2303,29727,22305,38811,60955,42358,83369,0.902112662542
49,2020-04-12,12.0,157.0,,,,,,,1792,1392,2257,29430,22194,38304,62746,43750,85625,0.900445590972
50,2020-04-13,10.0,167.0,,,,,,,1765,1364,2218,29107,22055,37772,64511,45115,87842,0.8990565921089999
51,2020-04-14,18.0,185.0,,,,,,,1738,1349,2186,28763,21899,37220,66249,46465,90028,0.897896071421
52,2020-04-15,17.0,202.0,,,,,,,1711,1317,2160,28403,21708,36641,67960,47783,92187,0.8969232851090001
53,2020-04-16,14.0,216.0,,,,,,,1685,1294,2120,28031,21494,36032,69646,49078,94307,0.8961047707709999
54,2020-04-17,13.0,229.0,,,,,,,1659,1270,2070,27651,21256,35396,71305,50349,96376,0.895413055458
55,2020-04-18,7.0,236.0,,,,,,,1633,1241,2055,27264,20986,34783,72938,51590,98431,0.894825591135
56,2020-04-19,6.0,242.0,,,,,,,1608,1210,2020,26874,20686,34180,74546,52801,100450,0.894323877362
57,2020-04-20,21.0,263.0,,,,,,,1582,1185,1993,26482,20362,33586,76128,53987,102442,0.8938927386229999
58,2020-04-21,18.0,281.0,,,,,,,1558,1164,1958,26090,20018,33008,77686,55152,104400,0.8935197294600001
