,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-25,,,,,,,,,217,100,300,217,100,300,217,100,300,1.5348001305899999
1,2020-02-26,,,,,,,,,217,100,300,434,200,600,434,200,600,1.53448287533
2,2020-02-27,,,,,,,,,217,100,300,651,300,900,651,300,900,1.53441266754
3,2020-02-28,,,,,,,,,217,100,300,868,400,1200,868,400,1200,1.53432693188
4,2020-02-29,,,,,,,,,217,100,300,1085,500,1500,1085,500,1500,1.53422223839
5,2020-03-01,,,,,,,,,217,100,300,1302,600,1800,1302,600,1800,1.53409440153
6,2020-03-02,,,,,,,,,217,100,300,1519,700,2100,1519,700,2100,1.53393831479
7,2020-03-03,,,,,,,,,217,100,300,1736,800,2400,1736,800,2400,1.53374774939
8,2020-03-04,,,,,,,,,217,100,300,1953,900,2700,1953,900,2700,1.5335151098500002
9,2020-03-05,,,,,,,,,538,259,720,2491,1159,3420,2491,1159,3420,1.53312116391
10,2020-03-06,,,,,,,,,536,258,717,3027,1418,4137,3027,1418,4137,1.53276085429
11,2020-03-07,,,,,,,,,557,270,743,3584,1689,4880,3584,1689,4880,1.5323036429299999
12,2020-03-08,,,,,,,,,603,294,798,4187,1983,5678,4187,1983,5678,1.53175352775
13,2020-03-09,,,,,,,,,697,345,914,4884,2329,6591,4884,2329,6591,1.53108861174
14,2020-03-10,,,,,,,,,845,424,1094,5729,2754,7685,5729,2754,7685,1.53028262244
15,2020-03-11,,,,,,,,,957,485,1230,6469,3139,8614,6686,3239,8914,1.5293023195700002
16,2020-03-12,,,,,,,,,1050,537,1339,7303,3576,9653,7737,3776,10253,1.52810783228
17,2020-03-13,,,,,,,,,1157,597,1462,8243,4074,10815,8894,4374,11715,1.52665714027
18,2020-03-14,,,,,,,,,1281,669,1617,9307,4643,12131,10175,5043,13331,1.52489781597
19,2020-03-15,,,,,,,,,1437,758,1861,10527,5302,13691,11612,5802,15191,1.5227639099
20,2020-03-16,,,,,,,,,1599,853,2117,11909,6055,15508,13211,6655,17308,1.52017540232
21,2020-03-17,,,,,,,,,1761,949,2378,13453,6905,17585,14972,7605,19685,1.51703464605
22,2020-03-18,,,,,,,,,1933,1053,2659,15169,7858,19944,16905,8658,22344,1.51322512766
23,2020-03-19,,,,,,,,,2119,1168,2968,17071,8926,22611,19024,9826,25311,1.5086055895100001
24,2020-03-20,3.0,3.0,,,,,,,2326,1297,3310,18859,9964,25201,21350,11124,28621,1.5030034797
25,2020-03-21,0.0,3.0,,,,,,,2548,1439,3673,20871,11145,28157,23898,12563,32293,1.49620824211
26,2020-03-22,0.0,3.0,,,,,,,2781,1591,4047,23095,12465,31461,26679,14154,36340,1.4879641589800001
27,2020-03-23,3.0,6.0,,,,,,,3024,1754,4430,25516,13924,35092,29703,15908,40770,1.47796497396
28,2020-03-24,2.0,8.0,,,,,,,3278,1930,4821,28096,15509,38999,32980,17839,45590,1.46585334367
29,2020-03-25,3.0,11.0,,,,,,,3543,2121,5130,30794,17207,43036,36523,19961,50720,1.4512330422
30,2020-03-26,4.0,15.0,,,,,,,3814,2327,5522,33651,19049,47328,40337,22289,56241,1.4337048646000001
31,2020-03-27,4.0,19.0,,,,,,,4086,2547,5812,36687,21059,51801,44423,24836,62053,1.4129341545700003
32,2020-03-28,6.0,25.0,,,,,,,4353,2775,6077,39883,23238,56415,48776,27612,68129,1.3887452888499998
33,2020-03-29,4.0,29.0,,,,,,,4609,2966,6325,43211,25535,61123,53386,30578,74453,1.3612162795700002
34,2020-03-30,11.0,40.0,,,,,,,4851,3163,6766,46624,27940,66028,58236,33742,81219,1.3307317618
35,2020-03-31,15.0,55.0,,,,,,,5073,3358,7168,50099,30446,71079,63310,37101,88386,1.29796313941
36,2020-04-01,10.0,65.0,,,,,,,5273,3508,7280,53610,33005,75980,68582,40610,95665,1.2637773212799999
37,2020-04-02,16.0,81.0,,,,,,,5447,3647,7496,57125,35599,80817,74030,44257,103161,1.22910666393
38,2020-04-03,10.0,91.0,,,,,,,5595,3782,7787,60601,38213,85637,79625,48040,110948,1.1948248527
39,2020-04-04,11.0,102.0,,,,,,,5717,3907,7980,63992,40823,90307,85342,51948,118927,1.16166562309
40,2020-04-05,17.0,119.0,,,,,,,5813,4021,8161,67257,43405,94795,91155,55969,127087,1.1301998438299998
41,2020-04-06,23.0,142.0,,,,,,,5884,4114,8270,70360,45928,99018,97039,60083,135357,1.10085966577
42,2020-04-07,25.0,167.0,,,,,,,5932,4125,8205,73269,48299,102793,102971,64208,143562,1.07397763021
43,2020-04-08,26.0,193.0,,,,,,,5960,4096,8216,75951,50465,106187,108931,68305,151777,1.04980652297
44,2020-04-09,20.0,213.0,,,,,,,5969,4068,8173,78377,52412,109231,114900,72373,159950,1.0285055835899999
45,2020-04-10,18.0,231.0,,,,,,,5964,4104,8165,80527,54189,111874,120864,76478,168114,1.0101083388
46,2020-04-11,16.0,247.0,,,,,,,5946,4146,8186,82386,55788,114247,126810,80625,176300,0.994504631179
47,2020-04-12,6.0,253.0,,,,,,,5918,4180,8138,83951,57193,116309,132728,84806,184438,0.981458639402
48,2020-04-13,21.0,274.0,,,,,,,5882,4193,8090,85224,58420,118074,138609,88999,192527,0.9706566338770001
49,2020-04-14,50.0,324.0,,,,,,,5839,4208,7994,86211,59465,119302,144448,93208,200520,0.9617607912970001
50,2020-04-15,38.0,362.0,,,,,,,5790,4191,7841,86928,60298,119975,150238,97400,208361,0.9544496807889999
51,2020-04-16,45.0,407.0,,,,,,,5737,4142,7762,87393,60932,120457,155975,101542,216122,0.948439781574
52,2020-04-17,11.0,418.0,,,,,,,5681,4096,7639,87626,61382,120600,161656,105639,223761,0.9434919810340001
53,2020-04-18,33.0,451.0,,,,,,,5622,4047,7514,87653,61647,120327,167278,109687,231275,0.9394094884630001
54,2020-04-19,20.0,471.0,,,,,,,5561,4029,7387,87497,61768,119735,172839,113716,238661,0.936032191621
55,2020-04-20,38.0,509.0,,,,,,,5498,4009,7259,87182,61756,118833,178337,117726,245920,0.9332303192929999
56,2020-04-21,48.0,557.0,,,,,,,5435,3957,7133,86732,61600,117696,183771,121683,253053,0.930898674544
57,2020-04-22,53.0,610.0,,,,,,,5370,3909,6993,86170,61383,116484,189141,125592,260045,0.928951820729
58,2020-04-23,46.0,656.0,,,,,,,5305,3859,6854,85515,61146,115122,194446,129452,266899,0.9273202095209999
59,2020-04-24,34.0,690.0,,,,,,,5240,3800,6711,84786,60878,113660,199686,133252,273610,0.925947107131
60,2020-04-25,21.0,711.0,,,,,,,5174,3778,6580,83996,60552,112075,204860,137030,280189,0.924786156127
61,2020-04-26,17.0,728.0,,,,,,,5109,3760,6521,83159,60165,110410,209969,140791,286710,0.923799432087
62,2020-04-27,25.0,753.0,,,,,,,5043,3708,6468,82285,59693,108740,215012,144499,293177,0.922955884434
63,2020-04-28,46.0,799.0,,,,,,,4978,3633,6317,81381,59133,106968,219991,148133,299494,0.922230077681
64,2020-04-29,138.0,937.0,,,,,,,4914,3593,6202,80457,58518,105176,224904,151727,305695,0.9216011700040001
65,2020-04-30,39.0,976.0,,,,,,,4849,3519,6110,79516,57846,103445,229754,155247,311805,0.921052081213
66,2020-05-01,27.0,1003.0,,,,,,,4785,3472,6040,78564,57176,101723,234539,158719,317844,0.920568813135
67,2020-05-02,19.0,1022.0,,,,,,,4722,3385,5952,77604,56464,100035,239260,162104,323796,0.920139893466
68,2020-05-03,17.0,1039.0,,,,,,,4658,3311,5850,76641,55729,98371,243919,165416,329645,0.919755920143
69,2020-05-04,18.0,1057.0,,,,,,,4596,3258,5793,75676,54958,96777,248514,168675,335438,0.919409187876
