,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-20,,,,,,,,,30,10,40,30,10,40,30,10,40,1.7162280701800001
1,2020-02-21,,,,,,,,,30,10,40,60,20,80,60,20,80,1.7138380793799999
2,2020-02-22,,,,,,,,,30,10,40,89,30,120,89,30,120,1.7133086040799999
3,2020-02-23,,,,,,,,,30,10,40,119,40,160,119,40,160,1.71266170409
4,2020-02-24,,,,,,,,,30,10,40,149,50,200,149,50,200,1.71187125451
5,2020-02-25,,,,,,,,,30,10,40,179,60,240,179,60,240,1.71090526113
6,2020-02-26,,,,,,,,,30,10,40,209,70,280,209,70,280,1.70972450226
7,2020-02-27,,,,,,,,,30,10,40,238,80,320,238,80,320,1.70828082926
8,2020-02-28,,,,,,,,,30,10,40,268,90,360,268,90,360,1.70651502354
9,2020-02-29,,,,,,,,,79,29,112,347,119,472,347,119,472,1.70430775213
10,2020-03-01,,,,,,,,,78,29,112,425,149,584,425,149,584,1.70165562586
11,2020-03-02,,,,,,,,,82,31,118,507,181,702,507,181,702,1.69839621623
12,2020-03-03,,,,,,,,,90,35,130,597,216,831,597,216,831,1.6943993936500001
13,2020-03-04,,,,,,,,,106,43,156,702,259,987,702,259,987,1.6894888894600002
14,2020-03-05,,,,,,,,,130,55,196,832,314,1183,832,314,1183,1.6834430369600002
15,2020-03-06,,,,,,,,,149,64,228,952,369,1371,982,379,1411,1.67598172863
16,2020-03-07,,,,,,,,,165,73,256,1087,433,1586,1147,453,1666,1.6667536317899998
17,2020-03-08,,,,,,,,,184,84,289,1241,507,1835,1331,537,1955,1.65532715461
18,2020-03-09,,,,,,,,,206,97,328,1417,594,2122,1537,634,2282,1.6411832279799998
19,2020-03-10,,,,,,,,,232,113,370,1620,698,2451,1769,748,2651,1.6237315204700002
20,2020-03-11,,,,,,,,,259,130,416,1849,819,2826,2028,879,3066,1.6023643116600002
21,2020-03-12,,,,,,,,,285,148,466,2105,957,3252,2313,1027,3532,1.5765555491699998
22,2020-03-13,,,,,,,,,311,168,521,2386,1116,3732,2624,1196,4052,1.54599546125
23,2020-03-14,,,,,,,,,337,189,573,2692,1295,4264,2960,1385,4624,1.51071115891
24,2020-03-15,1.0,1.0,,,,,,,363,213,611,2976,1479,4763,3323,1599,5235,1.47111451111
25,2020-03-16,0.0,1.0,,,,,,,388,229,628,3286,1679,5279,3711,1829,5862,1.42794974472
26,2020-03-17,0.0,1.0,,,,,,,411,245,634,3615,1893,5794,4122,2074,6495,1.38217341562
27,2020-03-18,2.0,3.0,,,,,,,431,261,658,3956,2119,6322,4552,2336,7153,1.33483168486
28,2020-03-19,0.0,3.0,,,,,,,448,284,677,4298,2361,6843,5001,2620,7830,1.28698024361
29,2020-03-20,0.0,3.0,,,,,,,464,294,693,4632,2600,7340,5464,2914,8523,1.23965243141
30,2020-03-21,1.0,4.0,,,,,,,476,305,699,4959,2841,7811,5940,3220,9221,1.19385184904
31,2020-03-22,1.0,5.0,,,,,,,486,317,695,5279,3085,8250,6426,3538,9916,1.1505377896100002
