,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-23,,,,,,,,,207,100,300,207,100,300,207,100,300,1.7992921729599998
1,2020-02-24,,,,,,,,,207,100,300,414,200,600,414,200,600,1.79897756018
2,2020-02-25,,,,,,,,,207,100,300,621,300,900,621,300,900,1.7989079243400001
3,2020-02-26,,,,,,,,,207,100,300,828,400,1200,828,400,1200,1.7988228808500002
4,2020-02-27,,,,,,,,,207,100,300,1035,500,1500,1035,500,1500,1.7987190232799999
5,2020-02-28,,,,,,,,,207,100,300,1242,600,1800,1242,600,1800,1.7985921933400002
6,2020-02-29,,,,,,,,,207,100,300,1449,700,2100,1449,700,2100,1.79843731558
7,2020-03-01,,,,,,,,,207,100,300,1656,800,2400,1656,800,2400,1.7982481959799999
8,2020-03-02,,,,,,,,,207,100,300,1863,900,2700,1863,900,2700,1.7980172767500002
9,2020-03-03,,,,,,,,,566,279,840,2429,1179,3540,2429,1179,3540,1.7976231633099997
10,2020-03-04,,,,,,,,,564,278,837,2992,1458,4377,2992,1458,4377,1.7972649607599998
11,2020-03-05,,,,,,,,,593,293,882,3585,1752,5259,3585,1752,5259,1.7968062040200001
12,2020-03-06,,,,,,,,,653,325,976,4238,2077,6234,4238,2077,6234,1.7962549477599998
13,2020-03-07,,,,,,,,,779,389,1170,5016,2467,7404,5016,2467,7404,1.7955886613999998
14,2020-03-08,,,,,,,,,974,490,1474,5991,2958,8878,5991,2958,8878,1.7947804015200002
15,2020-03-09,,,,,,,,,1128,570,1714,6912,3428,10291,7119,3528,10591,1.7937954925
16,2020-03-10,,,,,,,,,1264,641,1926,7969,3969,11917,8383,4169,12517,1.79259238828
17,2020-03-11,,,,,,,,,1427,726,2184,9189,4596,13800,9810,4896,14700,1.79112938366
18,2020-03-12,,,,,,,,,1625,830,2498,10607,5326,15997,11435,5726,17197,1.7893535353599999
19,2020-03-13,,,,,,,,,1875,962,2895,12275,6189,18592,13310,6689,20092,1.7871971071400001
20,2020-03-14,,,,,,,,,2143,1104,3323,14212,7194,21615,15454,7794,23415,1.7845777523099997
21,2020-03-15,,,,,,,,,2425,1254,3775,16430,8348,25089,17879,9048,27189,1.7813948585599997
22,2020-03-16,,,,,,,,,2736,1419,4275,18959,9668,29063,20614,10468,31463,1.77752945958
23,2020-03-17,,,,,,,,,3089,1609,4846,21840,11177,33609,23703,12077,36309,1.77283753774
24,2020-03-18,1.0,1.0,,,,,,,3493,1827,5501,24767,12725,38270,27196,13905,41809,1.7671429592400003
25,2020-03-19,0.0,1.0,,,,,,,3943,2072,6232,28147,14518,43664,31139,15977,48041,1.7602305443900002
26,2020-03-20,0.0,1.0,,,,,,,4434,2341,7028,31988,16566,49810,35573,18319,55068,1.75183764551
27,2020-03-21,1.0,2.0,,,,,,,4971,2640,7895,36305,18882,56728,40543,20960,62962,1.7416449491599997
28,2020-03-22,2.0,4.0,,,,,,,5560,2973,8833,41087,21466,64391,46103,23934,71795,1.7292656229900003
29,2020-03-23,2.0,6.0,,,,,,,6205,3346,9985,46318,24322,72902,52308,27280,81779,1.71423670225
30,2020-03-24,2.0,8.0,,,,,,,6901,3759,11243,52090,27511,82431,59209,31040,93022,1.69602073509
31,2020-03-25,7.0,15.0,,,,,,,7639,4213,12519,58465,31084,93024,66848,35253,105540,1.6740294392
32,2020-03-26,3.0,18.0,,,,,,,8408,4711,13745,65446,35068,104586,75256,39965,119285,1.6476844429
33,2020-03-27,4.0,22.0,,,,,,,9197,5238,14844,73018,39476,116932,84453,45203,134128,1.6165228732299999
34,2020-03-28,12.0,34.0,,,,,,,9989,5651,15740,81133,44164,129776,94443,50854,149867,1.58033205284
35,2020-03-29,7.0,41.0,,,,,,,10766,6092,16382,89755,49152,142835,105209,56946,166249,1.5392639689399998
36,2020-03-30,9.0,50.0,,,,,,,11506,6511,17359,98836,54410,156420,116715,63458,183608,1.49386921213
37,2020-03-31,13.0,63.0,,,,,,,12191,6930,18344,108291,59921,170488,128906,70389,201951,1.4450304989200002
38,2020-04-01,11.0,74.0,,,,,,,12807,7310,18594,118010,65622,184236,141713,77700,220544,1.3938378808399998
39,2020-04-02,16.0,90.0,,,,,,,13342,7569,19187,127859,71364,197922,155055,85269,239731,1.3414679006499999
40,2020-04-03,12.0,102.0,,,,,,,13786,7932,19696,137702,77224,211387,168841,93202,259427,1.28909701175
41,2020-04-04,34.0,136.0,,,,,,,14133,8220,20263,147401,83103,224622,182974,101422,279689,1.2378441763099999
42,2020-04-05,15.0,151.0,,,,,,,14382,8409,20520,156812,88872,237247,197355,109832,300209,1.1887296148100002
43,2020-04-06,28.0,179.0,,,,,,,14533,8587,20967,165785,94485,249382,211889,118420,321176,1.14264257737
44,2020-04-07,68.0,247.0,,,,,,,14595,8567,21294,174176,99707,260691,226484,126988,342470,1.10031223689
45,2020-04-08,71.0,318.0,,,,,,,14577,8585,21268,181852,104533,270716,241062,135573,363737,1.06227412756
46,2020-04-09,27.0,345.0,,,,,,,14490,8568,21283,188704,108887,279480,255552,144141,385020,1.02883124387
47,2020-04-10,73.0,418.0,,,,,,,14347,8543,21335,194643,112720,287070,269899,152685,406355,1.00002566294
48,2020-04-11,85.0,503.0,,,,,,,14158,8496,20804,199604,115979,293030,284057,161182,427158,0.975646810572
49,2020-04-12,54.0,557.0,,,,,,,13933,8378,20240,203548,118706,297530,297991,169561,447397,0.955288134527
50,2020-04-13,32.0,589.0,,,,,,,13681,8243,19823,206463,120857,300971,311671,177804,467220,0.938434290863
51,2020-04-14,102.0,691.0,,,,,,,13407,8141,19412,208364,122487,303024,325079,185946,486632,0.9245457480589999
52,2020-04-15,88.0,779.0,,,,,,,13118,8024,18897,209291,123580,303578,338196,193970,505528,0.913117681264
53,2020-04-16,62.0,841.0,,,,,,,12818,7940,18382,209301,124210,303366,351014,201910,523910,0.9037090882109999
54,2020-04-17,80.0,921.0,,,,,,,12511,7877,17866,208470,124518,302045,363525,209788,541775,0.8959499403229999
55,2020-04-18,121.0,1042.0,,,,,,,12200,7797,17328,206885,124383,299676,375726,217585,559102,0.8895363771979999
56,2020-04-19,234.0,1276.0,,,,,,,11889,7705,16629,204640,123867,296042,387614,225290,575731,0.8842212802480001
57,2020-04-20,72.0,1348.0,,,,,,,11578,7595,16038,201837,123054,291560,399192,232886,591768,0.8798042425210001
58,2020-04-21,266.0,1614.0,,,,,,,11269,7513,15636,198573,121979,286229,410462,240399,607404,0.8761226291959999
59,2020-04-22,59.0,1673.0,,,,,,,10965,7407,15065,194942,120818,280000,421427,247806,622469,0.873044183134
60,2020-04-23,51.0,1724.0,,,,,,,10665,7258,14584,191030,119492,273316,432092,255065,637053,0.8704610984669999
61,2020-04-24,23.0,1747.0,,,,,,,10371,7161,14080,186910,118085,266112,442462,262227,651132,0.868285318397
62,2020-04-25,46.0,1793.0,,,,,,,10082,6987,13596,182645,116529,258373,452544,269215,664727,0.866444801491
63,2020-04-26,23.0,1816.0,,,,,,,9800,6780,13209,178287,114813,250778,462344,275995,677936,0.864880540462
64,2020-04-27,70.0,1886.0,,,,,,,9525,6582,12857,173878,113017,243396,471869,282578,690792,0.8635441654289999
65,2020-04-28,160.0,2046.0,,,,,,,9256,6449,12412,169454,111224,235985,481125,289028,703204,0.8623960049770001
66,2020-04-29,327.0,2373.0,,,,,,,8994,6312,11859,165041,109394,228432,490119,295340,715063,0.861403509869
67,2020-04-30,102.0,2475.0,,,,,,,8739,6139,11396,160662,107509,220931,498858,301479,726459,0.8605399670730001
68,2020-05-01,160.0,2635.0,,,,,,,8491,5890,11070,156335,105459,213619,507349,307370,737529,0.8597834481319999
69,2020-05-02,60.0,2695.0,,,,,,,8249,5749,10760,152073,103331,206513,515598,313120,748288,0.859013827518
70,2020-05-03,25.0,2720.0,,,,,,,8013,5564,10378,147886,101098,199564,523611,318684,758666,0.858355155325
71,2020-05-04,118.0,2838.0,,,,,,,7785,5366,10089,143781,98759,193024,531396,324050,768754,0.8577703514589999
72,2020-05-05,341.0,3179.0,,,,,,,7562,5162,9937,139766,96326,186923,538958,329213,778691,0.857276546316
73,2020-05-06,166.0,3345.0,,,,,,,7347,4971,9806,135844,93785,181092,546305,334185,788496,0.856876807378
74,2020-05-07,244.0,3589.0,,,,,,,7138,4790,9675,132017,91168,175702,553443,338975,798170,0.856579371892
75,2020-05-08,126.0,3715.0,,,,,,,6936,4584,9454,128287,88494,170572,560379,343560,807624,0.856432547658
76,2020-05-09,64.0,3779.0,,,,,,,6740,4437,9125,124656,85770,165617,567119,347998,816748,0.856317131131
77,2020-05-10,27.0,3806.0,,,,,,,6549,4259,8861,121123,83042,160882,573668,352258,825609,0.85623817926
78,2020-05-11,26.0,3832.0,,,,,,,6364,4065,8648,117688,80327,156321,580032,356323,834256,0.8562019188
79,2020-05-12,82.0,3914.0,,,,,,,6185,3913,8483,114349,77658,151947,586218,360236,842738,0.856215937192
80,2020-05-13,180.0,4094.0,,,,,,,6012,3735,8239,111105,74944,147773,592230,363972,850976,0.8562894565510001
81,2020-05-14,194.0,4288.0,,,,,,,5845,3539,8100,107955,72171,144014,598074,367512,859076,0.856433656177
82,2020-05-15,134.0,4422.0,,,,,,,5682,3384,7983,104898,69417,140600,603757,370897,867058,0.856662045237
83,2020-05-16,58.0,4480.0,,,,,,,5525,3235,7841,101933,66761,137371,609282,374132,874899,0.856990893646
84,2020-05-17,15.0,4495.0,,,,,,,5374,3079,7700,99058,64091,134311,614656,377211,882599,0.8574397103899999
85,2020-05-18,20.0,4515.0,,,,,,,5228,2921,7569,96273,61448,131502,619884,380132,890167,0.8580317694140001
86,2020-05-19,113.0,4628.0,,,,,,,5087,2809,7459,93575,58891,128872,624971,382942,897625,0.8587946711660001
