,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-16,,,,,,,,,18,10,40,18,10,40,18,10,40,1.15789473684
1,2020-02-17,,,,,,,,,18,10,40,36,20,80,36,20,80,1.15781602565
2,2020-02-18,,,,,,,,,18,10,40,54,30,120,54,30,120,1.1577983437000001
3,2020-02-19,,,,,,,,,18,10,40,72,40,160,72,40,160,1.15777666105
4,2020-02-20,,,,,,,,,18,10,40,90,50,200,90,50,200,1.15775006356
5,2020-02-21,,,,,,,,,18,10,40,108,60,240,108,60,240,1.15771742555
6,2020-02-22,,,,,,,,,18,10,40,126,70,280,126,70,280,1.15767736024
7,2020-02-23,,,,,,,,,18,10,40,144,80,320,144,80,320,1.15762815831
8,2020-02-24,,,,,,,,,18,10,40,162,90,360,162,90,360,1.15756771201
9,2020-02-25,,,,,,,,,38,19,80,200,109,440,200,109,440,1.1574044389
10,2020-02-26,,,,,,,,,37,19,80,237,129,520,237,129,520,1.15730197799
11,2020-02-27,,,,,,,,,38,20,82,275,150,601,275,150,601,1.15716610729
12,2020-02-28,,,,,,,,,40,21,85,316,171,686,316,171,686,1.15700446458
13,2020-02-29,,,,,,,,,45,23,93,360,194,778,360,194,778,1.15681031355
14,2020-03-01,,,,,,,,,51,26,105,411,220,882,411,220,882,1.15657551514
15,2020-03-02,,,,,,,,,56,28,113,449,238,955,467,248,995,1.15628945795
16,2020-03-03,,,,,,,,,59,29,119,491,258,1033,527,278,1113,1.15593933832
17,2020-03-04,,,,,,,,,63,31,125,536,279,1117,590,309,1237,1.15551238189
18,2020-03-05,,,,,,,,,67,32,131,585,301,1208,657,341,1368,1.15499230454
19,2020-03-06,,,,,,,,,72,34,139,639,326,1306,729,376,1506,1.15435809659
20,2020-03-07,,,,,,,,,77,36,146,698,353,1412,806,413,1652,1.1535841006
21,2020-03-08,,,,,,,,,82,38,153,762,381,1524,888,451,1804,1.1526388238299998
22,2020-03-09,,,,,,,,,86,39,159,830,411,1643,974,491,1963,1.15148511044
23,2020-03-10,,,,,,,,,91,41,165,904,442,1768,1065,532,2128,1.15007887088
24,2020-03-11,1.0,1.0,,,,,,,96,42,172,962,465,1859,1161,575,2299,1.14836810614
25,2020-03-12,0.0,1.0,,,,,,,101,44,178,1025,490,1957,1262,620,2477,1.1462926581
26,2020-03-13,0.0,1.0,,,,,,,106,46,184,1093,516,2060,1369,666,2661,1.1437847568700001
27,2020-03-14,0.0,1.0,,,,,,,111,47,190,1164,542,2165,1480,714,2851,1.14077101696
28,2020-03-15,0.0,1.0,,,,,,,116,49,196,1236,569,2269,1596,763,3046,1.1371760364899999
29,2020-03-16,0.0,1.0,,,,,,,122,50,202,1307,594,2366,1718,814,3248,1.13292808937
30,2020-03-17,0.0,1.0,,,,,,,127,52,208,1378,618,2461,1845,866,3455,1.1279670960600001
31,2020-03-18,0.0,1.0,,,,,,,132,53,214,1450,642,2556,1977,920,3668,1.12225405028
32,2020-03-19,0.0,1.0,,,,,,,137,55,219,1524,667,2650,2114,976,3887,1.1157802078799999
33,2020-03-20,0.0,1.0,,,,,,,142,57,224,1598,691,2743,2255,1033,4111,1.10857365611
34,2020-03-21,0.0,1.0,,,,,,,146,58,230,1673,715,2834,2402,1091,4340,1.10070132609
35,2020-03-22,0.0,1.0,,,,,,,151,60,235,1746,739,2923,2553,1152,4575,1.0922659696299999
36,2020-03-23,0.0,1.0,,,,,,,155,61,241,1820,762,3011,2708,1213,4815,1.0833992776299999
37,2020-03-24,0.0,1.0,,,,,,,159,63,246,1893,786,3098,2867,1277,5060,1.0742532353799998
38,2020-03-25,0.0,1.0,,,,,,,163,64,250,1964,809,3182,3030,1342,5310,1.0649915187299999
