,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-17,,,,,,,,,214,100,300,214,100,300,214,100,300,1.28934715445
1,2020-02-18,,,,,,,,,214,100,300,429,200,600,429,200,600,1.28930160855
2,2020-02-19,,,,,,,,,214,100,300,643,300,900,643,300,900,1.2892915251000001
3,2020-02-20,,,,,,,,,214,100,300,858,400,1200,858,400,1200,1.28927920942
4,2020-02-21,,,,,,,,,214,100,300,1072,500,1500,1072,500,1500,1.2892641674
5,2020-02-22,,,,,,,,,214,100,300,1287,600,1800,1287,600,1800,1.2892457956299999
6,2020-02-23,,,,,,,,,214,100,300,1501,700,2100,1501,700,2100,1.28922335717
7,2020-02-24,,,,,,,,,214,100,300,1716,800,2400,1716,800,2400,1.28919595207
8,2020-02-25,,,,,,,,,214,100,300,1930,900,2700,1930,900,2700,1.28916248134
9,2020-02-26,,,,,,,,,482,239,660,2412,1139,3360,2412,1139,3360,1.28893602828
10,2020-02-27,,,,,,,,,479,238,657,2891,1378,4017,2891,1378,4017,1.28886291176
11,2020-02-28,,,,,,,,,494,247,675,3384,1626,4692,3384,1626,4692,1.28874958501
12,2020-02-29,,,,,,,,,525,265,715,3909,1892,5406,3909,1892,5406,1.28862302992
13,2020-03-01,,,,,,,,,590,304,799,4499,2196,6205,4499,2196,6205,1.28847841575
14,2020-03-02,,,,,,,,,692,364,929,5191,2560,7133,5191,2560,7133,1.28831027043
15,2020-03-03,,,,,,,,,767,409,1025,5743,2870,7857,5958,2970,8157,1.28811036736
16,2020-03-04,,,,,,,,,826,445,1098,6355,3216,8654,6783,3416,9254,1.2878693006200002
17,2020-03-05,,,,,,,,,890,486,1176,7030,3603,9529,7673,3903,10429,1.28758331153
18,2020-03-06,,,,,,,,,961,533,1261,7776,4036,10490,8634,4436,11690,1.28724618342
19,2020-03-07,,,,,,,,,1049,591,1366,8610,4528,11556,9682,5028,13056,1.28684748799
20,2020-03-08,,,,,,,,,1139,652,1473,9534,5080,12728,10821,5680,14528,1.2863743967
21,2020-03-09,,,,,,,,,1226,711,1575,10546,5692,14002,12047,6392,16102,1.2858103552700002
22,2020-03-10,,,,,,,,,1314,773,1676,11645,6365,15377,13360,7165,17777,1.2851373374200001
23,2020-03-11,,,,,,,,,1406,839,1780,12837,7104,16857,14767,8004,19557,1.28433388202
24,2020-03-12,1.0,1.0,,,,,,,1507,912,1892,13862,7777,18089,16274,8917,21449,1.2833733149700002
25,2020-03-13,1.0,2.0,,,,,,,1614,991,2010,14996,8529,19442,17887,9908,23458,1.28222266738
26,2020-03-14,0.0,2.0,,,,,,,1723,1073,2162,16226,9355,20928,19610,10981,25620,1.28084140082
27,2020-03-15,0.0,2.0,,,,,,,1836,1159,2338,17537,10248,22551,21447,12141,27957,1.27918035051
28,2020-03-16,0.0,2.0,,,,,,,1953,1249,2525,18901,11194,24277,23400,13390,30481,1.27717964139
29,2020-03-17,1.0,3.0,,,,,,,2076,1346,2724,20285,12175,26072,25476,14736,33205,1.27476566486
30,2020-03-18,0.0,3.0,,,,,,,2204,1448,2934,21722,13214,27982,27680,16184,36138,1.2718475247299998
31,2020-03-19,2.0,5.0,,,,,,,2337,1554,3155,23234,14323,30039,30017,17739,39293,1.26831271236
32,2020-03-20,0.0,5.0,,,,,,,2473,1644,3383,24817,15481,32246,32490,19384,42675,1.26402214627
33,2020-03-21,1.0,6.0,,,,,,,2612,1689,3615,26468,16638,34600,35102,21074,46289,1.25880481459
34,2020-03-22,1.0,7.0,,,,,,,2753,1731,3848,28172,17777,37082,37855,22805,50137,1.25245349145
35,2020-03-23,0.0,7.0,,,,,,,2896,1771,4075,29929,18896,39684,40751,24577,54211,1.24472501851
36,2020-03-24,4.0,11.0,,,,,,,3037,1810,4314,31741,19995,42422,43788,26387,58524,1.2353510026999999
37,2020-03-25,9.0,20.0,,,,,,,3176,1848,4570,33603,21070,45317,46963,28235,63094,1.22406623827
38,2020-03-26,-1.0,19.0,,,,,,,3308,1885,4856,35505,22116,48393,50271,30121,67949,1.21065888867
39,2020-03-27,12.0,31.0,,,,,,,3431,1920,5094,37429,23124,51595,53703,32041,73043,1.19503478509
40,2020-03-28,13.0,44.0,,,,,,,3544,1954,5263,39359,24087,54848,57247,33996,78306,1.1772713286499998
41,2020-03-29,3.0,47.0,,,,,,,3643,1986,5389,41279,25000,58075,60890,35982,83694,1.15762999164
42,2020-03-30,4.0,51.0,,,,,,,3728,2015,5529,43171,25857,61266,64617,37998,89223,1.13651504263
43,2020-03-31,18.0,69.0,,,,,,,3797,2042,5563,45014,26650,64305,68414,40040,94786,1.11439885332
44,2020-04-01,10.0,79.0,,,,,,,3849,2066,5626,46787,27370,67207,72263,42107,100411,1.09175132341
45,2020-04-02,18.0,97.0,,,,,,,3886,2089,5680,48469,28011,69953,76149,44196,106091,1.06900097934
46,2020-04-03,14.0,111.0,,,,,,,3907,2105,5676,50039,28562,72474,80056,46302,111766,1.04653253922
47,2020-04-04,15.0,126.0,,,,,,,3912,2118,5672,51478,29036,74763,83968,48421,117437,1.02470715945
48,2020-04-05,14.0,140.0,,,,,,,3903,2136,5624,52769,29483,76772,87871,50558,123061,1.0038835271700002
49,2020-04-06,10.0,150.0,,,,,,,3880,2153,5537,53896,29905,78461,91751,52711,128598,0.984419841495
50,2020-04-07,29.0,179.0,,,,,,,3846,2164,5423,54847,30298,79809,95598,54875,134020,0.9666469760619999
51,2020-04-08,14.0,193.0,,,,,,,3803,2175,5299,55613,30663,80795,99401,57050,139319,0.950819480899
52,2020-04-09,33.0,226.0,,,,,,,3753,2168,5201,56191,30983,81426,103154,59219,144519,0.937067084076
53,2020-04-10,24.0,250.0,,,,,,,3698,2171,5100,56580,31269,81669,106852,61390,149618,0.9253736415870001
54,2020-04-11,24.0,274.0,,,,,,,3638,2176,4990,56787,31525,81565,110490,63567,154608,0.915595698318
55,2020-04-12,15.0,289.0,,,,,,,3575,2180,4877,56819,31751,81179,114065,65747,159484,0.9075090603910001
56,2020-04-13,17.0,306.0,,,,,,,3511,2183,4759,56687,31948,80549,117576,67931,164243,0.900859738543
57,2020-04-14,21.0,327.0,,,,,,,3445,2170,4636,56404,32103,79656,121021,70102,168879,0.895401778626
58,2020-04-15,27.0,354.0,,,,,,,3378,2165,4529,55986,32226,78622,124399,72267,173407,0.89091744691
59,2020-04-16,18.0,372.0,,,,,,,3311,2154,4440,55448,32314,77436,127711,74421,177846,0.887223701313
60,2020-04-17,17.0,389.0,,,,,,,3245,2108,4318,54806,32334,76074,130955,76530,182164,0.884170887191
61,2020-04-18,22.0,411.0,,,,,,,3178,2096,4235,54077,32324,74633,134134,78627,186399,0.8816382113240001
62,2020-04-19,9.0,420.0,,,,,,,3112,2066,4170,53278,32272,73131,137246,80693,190568,0.8795285639659999
63,2020-04-20,27.0,447.0,,,,,,,3047,2012,4111,52422,32147,71618,140293,82706,194679,0.8777638164799999
64,2020-04-21,36.0,483.0,,,,,,,2983,1948,4039,51525,31943,70120,143276,84654,198717,0.8762809318700001
65,2020-04-22,23.0,506.0,,,,,,,2920,1921,3973,50598,31700,68670,146196,86576,202690,0.875028876091
66,2020-04-23,46.0,552.0,,,,,,,2858,1885,3936,49652,31411,67307,149053,88462,206625,0.87396620111
67,2020-04-24,122.0,674.0,,,,,,,2796,1864,3835,48696,31108,65941,151850,90327,210460,0.8730591555
68,2020-04-25,10.0,684.0,,,,,,,2736,1806,3759,47734,30742,64601,154586,92133,214219,0.872280199039
69,2020-04-26,4.0,688.0,,,,,,,2677,1769,3691,46774,30335,63301,157264,93902,217909,0.871606825459
70,2020-04-27,18.0,706.0,,,,,,,2620,1743,3651,45818,29898,62075,159883,95645,221559,0.871020621889
71,2020-04-28,30.0,736.0,,,,,,,2563,1697,3620,44870,29411,60936,162446,97343,225179,0.870506512226
72,2020-04-29,30.0,766.0,,,,,,,2507,1642,3560,43932,28884,59860,164953,98986,228738,0.8700521451209999
73,2020-04-30,11.0,777.0,,,,,,,2453,1578,3505,43007,28297,58836,167406,100564,232243,0.8696473968940001
74,2020-05-01,44.0,821.0,,,,,,,2399,1518,3464,42095,27661,57861,169806,102083,235707,0.869283966554
75,2020-05-02,11.0,832.0,,,,,,,2347,1455,3424,41197,27008,56966,172153,103538,239130,0.868945735433
76,2020-05-03,10.0,842.0,,,,,,,2296,1384,3383,40315,26295,56114,174448,104922,242513,0.8686501948700001
77,2020-05-04,9.0,851.0,,,,,,,2245,1326,3345,39447,25555,55289,176693,106249,245857,0.8683964951180001
78,2020-05-05,52.0,903.0,,,,,,,2196,1275,3302,38596,24819,54480,178889,107525,249158,0.868190853521
79,2020-05-06,16.0,919.0,,,,,,,2147,1228,3263,37761,24099,53704,181037,108753,252421,0.8680343557510001
80,2020-05-07,25.0,944.0,,,,,,,2100,1173,3223,36941,23351,52953,183137,109927,255643,0.8679270620209999
81,2020-05-08,16.0,960.0,,,,,,,2054,1137,3176,36137,22603,52194,185190,111065,258819,0.867866660262
82,2020-05-09,7.0,967.0,,,,,,,2008,1100,3109,35349,21839,51467,187199,112166,261927,0.867833634929
83,2020-05-10,4.0,971.0,,,,,,,1964,1061,3042,34576,21094,50750,189162,113227,264968,0.867833096789
84,2020-05-11,16.0,987.0,,,,,,,1920,1020,2991,33819,20345,50050,191082,114247,267959,0.867871269919
85,2020-05-12,23.0,1010.0,,,,,,,1877,970,2959,33076,19572,49359,192959,115217,270917,0.867955713214
86,2020-05-13,52.0,1062.0,,,,,,,1835,920,2927,32348,18795,48665,194795,116138,273843,0.8680955887690001
87,2020-05-14,24.0,1086.0,,,,,,,1794,873,2894,31635,18025,47999,196589,117011,276737,0.868301976485
88,2020-05-15,64.0,1150.0,,,,,,,1754,830,2862,30937,17277,47356,198343,117842,279598,0.868588239368
89,2020-05-16,42.0,1192.0,,,,,,,1715,790,2829,30252,16549,46721,200058,118633,282427,0.868970442219
90,2020-05-17,23.0,1215.0,,,,,,,1676,755,2797,29581,15850,46094,201734,119389,285223,0.8694678222769999
91,2020-05-18,9.0,1224.0,,,,,,,1639,724,2765,28925,15190,45476,203373,120113,287988,0.870103306987
92,2020-05-19,33.0,1257.0,,,,,,,1603,696,2733,28283,14560,44864,204976,120809,290721,0.8709040649490001
93,2020-05-20,42.0,1299.0,,,,,,,1568,669,2702,27655,13954,44264,206544,121479,293422,0.871902061111
94,2020-05-21,11.0,1310.0,,,,,,,1534,644,2671,27041,13370,43673,208078,122124,296093,0.873134560669
