,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-29,,,,,,,,,21,10,40,21,10,40,21,10,40,2.12923976608
1,2020-03-01,,,,,,,,,21,10,40,41,20,80,41,20,80,2.08773153039
2,2020-03-02,,,,,,,,,21,10,40,62,30,120,62,30,120,2.07833787605
3,2020-03-03,,,,,,,,,21,10,40,83,40,160,83,40,160,2.0667427406
4,2020-03-04,,,,,,,,,21,10,40,104,50,200,104,50,200,2.0523935136800002
5,2020-03-05,,,,,,,,,21,10,40,124,60,240,124,60,240,2.0345911363
6,2020-03-06,,,,,,,,,21,10,40,145,70,280,145,70,280,2.01246266259
7,2020-03-07,,,,,,,,,21,10,40,166,80,320,166,80,320,1.9849487964599999
8,2020-03-08,,,,,,,,,21,10,40,186,90,360,186,90,360,1.95083037477
9,2020-03-09,,,,,,,,,59,25,115,245,115,475,245,115,475,1.9087185878400001
10,2020-03-10,,,,,,,,,57,25,108,302,141,583,302,141,583,1.85766955537
11,2020-03-11,,,,,,,,,59,26,107,361,168,689,361,168,689,1.79681667937
12,2020-03-12,,,,,,,,,63,29,109,424,197,797,424,197,797,1.7261108636700002
13,2020-03-13,,,,,,,,,72,34,120,496,232,917,496,232,917,1.64628443481
14,2020-03-14,,,,,,,,,85,41,136,581,273,1053,581,273,1053,1.55882026803
15,2020-03-15,,,,,,,,,92,47,141,653,311,1153,673,321,1193,1.4657283438100002
16,2020-03-16,,,,,,,,,95,51,142,726,352,1254,768,372,1334,1.36927962513
17,2020-03-17,,,,,,,,,97,56,145,803,398,1359,865,428,1479,1.27180078102
18,2020-03-18,,,,,,,,,99,60,147,880,449,1465,963,489,1625,1.17555318153
19,2020-03-19,,,,,,,,,101,65,148,960,504,1573,1064,554,1773,1.08268277227
20,2020-03-20,,,,,,,,,101,69,144,1040,564,1676,1164,624,1916,0.9951746916750001
21,2020-03-21,,,,,,,,,99,67,144,1118,622,1779,1263,692,2059,0.9147640648250001
22,2020-03-22,,,,,,,,,96,64,142,1193,676,1881,1359,756,2201,0.842799170747
23,2020-03-23,,,,,,,,,92,62,138,1265,729,1978,1451,819,2338,0.7800896565800001
24,2020-03-24,1.0,1.0,,,,,,,88,59,137,1295,762,2000,1540,878,2474,0.726809402171
25,2020-03-25,-1.0,0.0,,,,,,,84,55,129,1322,792,2021,1624,933,2603,0.682517529184
26,2020-03-26,0.0,0.0,,,,,,,80,52,123,1343,817,2037,1704,985,2726,0.646308177798
27,2020-03-27,0.0,0.0,,,,,,,76,48,117,1356,836,2046,1780,1034,2842,0.6170306051600001
28,2020-03-28,0.0,0.0,,,,,,,72,46,111,1356,848,2037,1852,1081,2953,0.593494706918
29,2020-03-29,0.0,0.0,,,,,,,68,43,103,1338,851,2004,1920,1125,3056,0.574608443115
30,2020-03-30,0.0,0.0,,,,,,,64,41,96,1311,845,1959,1984,1166,3151,0.559441079932
31,2020-03-31,0.0,0.0,,,,,,,61,39,90,1277,834,1907,2044,1206,3240,0.547233624964
32,2020-04-01,1.0,1.0,,,,,,,57,38,85,1237,816,1847,2102,1244,3325,0.5373818041539999
33,2020-04-02,0.0,1.0,,,,,,,54,36,81,1193,792,1781,2156,1281,3405,0.529409560993
34,2020-04-03,2.0,3.0,,,,,,,51,35,76,1143,761,1708,2207,1316,3481,0.5229426351550001
35,2020-04-04,0.0,3.0,,,,,,,49,34,71,1091,726,1636,2256,1350,3551,0.517686012273
36,2020-04-05,1.0,4.0,,,,,,,46,33,67,1039,691,1558,2302,1383,3617,0.513406005519
37,2020-04-06,1.0,5.0,,,,,,,44,32,63,987,659,1479,2347,1416,3679,0.509916482195
38,2020-04-07,0.0,5.0,,,,,,,42,29,59,938,626,1401,2389,1445,3738,0.507068402996
39,2020-04-08,0.0,5.0,,,,,,,40,27,56,889,595,1320,2429,1473,3794,0.504741877448
40,2020-04-09,1.0,6.0,,,,,,,39,25,53,844,565,1243,2468,1499,3846,0.5028400922899999
41,2020-04-10,0.0,6.0,,,,,,,37,24,50,801,537,1170,2505,1523,3895,0.50128462819
42,2020-04-11,2.0,8.0,,,,,,,36,22,48,761,511,1101,2541,1545,3943,0.500011811201
43,2020-04-12,1.0,9.0,,,,,,,34,21,46,723,486,1037,2575,1567,3989,0.498969843259
44,2020-04-13,0.0,9.0,,,,,,,33,19,45,689,462,979,2609,1587,4034,0.49811652642
45,2020-04-14,0.0,9.0,,,,,,,32,18,44,657,438,927,2641,1605,4078,0.497417445456
46,2020-04-15,0.0,9.0,,,,,,,31,17,43,627,416,881,2672,1623,4121,0.496844508472
47,2020-04-16,0.0,9.0,,,,,,,30,16,43,600,394,838,2702,1639,4163,0.49637476995499996
48,2020-04-17,0.0,9.0,,,,,,,29,15,42,575,373,799,2731,1655,4204,0.49598947842
49,2020-04-18,0.0,9.0,,,,,,,28,15,41,552,353,764,2759,1670,4244,0.495673303743
50,2020-04-19,1.0,10.0,,,,,,,27,14,40,531,334,733,2787,1684,4283,0.495413709012
51,2020-04-20,0.0,10.0,,,,,,,27,13,39,511,314,705,2813,1698,4322,0.495200439066
52,2020-04-21,0.0,10.0,,,,,,,26,13,38,493,295,681,2839,1711,4360,0.495025103553
53,2020-04-22,2.0,12.0,,,,,,,25,12,37,476,278,659,2865,1724,4397,0.494880836746
54,2020-04-23,0.0,12.0,,,,,,,25,12,37,460,263,640,2889,1737,4433,0.494762019779
55,2020-04-24,1.0,13.0,,,,,,,24,12,36,445,249,623,2913,1749,4468,0.494664053729
56,2020-04-25,0.0,13.0,,,,,,,23,11,35,431,237,608,2936,1760,4503,0.494583174143
57,2020-04-26,1.0,14.0,,,,,,,23,11,34,418,226,594,2959,1772,4537,0.49451629940200004
58,2020-04-27,2.0,16.0,,,,,,,22,11,34,406,216,582,2981,1783,4570,0.494460906696
59,2020-04-28,0.0,16.0,,,,,,,21,10,33,394,207,569,3002,1794,4603,0.494414930584
60,2020-04-29,0.0,16.0,,,,,,,21,10,32,383,198,557,3023,1804,4634,0.49437098961099996
61,2020-04-30,0.0,16.0,,,,,,,20,10,32,372,191,545,3044,1814,4665,0.49433989473300005
62,2020-05-01,0.0,16.0,,,,,,,20,9,31,362,184,534,3064,1824,4696,0.49431800670500003
63,2020-05-02,0.0,16.0,,,,,,,19,9,30,352,178,522,3083,1834,4725,0.494303145114
64,2020-05-03,1.0,17.0,,,,,,,19,9,29,342,173,511,3102,1843,4754,0.494299157594
65,2020-05-04,0.0,17.0,,,,,,,18,9,29,333,167,499,3120,1852,4782,0.49430350151
66,2020-05-05,0.0,17.0,,,,,,,18,8,28,324,162,488,3138,1861,4809,0.494322358855
67,2020-05-06,0.0,17.0,,,,,,,17,8,27,316,158,477,3155,1869,4836,0.494346200973
68,2020-05-07,0.0,17.0,,,,,,,17,8,26,307,153,466,3172,1878,4862,0.49437610881800004
69,2020-05-08,0.0,17.0,,,,,,,16,8,26,299,149,455,3188,1886,4887,0.494413402572
70,2020-05-09,0.0,17.0,,,,,,,16,7,25,291,144,444,3204,1894,4911,0.494459694245
71,2020-05-10,0.0,17.0,,,,,,,15,7,24,283,140,433,3219,1901,4935,0.494516951811
72,2020-05-11,0.0,17.0,,,,,,,15,7,23,275,136,422,3234,1909,4958,0.494587577336
73,2020-05-12,0.0,17.0,,,,,,,14,7,23,267,132,411,3248,1916,4980,0.49467450209200003
74,2020-05-13,0.0,17.0,,,,,,,14,6,22,260,129,400,3262,1923,5002,0.494781302266
75,2020-05-14,0.0,17.0,,,,,,,13,6,21,252,125,389,3276,1929,5023,0.494912339577
76,2020-05-15,0.0,17.0,,,,,,,13,6,21,245,121,378,3289,1936,5043,0.495072932
77,2020-05-16,0.0,17.0,,,,,,,13,6,20,238,117,367,3301,1942,5062,0.495269560726
78,2020-05-17,0.0,17.0,,,,,,,12,5,19,230,114,356,3313,1948,5080,0.49551012065899996
79,2020-05-18,0.0,17.0,,,,,,,12,5,18,223,110,345,3325,1954,5098,0.49580422293799997
80,2020-05-19,0.0,17.0,,,,,,,11,5,18,216,107,334,3336,1959,5115,0.496163559379
81,2020-05-20,0.0,17.0,,,,,,,11,5,17,209,103,323,3347,1965,5132,0.49660234008299997
82,2020-05-21,0.0,17.0,,,,,,,10,5,16,202,100,312,3357,1970,5148,0.497137816831
83,2020-05-22,0.0,17.0,,,,,,,10,4,15,195,96,301,3367,1975,5163,0.49779090595200004
84,2020-05-23,0.0,17.0,,,,,,,9,4,15,188,93,290,3376,1979,5177,0.498586924961
85,2020-05-24,0.0,17.0,,,,,,,9,4,14,181,90,279,3385,1984,5190,0.499556456838
86,2020-05-25,0.0,17.0,,,,,,,9,4,13,175,86,268,3394,1988,5203,0.500736353826
87,2020-05-26,0.0,17.0,,,,,,,8,4,13,168,83,258,3402,1992,5215,0.502170887978
88,2020-05-27,0.0,17.0,,,,,,,8,3,12,161,80,247,3409,1996,5227,0.503913047107
89,2020-05-28,0.0,17.0,,,,,,,7,3,11,155,76,236,3417,1999,5237,0.506025960408
90,2020-05-29,0.0,17.0,,,,,,,7,3,11,148,73,225,3424,2003,5247,0.5085844154
91,2020-05-30,0.0,17.0,,,,,,,6,3,10,141,70,215,3430,2006,5257,0.511676394084
92,2020-05-31,0.0,17.0,,,,,,,6,3,10,135,67,205,3436,2009,5266,0.515404508022
93,2020-06-01,0.0,17.0,,,,,,,6,2,9,129,64,195,3442,2012,5275,0.5198871425
94,2020-06-02,0.0,17.0,,,,,,,6,2,9,123,61,186,3448,2015,5284,0.525259019028
95,2020-06-03,0.0,17.0,,,,,,,6,2,9,118,58,177,3454,2018,5292,0.531670922068
96,2020-06-04,0.0,17.0,,,,,,,6,2,9,113,55,169,3460,2020,5300,0.539287910573
97,2020-06-05,0.0,17.0,,,,,,,6,2,9,108,53,162,3465,2023,5309,0.548285569055
98,2020-06-06,0.0,17.0,,,,,,,5,2,9,104,51,155,3471,2026,5317,0.558843625073
99,2020-06-07,0.0,17.0,,,,,,,5,2,9,100,49,149,3476,2028,5325,0.571136344995
100,2020-06-08,0.0,17.0,,,,,,,5,2,9,96,47,143,3481,2031,5333,0.585319337128
101,2020-06-09,0.0,17.0,,,,,,,5,2,9,93,45,139,3487,2034,5342,0.601512841031
102,2020-06-10,0.0,17.0,,,,,,,6,2,9,91,44,135,3492,2036,5350,0.619782337259
103,2020-06-11,0.0,17.0,,,,,,,6,2,9,89,43,133,3498,2039,5359,0.640118304522
104,2020-06-12,0.0,17.0,,,,,,,6,2,9,87,42,131,3504,2041,5368,0.6624180198749999
105,2020-06-13,0.0,17.0,,,,,,,6,2,10,86,41,130,3510,2044,5377,0.6864731243809999
106,2020-06-14,0.0,17.0,,,,,,,6,2,10,86,40,130,3516,2047,5386,0.711966810971
107,2020-06-15,0.0,17.0,,,,,,,6,2,10,86,40,131,3522,2050,5396,0.7384835649420001
108,2020-06-16,0.0,17.0,,,,,,,6,2,11,86,40,132,3528,2053,5406,0.7655322998209999
109,2020-06-17,0.0,17.0,,,,,,,7,2,11,87,40,134,3535,2056,5417,0.792580867312
110,2020-06-18,0.0,17.0,,,,,,,7,3,12,88,40,136,3542,2059,5428,0.819097122599
111,2020-06-19,0.0,17.0,,,,,,,7,3,12,89,41,139,3549,2062,5439,0.844589989343
112,2020-06-20,0.0,17.0,,,,,,,7,3,13,91,41,143,3556,2065,5451,0.868643968706
113,2020-06-21,0.0,17.0,,,,,,,8,3,13,94,42,148,3564,2068,5464,0.8909422736399999
114,2020-06-22,0.0,17.0,,,,,,,8,3,14,96,43,153,3572,2072,5477,0.911276567416
115,2020-06-23,0.0,17.0,,,,,,,9,3,14,99,44,158,3581,2075,5491,0.9295441493850001
116,2020-06-24,0.0,17.0,,,,,,,9,3,15,103,45,164,3590,2079,5505,0.945735518649
117,2020-06-25,0.0,17.0,,,,,,,9,3,16,107,46,171,3599,2083,5521,0.959916174158
118,2020-06-26,0.0,17.0,,,,,,,10,3,16,111,47,178,3609,2087,5536,0.97220637134
119,2020-06-27,1.0,18.0,,,,,,,10,4,17,115,49,186,3619,2091,5553,0.982761732669
120,2020-06-28,0.0,18.0,,,,,,,11,4,18,120,50,195,3630,2095,5571,0.991756537164
121,2020-06-29,0.0,18.0,,,,,,,11,4,20,125,52,204,3641,2100,5590,0.9993705201049999
122,2020-06-30,0.0,18.0,,,,,,,12,4,21,131,54,215,3652,2104,5610,1.0057792691299998
123,2020-07-01,0.0,18.0,,,,,,,12,4,22,136,56,226,3664,2109,5632,1.01114784322
124,2020-07-02,0.0,18.0,,,,,,,13,5,23,142,58,238,3677,2114,5654,1.01562702432
125,2020-07-03,1.0,19.0,,,,,,,13,5,25,149,60,251,3690,2120,5679,1.01935156487
126,2020-07-04,0.0,19.0,,,,,,,14,5,26,155,63,265,3704,2125,5704,1.02243984844
127,2020-07-05,0.0,19.0,,,,,,,14,5,27,162,65,280,3718,2131,5731,1.02499448037
128,2020-07-06,0.0,19.0,,,,,,,15,5,29,169,68,296,3733,2137,5759,1.02710343595
129,2020-07-07,0.0,19.0,,,,,,,16,6,31,177,71,313,3749,2143,5790,1.02884149561
130,2020-07-08,,,0.0,0.0,1.0,19.0,19.0,20.0,16,6,32,184,73,331,3765,2149,5821,
131,2020-07-09,,,0.0,0.0,1.0,19.0,19.0,20.0,17,6,34,192,76,350,3782,2156,5855,
132,2020-07-10,,,0.0,0.0,1.0,19.0,19.0,20.0,17,6,36,200,79,370,3799,2162,5890,
133,2020-07-11,,,0.0,0.0,1.0,19.0,19.0,20.0,18,6,38,209,82,392,3817,2169,5928,
134,2020-07-12,,,0.0,0.0,1.0,19.0,19.0,20.0,19,7,40,217,85,414,3836,2176,5967,
135,2020-07-13,,,0.0,0.0,1.0,19.0,19.0,20.0,20,7,42,226,88,438,3856,2184,6008,
136,2020-07-14,,,0.0,0.0,1.0,19.0,19.0,20.0,20,7,44,235,91,462,3876,2191,6052,
137,2020-07-15,,,0.0,0.0,1.0,19.0,19.0,20.0,21,7,46,245,94,488,3897,2199,6098,
138,2020-07-16,,,0.0,0.0,1.0,19.0,19.0,20.0,22,8,49,254,97,514,3919,2207,6146,
139,2020-07-17,,,0.0,0.0,1.0,19.0,19.0,20.0,23,8,51,264,101,542,3941,2215,6196,
140,2020-07-18,,,0.0,0.0,1.0,19.0,19.0,20.0,23,8,53,274,104,571,3965,2224,6249,
141,2020-07-19,,,0.0,0.0,1.0,19.0,19.0,20.0,24,8,56,285,107,601,3989,2232,6304,
142,2020-07-20,,,0.0,0.0,1.0,19.0,19.0,20.0,25,8,58,295,110,632,4014,2241,6362,
143,2020-07-21,,,0.0,0.0,1.0,20.0,19.0,20.0,26,8,61,306,113,663,4039,2250,6422,
144,2020-07-22,,,0.0,0.0,1.0,20.0,19.0,20.0,26,9,63,317,116,696,4066,2259,6485,
145,2020-07-23,,,0.0,0.0,1.0,20.0,19.0,20.0,27,9,66,328,118,730,4093,2268,6551,
146,2020-07-24,,,0.0,0.0,1.0,20.0,19.0,21.0,28,9,69,339,121,765,4121,2277,6619,
147,2020-07-25,,,0.0,0.0,1.0,20.0,19.0,21.0,29,9,72,350,123,801,4149,2286,6691,
148,2020-07-26,,,0.0,0.0,1.0,20.0,19.0,21.0,29,9,74,361,126,837,4179,2295,6764,
149,2020-07-27,,,0.0,0.0,1.0,20.0,19.0,21.0,30,9,77,373,127,875,4209,2304,6841,
150,2020-07-28,,,0.0,0.0,1.0,20.0,19.0,21.0,31,8,80,384,129,913,4240,2313,6921,
