,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-02,,,,,,,,,38,25,40,38,25,40,38,25,40,2.25701754386
1,2020-03-03,,,,,,,,,38,25,40,76,50,80,76,50,80,2.22892481523
2,2020-03-04,,,,,,,,,38,25,40,114,75,120,114,75,120,2.2227969710499997
3,2020-03-05,,,,,,,,,38,25,40,152,100,160,152,100,160,2.21534335132
4,2020-03-06,,,,,,,,,38,25,40,190,125,200,190,125,200,2.2062763400599996
5,2020-03-07,,,,,,,,,38,25,40,228,150,240,228,150,240,2.19524255471
6,2020-03-08,,,,,,,,,38,25,40,266,175,280,266,175,280,2.1818058584999998
7,2020-03-09,,,,,,,,,38,25,40,304,200,320,304,200,320,2.16542670586
8,2020-03-10,,,,,,,,,38,25,40,342,225,360,342,225,360,2.1454397325
9,2020-03-11,,,,,,,,,118,79,143,460,304,503,460,304,503,2.12085614685
10,2020-03-12,,,,,,,,,116,79,141,576,384,643,576,384,643,2.0910598792700004
11,2020-03-13,,,,,,,,,123,84,152,699,469,795,699,469,795,2.05477818741
12,2020-03-14,,,,,,,,,137,96,174,836,565,968,836,565,968,2.01096862277
13,2020-03-15,,,,,,,,,165,119,219,1001,685,1187,1001,685,1187,1.9586563660799998
14,2020-03-16,,,,,,,,,209,152,286,1210,837,1473,1210,837,1473,1.8971651890799999
15,2020-03-17,,,,,,,,,237,165,331,1409,977,1764,1447,1002,1804,1.82626996018
16,2020-03-18,,,,,,,,,259,184,362,1630,1137,2085,1706,1187,2165,1.7462990080400003
17,2020-03-19,,,,,,,,,281,195,404,1873,1307,2449,1987,1382,2569,1.6581823378600002
18,2020-03-20,,,,,,,,,305,201,449,2141,1484,2858,2293,1584,3018,1.5634298993200002
19,2020-03-21,,,,,,,,,331,207,493,2434,1667,3311,2624,1792,3511,1.4641082054499999
20,2020-03-22,,,,,,,,,349,211,529,2746,1854,3799,2973,2004,4039,1.3627884911
