,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-21,,,,,,,,,173,50,250,173,50,250,173,50,250,1.57280983244
1,2020-02-22,,,,,,,,,173,50,250,347,100,500,347,100,500,1.57262690868
2,2020-02-23,,,,,,,,,173,50,250,520,150,750,520,150,750,1.57258641861
3,2020-02-24,,,,,,,,,173,50,250,693,200,1000,693,200,1000,1.57253696871
4,2020-02-25,,,,,,,,,173,50,250,867,250,1250,867,250,1250,1.57247657759
5,2020-02-26,,,,,,,,,173,50,250,1040,300,1500,1040,300,1500,1.5724028263
6,2020-02-27,,,,,,,,,173,50,250,1213,350,1750,1213,350,1750,1.57231276204
7,2020-02-28,,,,,,,,,173,50,250,1387,400,2000,1387,400,2000,1.57220278074
8,2020-02-29,,,,,,,,,173,50,250,1560,450,2250,1560,450,2250,1.5720684840999999
9,2020-03-01,,,,,,,,,430,139,650,1990,589,2900,1990,589,2900,1.5717517174700002
10,2020-03-02,,,,,,,,,428,139,647,2419,729,3546,2419,729,3546,1.5715324297100002
11,2020-03-03,,,,,,,,,446,146,675,2865,876,4221,2865,876,4221,1.57124028398
12,2020-03-04,,,,,,,,,482,162,736,3347,1038,4956,3347,1038,4956,1.5708944241999998
13,2020-03-05,,,,,,,,,558,194,861,3905,1233,5817,3905,1233,5817,1.57048081679
14,2020-03-06,,,,,,,,,677,245,1057,4582,1478,6873,4582,1478,6873,1.5699828591
15,2020-03-07,,,,,,,,,768,285,1207,5176,1714,7830,5350,1764,8080,1.56937848296
16,2020-03-08,,,,,,,,,843,320,1334,5846,1984,8913,6193,2084,9413,1.56864151419
17,2020-03-09,,,,,,,,,929,363,1480,6602,2297,10143,7122,2447,10893,1.56774904
18,2020-03-10,,,,,,,,,1031,415,1653,7460,2662,11545,8153,2862,12545,1.5666711257400001
19,2020-03-11,,,,,,,,,1158,480,1868,8444,3093,13163,9311,3343,14413,1.56536802965
20,2020-03-12,,,,,,,,,1290,551,2093,9561,3595,15005,10601,3895,16505,1.56379139209
21,2020-03-13,,,,,,,,,1425,626,2319,10812,4171,17073,12025,4521,18823,1.5618816897499999
22,2020-03-14,,,,,,,,,1567,708,2557,12206,4830,19379,13592,5230,21379,1.55956960611
23,2020-03-15,,,,,,,,,1724,803,2815,13756,5583,21944,15316,6033,24194,1.5567716610799998
24,2020-03-16,1.0,1.0,,,,,,,1899,911,3101,15225,6355,24396,17215,6945,27295,1.5533858192299999
25,2020-03-17,1.0,2.0,,,,,,,2089,1032,3404,16886,7248,27153,19305,7978,30699,1.5492876372600002
26,2020-03-18,0.0,2.0,,,,,,,2292,1166,3718,18732,8268,30196,21597,9144,34416,1.5443255659000001
27,2020-03-19,0.0,2.0,,,,,,,2508,1314,4040,20758,9420,33500,24105,10458,38456,1.53831583868
28,2020-03-20,1.0,3.0,,,,,,,2739,1478,4409,22938,10703,37048,26844,11937,42864,1.5310353285
29,2020-03-21,1.0,4.0,,,,,,,2988,1661,4760,25249,12119,40751,29831,13598,47624,1.52221343954
30,2020-03-22,2.0,6.0,,,,,,,3252,1863,5115,27733,13698,44659,33083,15462,52739,1.51152578995
31,2020-03-23,1.0,7.0,,,,,,,3529,2085,5466,30419,15463,48792,36612,17547,58204,1.4985938055799999
32,2020-03-24,5.0,12.0,,,,,,,3816,2316,5807,33305,17416,53118,40428,19864,64011,1.4829979947100003
33,2020-03-25,2.0,14.0,,,,,,,4110,2503,6332,36384,19504,57797,44537,22367,70342,1.46431463603
34,2020-03-26,3.0,17.0,,,,,,,4406,2643,6880,39633,21667,62809,48943,25011,77221,1.44218299128
35,2020-03-27,8.0,25.0,,,,,,,4699,2801,7312,43042,23917,68028,53643,27813,84533,1.4163967052200002
36,2020-03-28,6.0,31.0,,,,,,,4983,2927,7656,46600,26219,73365,58625,30740,92188,1.38699130468
37,2020-03-29,1.0,32.0,,,,,,,5249,3052,7836,50282,28563,78644,63874,33793,100023,1.3542882628200001
38,2020-03-30,3.0,35.0,,,,,,,5494,3174,8055,54052,30935,83883,69368,36968,108077,1.31887320619
39,2020-03-31,14.0,49.0,,,,,,,5711,3291,8197,57864,33314,88980,75079,40260,116274,1.2815217757100001
40,2020-04-01,16.0,65.0,,,,,,,5899,3397,8367,61673,35679,93943,80978,43657,124641,1.2431091691
41,2020-04-02,13.0,78.0,,,,,,,6053,3491,8379,65434,38004,98604,87031,47149,133019,1.20453382803
42,2020-04-03,24.0,102.0,,,,,,,6172,3614,8587,69099,40304,103150,93203,50763,141605,1.16666540472
43,2020-04-04,14.0,116.0,,,,,,,6258,3757,8622,72617,42584,107362,99461,54521,150226,1.13031006512
44,2020-04-05,11.0,127.0,,,,,,,6310,3760,8744,75940,44683,111347,105771,58282,158970,1.0961802287
45,2020-04-06,16.0,143.0,,,,,,,6332,3752,8905,79020,46572,115137,112103,62035,167875,1.06485977743
46,2020-04-07,30.0,173.0,,,,,,,6328,3754,9062,81819,48241,118733,118431,65789,176936,1.03676503089
47,2020-04-08,30.0,203.0,,,,,,,6301,3812,9121,84305,49737,122046,124732,69601,186057,1.01211173818
48,2020-04-09,42.0,245.0,,,,,,,6256,3836,8974,86451,51070,124688,130989,73438,195030,0.9909039347399999
49,2020-04-10,55.0,300.0,,,,,,,6196,3857,8890,88241,52284,126698,137184,77295,203919,0.9729565744850001
50,2020-04-11,30.0,330.0,,,,,,,6123,3820,8710,89665,53303,128096,143307,81116,212629,0.9579495817129999
51,2020-04-12,13.0,343.0,,,,,,,6041,3768,8539,90724,54143,128979,149349,84884,221167,0.94549538614
52,2020-04-13,7.0,350.0,,,,,,,5952,3707,8305,91426,54798,129449,155301,88592,229472,0.935198154831
53,2020-04-14,37.0,387.0,,,,,,,5857,3685,8202,91790,55308,129596,161158,92277,237673,0.9266923528409999
54,2020-04-15,49.0,436.0,,,,,,,5758,3645,8059,91836,55663,129458,166916,95923,245731,0.9196604722849999
55,2020-04-16,41.0,477.0,,,,,,,5656,3624,7940,91593,55889,129031,172571,99547,253671,0.913836324169
56,2020-04-17,45.0,522.0,,,,,,,5552,3583,7774,91092,55981,128426,178123,103130,261445,0.909000831677
57,2020-04-18,23.0,545.0,,,,,,,5447,3512,7556,90367,55878,127396,183570,106642,269000,0.904975124152
58,2020-04-19,17.0,562.0,,,,,,,5341,3434,7432,89450,55555,126205,188911,110076,276431,0.901613460599
59,2020-04-20,15.0,577.0,,,,,,,5236,3404,7275,88376,55198,124735,194147,113481,283705,0.8987970020880001
60,2020-04-21,58.0,635.0,,,,,,,5131,3341,7080,87175,54787,122911,199278,116822,290785,0.8964286730600001
61,2020-04-22,31.0,666.0,,,,,,,5027,3291,6882,85873,54324,120731,204304,120114,297667,0.894429029886
62,2020-04-23,40.0,706.0,,,,,,,4924,3231,6681,84495,53743,118292,209228,123345,304348,0.892732961759
63,2020-04-24,35.0,741.0,,,,,,,4822,3174,6591,83061,53080,115909,214050,126519,310938,0.891287049771
64,2020-04-25,45.0,786.0,,,,,,,4722,3113,6407,81587,52337,113426,218771,129632,317345,0.8900474400030001
65,2020-04-26,27.0,813.0,,,,,,,4623,3059,6261,80086,51576,110977,223394,132692,323605,0.8889781193780001
66,2020-04-27,31.0,844.0,,,,,,,4526,2985,6176,78571,50792,108614,227919,135677,329780,0.888049510358
67,2020-04-28,57.0,901.0,,,,,,,4430,2940,6030,77049,50025,106339,232350,138617,335810,0.88723732099
68,2020-04-29,63.0,964.0,,,,,,,4336,2887,5896,75528,49226,104033,236686,141504,341705,0.886521601481
69,2020-04-30,150.0,1114.0,,,,,,,4244,2822,5818,74015,48404,101792,240930,144327,347523,0.8858859690459999
70,2020-05-01,61.0,1175.0,,,,,,,4154,2768,5710,72513,47548,99562,245084,147095,353232,0.885316970518
71,2020-05-02,-60.0,1115.0,,,,,,,4065,2714,5610,71027,46680,97397,249150,149810,358842,0.884803558151
72,2020-05-03,17.0,1132.0,,,,,,,3978,2663,5544,69558,45831,95385,253128,152474,364385,0.884298964709
73,2020-05-04,19.0,1151.0,,,,,,,3893,2590,5467,68110,44988,93421,257021,155064,369851,0.8838431753299999
74,2020-05-05,60.0,1211.0,,,,,,,3809,2494,5376,66684,44077,91522,260831,157559,375227,0.8834260697640001
75,2020-05-06,166.0,1377.0,,,,,,,3728,2391,5309,65281,43127,89751,264558,159950,380535,0.8830647874490001
76,2020-05-07,37.0,1414.0,,,,,,,3647,2305,5236,63902,42142,88104,268206,162256,385771,0.882756180115
77,2020-05-08,33.0,1447.0,,,,,,,3569,2252,5109,62547,41164,86532,271775,164509,390879,0.882505774701
78,2020-05-09,43.0,1490.0,,,,,,,3492,2187,5037,61217,40177,84979,275267,166697,395916,0.882328046252
79,2020-05-10,18.0,1508.0,,,,,,,3417,2125,4968,59913,39189,83539,278684,168822,400883,0.882171491667
80,2020-05-11,32.0,1540.0,,,,,,,3343,2048,4899,58634,38178,82177,282027,170870,405781,0.8820394930700001
81,2020-05-12,38.0,1578.0,,,,,,,3271,1939,4830,57379,37133,80831,285299,172810,410611,0.8819362025499999
82,2020-05-13,41.0,1619.0,,,,,,,3201,1867,4762,56150,36060,79563,288500,174678,415373,0.881866684733
83,2020-05-14,27.0,1646.0,,,,,,,3132,1792,4695,54946,34966,78363,291632,176470,420068,0.881837107321
84,2020-05-15,45.0,1691.0,,,,,,,3064,1727,4629,53766,33870,77174,294696,178198,424696,0.881854967719
85,2020-05-16,50.0,1741.0,,,,,,,2999,1652,4556,52610,32754,76019,297695,179850,429251,0.8819293603560001
86,2020-05-17,10.0,1751.0,,,,,,,2934,1575,4489,51479,31615,74899,300629,181426,433740,0.882071291159
87,2020-05-18,14.0,1765.0,,,,,,,2871,1510,4424,50372,30463,73779,303500,182937,438163,0.882294039867
88,2020-05-19,59.0,1824.0,,,,,,,2810,1442,4359,49289,29315,72671,306310,184379,442522,0.8826135755750001
89,2020-05-20,40.0,1864.0,,,,,,,2750,1386,4295,48230,28207,71590,309061,185766,446816,0.883049025571
90,2020-05-21,49.0,1913.0,,,,,,,2692,1329,4232,47195,27145,70513,311753,187095,451048,0.8836231905949999
91,2020-05-22,28.0,1941.0,,,,,,,2636,1274,4170,46183,26113,69447,314389,188370,455217,0.8843630932559999
