,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-19,,,,,,,,,309,200,400,309,200,400,309,200,400,2.09929369196
1,2020-02-20,,,,,,,,,309,200,400,618,400,800,618,400,800,2.09020093762
2,2020-02-21,,,,,,,,,309,200,400,927,600,1200,927,600,1200,2.0882064358
3,2020-02-22,,,,,,,,,309,200,400,1236,800,1600,1236,800,1600,2.08577902877
4,2020-02-23,,,,,,,,,309,200,400,1545,1000,2000,1545,1000,2000,2.0828267561200002
5,2020-02-24,,,,,,,,,309,200,400,1854,1200,2400,1854,1200,2400,2.07923891782
6,2020-02-25,,,,,,,,,309,200,400,2163,1400,2800,2163,1400,2800,2.07488251354
7,2020-02-26,,,,,,,,,309,200,400,2473,1600,3200,2473,1600,3200,2.06959804531
8,2020-02-27,,,,,,,,,309,200,400,2782,1800,3600,2782,1800,3600,2.0631945430000003
9,2020-02-28,,,,,,,,,929,596,1298,3711,2396,4898,3711,2396,4898,2.0549098953200002
10,2020-02-29,,,,,,,,,923,593,1282,4634,2989,6180,4634,2989,6180,2.04547459437
11,2020-03-01,,,,,,,,,979,629,1361,5613,3619,7540,5613,3619,7540,2.0339584131599997
12,2020-03-02,,,,,,,,,1095,703,1530,6708,4322,9070,6708,4322,9070,2.02011103253
13,2020-03-03,,,,,,,,,1338,857,1890,8045,5180,10959,8045,5180,10959,2.0034559003799997
14,2020-03-04,,,,,,,,,1712,1098,2505,9757,6278,13463,9757,6278,13463,1.9834340574900002
15,2020-03-05,,,,,,,,,1998,1286,2962,11446,7365,16024,11755,7565,16424,1.95938792221
16,2020-03-06,,,,,,,,,2248,1455,3368,13385,8621,18992,14003,9021,19792,1.9305918644099997
17,2020-03-07,,,,,,,,,2545,1660,3852,15621,10082,22444,16549,10682,23644,1.8963503957599999
18,2020-03-08,,,,,,,,,2897,1911,4413,18210,11793,26457,19446,12593,28057,1.8560376039300002
19,2020-03-09,,,,,,,,,3318,2163,5053,21219,13756,31109,22764,14756,33109,1.80923391485
20,2020-03-10,,,,,,,,,3726,2466,5604,24635,16023,36312,26490,17223,38712,1.7558966105200002
21,2020-03-11,,,,,,,,,4101,2768,5854,28427,18591,41766,30591,19991,44566,1.69646534704
22,2020-03-12,,,,,,,,,4462,3084,6079,32580,21475,47444,35052,23075,50644,1.63189428683
23,2020-03-13,,,,,,,,,4813,3420,6472,37084,24696,53516,39866,26496,57116,1.56355530391
24,2020-03-14,1.0,1.0,,,,,,,5153,3762,6697,41308,27862,58914,45018,30258,63812,1.49308650283
25,2020-03-15,1.0,2.0,,,,,,,5454,4063,6997,45839,31332,64629,50472,34321,70808,1.4222340710699999
26,2020-03-16,1.0,3.0,,,,,,,5701,4302,7217,50561,35005,70485,56174,38624,78024,1.35271389728
27,2020-03-17,1.0,4.0,,,,,,,5897,4482,7395,55363,38784,76350,62071,43107,85419,1.28610771763
28,2020-03-18,2.0,6.0,,,,,,,6047,4628,7531,60073,42554,81991,68118,47735,92950,1.22378287756
29,2020-03-19,4.0,10.0,,,,,,,6157,4723,7646,64518,46179,87132,74275,52458,100595,1.16682807002
30,2020-03-20,4.0,14.0,,,,,,,6226,4761,7858,68746,49654,92028,80502,57220,108452,1.11599806984
31,2020-03-21,6.0,20.0,,,,,,,6257,4859,7968,72756,53058,96628,86759,62080,116420,1.07166838582
32,2020-03-22,0.0,20.0,,,,,,,6255,4880,7990,76466,56278,100765,93014,66960,124409,1.03381976739
33,2020-03-23,15.0,35.0,,,,,,,6228,4863,7918,79796,59230,104269,99242,71824,132326,1.00207716867
34,2020-03-24,11.0,46.0,,,,,,,6181,4834,7808,82659,61901,107025,105423,76658,140134,0.975808081037
35,2020-03-25,19.0,65.0,,,,,,,6117,4771,7647,85051,64207,109068,111540,81430,147780,0.95425142963
36,2020-03-26,18.0,83.0,,,,,,,6041,4714,7536,86991,66153,110750,117581,86144,155316,0.936633965044
37,2020-03-27,36.0,119.0,,,,,,,5954,4661,7460,88483,67730,112132,123535,90806,162775,0.922247154772
38,2020-03-28,18.0,137.0,,,,,,,5858,4599,7240,89527,68909,112900,129393,95406,170015,0.9104823159550001
39,2020-03-29,14.0,151.0,,,,,,,5756,4551,7021,90131,69698,113224,135149,99957,177035,0.900836206682
40,2020-03-30,34.0,185.0,,,,,,,5650,4463,6865,90327,70099,113092,140799,104421,183900,0.8929012399590001
41,2020-03-31,54.0,239.0,,,,,,,5541,4396,6789,90167,70193,112665,146340,108817,190689,0.8863503001719999
42,2020-04-01,34.0,273.0,,,,,,,5430,4329,6612,89700,70040,111882,151771,113147,197300,0.880921464349
43,2020-04-02,37.0,310.0,,,,,,,5318,4250,6471,88970,69662,110822,157089,117398,203771,0.876404735053
44,2020-04-03,60.0,370.0,,,,,,,5206,4181,6363,88019,69121,109538,162294,121579,210133,0.872631243479
45,2020-04-04,39.0,409.0,,,,,,,5093,4099,6218,86886,68459,107899,167388,125679,216350,0.86946472231
46,2020-04-05,68.0,477.0,,,,,,,4982,4010,5997,85610,67610,105927,172369,129690,222347,0.866794850196
