,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-17,,,,,,,,,463,250,750,463,250,750,463,250,750,1.9869176312
1,2020-02-18,,,,,,,,,463,250,750,925,500,1500,925,500,1500,1.98392551064
2,2020-02-19,,,,,,,,,463,250,750,1388,750,2250,1388,750,2250,1.98326560258
3,2020-02-20,,,,,,,,,463,250,750,1850,1000,3000,1850,1000,3000,1.98246082435
4,2020-02-21,,,,,,,,,463,250,750,2313,1250,3750,2313,1250,3750,1.98147969137
5,2020-02-22,,,,,,,,,463,250,750,2775,1500,4500,2775,1500,4500,1.9802840245
6,2020-02-23,,,,,,,,,463,250,750,3238,1750,5250,3238,1750,5250,1.97882759274
7,2020-02-24,,,,,,,,,463,250,750,3700,2000,6000,3700,2000,6000,1.9770545082700002
8,2020-02-25,,,,,,,,,463,250,750,4163,2250,6750,4163,2250,6750,1.97489733882
9,2020-02-26,,,,,,,,,1329,747,2100,5492,2997,8850,5492,2997,8850,1.9719275509599998
10,2020-02-27,,,,,,,,,1323,744,2091,6815,3741,10941,6815,3741,10941,1.9686995140299999
11,2020-02-28,,,,,,,,,1399,790,2204,8214,4531,13144,8214,4531,13144,1.9647092660900003
12,2020-02-29,,,,,,,,,1556,884,2437,9770,5416,15581,9770,5416,15581,1.9599012669999998
13,2020-03-01,,,,,,,,,1883,1081,2922,11653,6498,18503,11653,6498,18503,1.9541014697599999
14,2020-03-02,,,,,,,,,2393,1388,3678,14046,7886,22180,14046,7886,22180,1.9471048225099998
15,2020-03-03,,,,,,,,,2793,1632,4273,16376,9268,25703,16839,9518,26453,1.9386612891400001
16,2020-03-04,,,,,,,,,3151,1853,4799,19065,10872,29751,19990,11372,31251,1.9284773085
17,2020-03-05,,,,,,,,,3586,2125,5431,22188,12747,34431,23575,13497,36681,1.9162379140599999
18,2020-03-06,,,,,,,,,4116,2460,6197,25841,14958,39877,27691,15958,42877,1.9015648769
19,2020-03-07,,,,,,,,,4779,2883,7273,30158,17591,46399,32470,18841,50149,1.88400635365
