,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-26,,,,,,,,,49,25,75,49,25,75,49,25,75,1.88378051505
1,2020-02-27,,,,,,,,,49,25,75,99,50,150,99,50,150,1.8830658386099997
2,2020-02-28,,,,,,,,,49,25,75,148,75,225,148,75,225,1.8829077682
3,2020-02-29,,,,,,,,,49,25,75,197,100,300,197,100,300,1.88271477927
4,2020-03-01,,,,,,,,,49,25,75,247,125,375,247,125,375,1.8824791790900002
5,2020-03-02,,,,,,,,,49,25,75,296,150,450,296,150,450,1.8821915903
6,2020-03-03,,,,,,,,,49,25,75,345,175,525,345,175,525,1.8818405868099999
7,2020-03-04,,,,,,,,,49,25,75,395,200,600,395,200,600,1.88141225325
8,2020-03-05,,,,,,,,,49,25,75,444,225,675,444,225,675,1.8808896529499999
9,2020-03-06,,,,,,,,,139,69,210,583,294,885,583,294,885,1.88018894027
10,2020-03-07,,,,,,,,,138,69,210,721,364,1095,721,364,1095,1.87940369819
11,2020-03-08,,,,,,,,,146,73,221,866,438,1315,866,438,1315,1.87843371616
12,2020-03-09,,,,,,,,,161,81,244,1027,519,1559,1027,519,1559,1.8772567301900003
13,2020-03-10,,,,,,,,,194,97,293,1221,617,1852,1221,617,1852,1.8758267958200001
14,2020-03-11,,,,,,,,,245,122,369,1466,739,2220,1466,739,2220,1.87408866372
15,2020-03-12,,,,,,,,,285,142,429,1701,857,2573,1750,882,2648,1.8719744866999999
16,2020-03-13,,,,,,,,,321,160,482,1972,993,2980,2071,1043,3130,1.8694028980400001
17,2020-03-14,,,,,,,,,364,182,546,2287,1150,3451,2435,1225,3676,1.8662814224200002
18,2020-03-15,,,,,,,,,418,208,625,2655,1333,4000,2853,1433,4300,1.8624977038599997
19,2020-03-16,,,,,,,,,485,241,745,3091,1550,4670,3338,1675,5045,1.85791509405
20,2020-03-17,,,,,,,,,558,277,885,3599,1802,5479,3895,1952,5929,1.8523701483200001
21,2020-03-18,,,,,,,,,634,315,1038,4184,2092,6442,4529,2267,6967,1.8456673714900003
22,2020-03-19,,,,,,,,,719,357,1216,4853,2425,7582,5248,2625,8182,1.8375756713299998
23,2020-03-20,,,,,,,,,815,405,1422,5619,2806,8928,6063,3031,9603,1.8278204276700003
24,2020-03-21,1.0,1.0,,,,,,,925,461,1600,6405,3198,10318,6988,3493,11203,1.8160758403400001
25,2020-03-22,0.0,1.0,,,,,,,1046,524,1787,7313,3653,11895,8033,4017,12989,1.80195974877
26,2020-03-23,0.0,1.0,,,,,,,1177,594,1979,8344,4174,13654,9210,4612,14968,1.78503393118
27,2020-03-24,0.0,1.0,,,,,,,1318,672,2174,9501,4765,15583,10528,5284,17142,1.76481727629
28,2020-03-25,0.0,1.0,,,,,,,1469,759,2370,10776,5427,17660,11997,6044,19511,1.7408201269999999
29,2020-03-26,1.0,2.0,,,,,,,1630,857,2564,12162,6162,19855,13628,6902,22075,1.71260741341
30,2020-03-27,2.0,4.0,,,,,,,1798,966,2855,13676,6986,22281,15426,7868,24929,1.67988622771
