,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-28,,,,,,,,,24,10,40,24,10,40,24,10,40,1.45813527694
1,2020-02-29,,,,,,,,,24,10,40,48,20,80,48,20,80,1.45806937004
2,2020-03-01,,,,,,,,,24,10,40,72,30,120,72,30,120,1.45805466533
3,2020-03-02,,,,,,,,,24,10,40,96,40,160,96,40,160,1.45803666633
4,2020-03-03,,,,,,,,,24,10,40,120,50,200,120,50,200,1.4580146305500001
5,2020-03-04,,,,,,,,,24,10,40,144,60,240,144,60,240,1.4579876467299997
6,2020-03-05,,,,,,,,,24,10,40,168,70,280,168,70,280,1.45795459602
7,2020-03-06,,,,,,,,,24,10,40,192,80,320,192,80,320,1.4579141041299999
8,2020-03-07,,,,,,,,,24,10,40,216,90,360,216,90,360,1.4578644822600002
9,2020-03-08,,,,,,,,,57,25,96,273,115,456,273,115,456,1.45770645141
10,2020-03-09,,,,,,,,,57,25,96,329,141,552,329,141,552,1.45761971784
11,2020-03-10,,,,,,,,,59,27,100,388,168,651,388,168,651,1.45749910708
12,2020-03-11,,,,,,,,,63,29,107,451,198,757,451,198,757,1.45735786588
13,2020-03-12,,,,,,,,,72,34,122,523,232,879,523,232,879,1.45719003067
14,2020-03-13,,,,,,,,,86,42,146,610,275,1025,610,275,1025,1.4569885430200002
15,2020-03-14,,,,,,,,,97,48,164,683,314,1149,707,324,1189,1.4567437038
16,2020-03-15,,,,,,,,,106,53,179,764,357,1287,812,377,1367,1.45644398104
17,2020-03-16,,,,,,,,,115,59,195,856,407,1442,927,437,1562,1.45608015752
18,2020-03-17,,,,,,,,,127,66,214,958,464,1616,1054,504,1776,1.45563972812
19,2020-03-18,,,,,,,,,140,75,237,1075,530,1813,1194,580,2013,1.4551054002500001
