,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-01,,,,,,,,,51,25,75,51,25,75,51,25,75,1.42320566995
1,2020-03-02,,,,,,,,,51,25,75,102,50,150,102,50,150,1.42298470916
2,2020-03-03,,,,,,,,,51,25,75,152,75,225,152,75,225,1.42293511562
3,2020-03-04,,,,,,,,,51,25,75,203,100,300,203,100,300,1.42287431598
4,2020-03-05,,,,,,,,,51,25,75,254,125,375,254,125,375,1.42279975467
5,2020-03-06,,,,,,,,,51,25,75,305,150,450,305,150,450,1.42270828646
6,2020-03-07,,,,,,,,,51,25,75,355,175,525,355,175,525,1.42259603867
7,2020-03-08,,,,,,,,,51,25,75,406,200,600,406,200,600,1.42245824084
8,2020-03-09,,,,,,,,,51,25,75,457,225,675,457,225,675,1.42228901428
9,2020-03-10,,,,,,,,,120,64,180,577,289,855,577,289,855,1.42194964489
10,2020-03-11,,,,,,,,,119,64,180,696,354,1035,696,354,1035,1.4216777207100002
11,2020-03-12,,,,,,,,,123,67,186,819,422,1220,819,422,1220,1.4213245529299998
12,2020-03-13,,,,,,,,,132,73,200,951,495,1420,951,495,1420,1.42089937113
13,2020-03-14,,,,,,,,,151,86,229,1102,581,1648,1102,581,1648,1.4203838432499998
14,2020-03-15,,,,,,,,,180,105,274,1282,687,1921,1282,687,1921,1.41975575565
15,2020-03-16,,,,,,,,,201,120,307,1432,783,2153,1483,808,2228,1.41898643551
16,2020-03-17,,,,,,,,,219,133,334,1600,891,2412,1702,941,2562,1.41804116256
17,2020-03-18,,,,,,,,,238,148,365,1788,1014,2701,1940,1089,2926,1.41688384035
18,2020-03-19,,,,,,,,,261,165,400,1998,1154,3025,2201,1254,3325,1.41546873785
19,2020-03-20,,,,,,,,,289,186,443,2236,1316,3392,2490,1441,3767,1.4137375124399998
20,2020-03-21,,,,,,,,,317,209,487,2503,1501,3803,2807,1651,4253,1.4116190530700001
21,2020-03-22,,,,,,,,,346,232,530,2797,1708,4258,3153,1883,4783,1.4090265696899997
22,2020-03-23,,,,,,,,,375,256,574,3121,1939,4756,3528,2139,5356,1.40585768079
23,2020-03-24,,,,,,,,,406,282,621,3477,2196,5301,3934,2421,5976,1.40199095334
24,2020-03-25,1.0,1.0,,,,,,,440,310,671,3797,2442,5792,4374,2732,6647,1.39728329984
25,2020-03-26,0.0,1.0,,,,,,,477,332,722,4155,2710,6335,4851,3064,7369,1.39156935687
26,2020-03-27,0.0,1.0,,,,,,,514,352,774,4545,2995,6922,5365,3417,8142,1.38466300236
27,2020-03-28,0.0,1.0,,,,,,,552,372,830,4966,3294,7552,5917,3789,8971,1.3763626914700002
28,2020-03-29,1.0,2.0,,,,,,,592,392,889,5407,3600,8213,6509,4181,9860,1.36646097649
29,2020-03-30,0.0,2.0,,,,,,,633,412,949,5860,3906,8888,7142,4594,10809,1.35475963294
30,2020-03-31,2.0,4.0,,,,,,,675,433,1008,6334,4219,9589,7817,5027,11816,1.3410909833
31,2020-04-01,1.0,5.0,,,,,,,716,454,1064,6831,4540,10318,8533,5481,12880,1.3253433008700002
32,2020-04-02,1.0,6.0,,,,,,,757,475,1112,7350,4867,11065,9290,5956,13991,1.30748587134
33,2020-04-03,4.0,10.0,,,,,,,797,496,1149,7886,5198,11814,10087,6453,15139,1.28758741006
34,2020-04-04,1.0,11.0,,,,,,,835,516,1190,8433,5528,12562,10923,6970,16329,1.26582267615
35,2020-04-05,1.0,12.0,,,,,,,871,536,1215,8987,5855,13291,11794,7507,17544,1.2424659081899998
36,2020-04-06,0.0,12.0,,,,,,,905,556,1249,9546,6179,14009,12699,8063,18792,1.21787403548
37,2020-04-07,1.0,13.0,,,,,,,935,583,1283,10105,6507,14718,13633,8646,20074,1.19246503008
38,2020-04-08,0.0,13.0,,,,,,,961,604,1306,10660,6829,15404,14594,9251,21380,1.16669583672
39,2020-04-09,3.0,16.0,,,,,,,984,623,1322,11204,7142,16055,15578,9874,22701,1.14104136359
40,2020-04-10,1.0,17.0,,,,,,,1002,642,1348,11729,7452,16681,16580,10517,24049,1.11597342102
41,2020-04-11,2.0,19.0,,,,,,,1017,660,1386,12232,7760,17292,17597,11177,25434,1.09193788213
42,2020-04-12,7.0,26.0,,,,,,,1028,677,1413,12708,8065,17876,18625,11855,26847,1.06932984548
43,2020-04-13,0.0,26.0,,,,,,,1036,691,1423,13152,8364,18410,19661,12546,28269,1.04846906364
44,2020-04-14,5.0,31.0,,,,,,,1040,701,1425,13559,8654,18885,20701,13248,29693,1.0295799358
45,2020-04-15,5.0,36.0,,,,,,,1042,710,1434,13927,8931,19311,21743,13958,31127,1.01278080323
46,2020-04-16,0.0,36.0,,,,,,,1041,716,1440,14252,9193,19687,22785,14675,32566,0.998085619523
47,2020-04-17,8.0,44.0,,,,,,,1039,722,1433,14533,9440,20008,23824,15397,33998,0.9854177852889999
48,2020-04-18,9.0,53.0,,,,,,,1035,725,1420,14771,9669,20280,24858,16123,35418,0.974632538507
49,2020-04-19,2.0,55.0,,,,,,,1029,728,1404,14964,9881,20494,25887,16851,36822,0.9655424556829999
50,2020-04-20,3.0,58.0,,,,,,,1022,730,1373,15115,10074,20651,26909,17582,38194,0.957941009729
51,2020-04-21,0.0,58.0,,,,,,,1015,735,1362,15225,10254,20764,27924,18317,39555,0.95162105327
52,2020-04-22,13.0,71.0,,,,,,,1006,730,1350,15297,10400,20831,28930,19047,40905,0.946387283443
53,2020-04-23,7.0,78.0,,,,,,,997,728,1336,15333,10525,20861,29927,19776,42240,0.9420632970489999
54,2020-04-24,6.0,84.0,,,,,,,988,726,1319,15338,10627,20858,30916,20502,43559,0.938494544982
55,2020-04-25,9.0,93.0,,,,,,,978,719,1302,15314,10704,20811,31894,21221,44860,0.9355485623540001
56,2020-04-26,6.0,99.0,,,,,,,968,720,1287,15265,10764,20713,32862,21942,46146,0.9331136047480001
57,2020-04-27,0.0,99.0,,,,,,,958,721,1275,15196,10809,20575,33821,22664,47421,0.9310964950239999
58,2020-04-28,6.0,105.0,,,,,,,948,718,1263,15108,10836,20415,34769,23382,48684,0.929420196591
59,2020-04-29,7.0,112.0,,,,,,,938,704,1251,15006,10838,20241,35707,24087,49934,0.928021414655
60,2020-04-30,11.0,123.0,,,,,,,928,694,1239,14891,10822,20046,36634,24781,51172,0.9268483833700001
61,2020-05-01,8.0,131.0,,,,,,,917,684,1218,14767,10790,19824,37551,25466,52390,0.925858907721
62,2020-05-02,7.0,138.0,,,,,,,907,678,1199,14635,10747,19591,38458,26144,53589,0.925018677112
63,2020-05-03,13.0,151.0,,,,,,,896,673,1188,14496,10694,19359,39355,26817,54777,0.924299839586
64,2020-05-04,5.0,156.0,,,,,,,886,666,1177,14353,10633,19132,40241,27484,55954,0.9236798120630001
65,2020-05-05,6.0,162.0,,,,,,,876,660,1166,14207,10563,18926,41116,28145,57119,0.9231402968269999
66,2020-05-06,7.0,169.0,,,,,,,865,650,1154,14058,10477,18718,41982,28795,58273,0.922666474066
