,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-24,,,,,,,,,121,50,150,121,50,150,121,50,150,1.82051262653
1,2020-02-25,,,,,,,,,121,50,150,242,100,300,242,100,300,1.80207007845
2,2020-02-26,,,,,,,,,121,50,150,363,150,450,363,150,450,1.79804455539
3,2020-02-27,,,,,,,,,121,50,150,484,200,600,484,200,600,1.79315064001
4,2020-02-28,,,,,,,,,121,50,150,605,250,750,605,250,750,1.7872036054799998
5,2020-02-29,,,,,,,,,121,50,150,727,300,900,727,300,900,1.77997940251
6,2020-03-01,,,,,,,,,121,50,150,848,350,1050,848,350,1050,1.77120595653
7,2020-03-02,,,,,,,,,121,50,150,969,400,1200,969,400,1200,1.76055285632
8,2020-03-03,,,,,,,,,121,50,150,1090,450,1350,1090,450,1350,1.74762024996
9,2020-03-04,,,,,,,,,324,149,463,1414,599,1813,1414,599,1813,1.7317244990599998
10,2020-03-05,,,,,,,,,320,149,454,1734,749,2266,1734,749,2266,1.7126946215099998
11,2020-03-06,,,,,,,,,333,158,473,2067,907,2738,2067,907,2738,1.68968626969
12,2020-03-07,,,,,,,,,361,177,516,2428,1085,3254,2428,1085,3254,1.66211519264
13,2020-03-08,,,,,,,,,421,217,606,2849,1303,3859,2849,1303,3859,1.62943487669
14,2020-03-09,,,,,,,,,511,279,745,3360,1582,4604,3360,1582,4604,1.5913178012399998
15,2020-03-10,,,,,,,,,571,328,822,3809,1861,5275,3930,1911,5425,1.5477793748
16,2020-03-11,,,,,,,,,612,371,864,4301,2183,5988,4543,2283,6288,1.49924783824
17,2020-03-12,,,,,,,,,656,416,906,4836,2550,6744,5199,2700,7194,1.44654676935
18,2020-03-13,,,,,,,,,703,467,965,5418,2968,7558,5902,3168,8158,1.3907749074899998
19,2020-03-14,,,,,,,,,756,515,1035,6053,3433,8443,6658,3683,9193,1.33317213666
20,2020-03-15,,,,,,,,,800,559,1082,6731,3942,9374,7458,4242,10274,1.2750078544299999
21,2020-03-16,,,,,,,,,831,597,1078,7441,4490,10302,8289,4840,11352,1.2175050834299999
22,2020-03-17,,,,,,,,,854,623,1101,8174,5064,11252,9143,5464,12452,1.16180998673
23,2020-03-18,,,,,,,,,872,646,1134,8925,5660,12235,10014,6110,13585,1.10897868314
24,2020-03-19,1.0,1.0,,,,,,,886,661,1165,9487,6172,12937,10900,6772,14750,1.05995681823
25,2020-03-20,0.0,1.0,,,,,,,895,665,1155,10061,6688,13639,11795,7437,15904,1.01552620219
26,2020-03-21,0.0,1.0,,,,,,,897,671,1140,10625,7201,14307,12692,8108,17044,0.9762208163480001
27,2020-03-22,1.0,2.0,,,,,,,893,671,1149,11157,7695,14939,13585,8780,18193,0.942251072077
28,2020-03-23,0.0,2.0,,,,,,,886,666,1154,11622,8144,15488,14472,9447,19346,0.9134852388979999
