,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-02-22,,,,,,,,,225,100,300,225,100,300,225,100,300,1.9476273170299998
1,2020-02-23,,,,,,,,,225,100,300,450,200,600,450,200,600,1.9418781239400003
2,2020-02-24,,,,,,,,,225,100,300,675,300,900,675,300,900,1.9406084741299998
3,2020-02-25,,,,,,,,,225,100,300,899,400,1200,899,400,1200,1.9390590386700002
4,2020-02-26,,,,,,,,,225,100,300,1124,500,1500,1124,500,1500,1.9371683111000002
5,2020-02-27,,,,,,,,,225,100,300,1349,600,1800,1349,600,1800,1.9348612294799998
6,2020-02-28,,,,,,,,,225,100,300,1574,700,2100,1574,700,2100,1.93204610158
7,2020-02-29,,,,,,,,,225,100,300,1799,800,2400,1799,800,2400,1.9286107526700003
8,2020-03-01,,,,,,,,,225,100,300,2024,900,2700,2024,900,2700,1.92441765554
9,2020-03-02,,,,,,,,,644,298,958,2668,1198,3658,2668,1198,3658,1.91923986229
10,2020-03-03,,,,,,,,,640,297,954,3308,1495,4612,3308,1495,4612,1.9129775510099998
11,2020-03-04,,,,,,,,,676,315,1021,3984,1810,5633,3984,1810,5633,1.90530832488
12,2020-03-05,,,,,,,,,749,352,1151,4734,2163,6783,4734,2163,6783,1.89592670444
13,2020-03-06,,,,,,,,,903,430,1421,5636,2593,8203,5636,2593,8203,1.88443718123
14,2020-03-07,,,,,,,,,1140,551,1836,6777,3145,10039,6777,3145,10039,1.87035779319
15,2020-03-08,,,,,,,,,1321,647,2146,7873,3692,11884,8098,3792,12184,1.85311539444
16,2020-03-09,,,,,,,,,1476,733,2402,9124,4326,13985,9574,4526,14585,1.83206395372
17,2020-03-10,,,,,,,,,1659,838,2689,10558,5064,16373,11233,5364,17273,1.8065424504299998
18,2020-03-11,,,,,,,,,1873,967,3012,12207,5932,19085,13106,6332,20285,1.77597020648
19,2020-03-12,,,,,,,,,2131,1128,3381,14113,6961,22165,15237,7461,23665,1.7399844647299998
20,2020-03-13,,,,,,,,,2383,1299,3829,16271,8160,25693,17620,8760,27493,1.6985738027000001
21,2020-03-14,,,,,,,,,2618,1474,4239,18664,9535,29632,20238,10235,31732,1.65214246167
22,2020-03-15,,,,,,,,,2847,1664,4616,21287,11099,33948,23085,11899,36348,1.60147677035
23,2020-03-16,,,,,,,,,3077,1858,4793,24139,12858,38440,26163,13758,41140,1.5476331432
24,2020-03-17,1.0,1.0,,,,,,,3308,2083,5007,26803,14643,42489,29471,15842,46147,1.49180976534
25,2020-03-18,2.0,3.0,,,,,,,3525,2286,5268,29687,16633,46804,32995,18128,51415,1.43524898511
26,2020-03-19,2.0,5.0,,,,,,,3718,2414,5520,32730,18732,51303,36714,20543,56935,1.37918197616
27,2020-03-20,-1.0,4.0,,,,,,,3888,2517,5680,35869,20898,55832,40602,23061,62615,1.3248000603299999
28,2020-03-21,1.0,5.0,,,,,,,4038,2599,5863,39004,23067,60275,44640,25661,68478,1.27322608912
29,2020-03-22,2.0,7.0,,,,,,,4169,2720,6150,42033,25236,64589,48809,28382,74627,1.2254652605
30,2020-03-23,2.0,9.0,,,,,,,4281,2837,6298,44992,27427,68742,53090,31220,80925,1.18232894733
31,2020-03-24,3.0,12.0,,,,,,,4372,2933,6356,47888,29627,72695,57462,34153,87280,1.14434576828
32,2020-03-25,3.0,15.0,,,,,,,4446,3005,6401,50675,31794,76408,61908,37159,93681,1.1116958438700002
33,2020-03-26,6.0,21.0,,,,,,,4506,3060,6514,53308,33888,79910,66414,40220,100194,1.08420823219
34,2020-03-27,5.0,26.0,,,,,,,4554,3109,6519,55730,35868,83048,70967,43330,106713,1.06143402159
35,2020-03-28,4.0,30.0,,,,,,,4592,3156,6592,57939,37726,85812,75560,46486,113305,1.04276539688
36,2020-03-29,7.0,37.0,,,,,,,4622,3206,6586,59944,39457,88158,80182,49693,119890,1.02755219479
37,2020-03-30,8.0,45.0,,,,,,,4644,3252,6563,61741,41046,90106,84826,52946,126453,1.01518319146
38,2020-03-31,9.0,54.0,,,,,,,4660,3303,6557,63323,42490,91870,89486,56249,133010,1.00512640616
39,2020-04-01,12.0,66.0,,,,,,,4671,3338,6540,64686,43745,93403,94157,59587,139550,0.996939225634
40,2020-04-02,11.0,77.0,,,,,,,4677,3368,6507,65838,44826,94642,98833,62955,146057,0.9902621672040001
41,2020-04-03,23.0,100.0,,,,,,,4680,3393,6462,66799,45806,95584,103513,66349,152519,0.9848063842829999
42,2020-04-04,16.0,116.0,,,,,,,4679,3417,6431,67590,46705,96334,108192,69767,158949,0.980340429585
43,2020-04-05,20.0,136.0,,,,,,,4676,3433,6383,68228,47539,96854,112868,73200,165331,0.9766785799969999
44,2020-04-06,14.0,150.0,,,,,,,4670,3459,6322,68729,48277,97026,117538,76660,171653,0.973671315809
45,2020-04-07,10.0,160.0,,,,,,,4663,3478,6251,69112,48918,96978,122202,80139,177903,0.9711978198160001
46,2020-04-08,29.0,189.0,,,,,,,4654,3489,6209,69394,49475,96832,126856,83629,184111,0.969160137695
47,2020-04-09,21.0,210.0,,,,,,,4644,3478,6179,69593,49948,96610,131500,87108,190290,0.967478630978
