,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-06,,,,,,,,,32,10,40,32,10,40,32,10,40,1.5149122807
1,2020-03-07,,,,,,,,,32,10,40,63,20,80,63,20,80,1.51113110248
2,2020-03-08,,,,,,,,,32,10,40,95,30,120,95,30,120,1.5102881565700002
3,2020-03-09,,,,,,,,,32,10,40,127,40,160,127,40,160,1.5092555490000001
4,2020-03-10,,,,,,,,,32,10,40,158,50,200,158,50,200,1.5079896583399999
5,2020-03-11,,,,,,,,,32,10,40,190,60,240,190,60,240,1.5064363068900002
6,2020-03-12,,,,,,,,,32,10,40,222,70,280,222,70,280,1.50452792303
7,2020-03-13,,,,,,,,,32,10,40,253,80,320,253,80,320,1.50217980516
8,2020-03-14,,,,,,,,,32,10,40,285,90,360,285,90,360,1.4992851631400002
9,2020-03-15,,,,,,,,,77,28,107,362,118,467,362,118,467,1.4956070628600002
10,2020-03-16,,,,,,,,,77,28,106,439,147,572,439,147,572,1.4911631593
11,2020-03-17,,,,,,,,,79,30,110,518,177,681,518,177,681,1.48562407353
12,2020-03-18,,,,,,,,,86,33,119,604,210,800,604,210,800,1.47872455931
13,2020-03-19,,,,,,,,,98,40,139,702,250,939,702,250,939,1.47010054879
14,2020-03-20,,,,,,,,,118,51,169,820,301,1107,820,301,1107,1.4592961406799998
15,2020-03-21,,,,,,,,,132,59,191,921,351,1258,952,361,1298,1.44575870137
16,2020-03-22,,,,,,,,,143,66,210,1032,408,1427,1096,428,1507,1.42886127238
17,2020-03-23,,,,,,,,,155,75,230,1156,473,1617,1251,503,1737,1.4079711100299999
18,2020-03-24,,,,,,,,,168,86,252,1292,550,1828,1419,590,1988,1.3825605111100001
19,2020-03-25,,,,,,,,,183,99,278,1444,640,2065,1602,690,2265,1.3523593667899998
20,2020-03-26,,,,,,,,,197,112,291,1609,743,2315,1799,803,2555,1.3174900240799998
21,2020-03-27,,,,,,,,,208,124,297,1785,857,2572,2007,927,2852,1.27850859892
22,2020-03-28,,,,,,,,,217,137,303,1971,985,2835,2224,1065,3155,1.23632988047
23,2020-03-29,,,,,,,,,225,146,312,2165,1121,3107,2450,1211,3467,1.19207619343
24,2020-03-30,1.0,1.0,,,,,,,232,154,317,2320,1246,3317,2682,1365,3783,1.14692819611
25,2020-03-31,0.0,1.0,,,,,,,238,161,318,2481,1379,3529,2920,1526,4100,1.1020215847200001
26,2020-04-01,0.0,1.0,,,,,,,241,166,330,2642,1515,3749,3161,1692,4430,1.0583907456200001
27,2020-04-02,1.0,2.0,,,,,,,242,168,336,2799,1651,3965,3403,1861,4765,1.0169431678299998
28,2020-04-03,0.0,2.0,,,,,,,242,170,330,2943,1781,4157,3646,2032,5095,0.9784467201620001
29,2020-04-04,0.0,2.0,,,,,,,241,170,327,3066,1901,4315,3886,2203,5422,0.943514449588
30,2020-04-05,1.0,3.0,,,,,,,238,172,324,3172,2014,4448,4125,2376,5745,0.912576837218
31,2020-04-06,1.0,4.0,,,,,,,235,170,320,3264,2119,4559,4360,2547,6065,0.8858449773360001
32,2020-04-07,0.0,4.0,,,,,,,231,169,313,3340,2212,4642,4591,2716,6378,0.863285681612
33,2020-04-08,0.0,4.0,,,,,,,227,166,306,3399,2292,4696,4818,2882,6684,0.8446347977359999
34,2020-04-09,1.0,5.0,,,,,,,222,164,295,3437,2356,4713,5039,3047,6978,0.8294572570409999
35,2020-04-10,0.0,5.0,,,,,,,217,160,283,3457,2404,4705,5256,3207,7260,0.817233760195
36,2020-04-11,0.0,5.0,,,,,,,212,156,272,3461,2437,4680,5468,3364,7531,0.8074414689309999
37,2020-04-12,1.0,6.0,,,,,,,206,152,265,3450,2451,4642,5674,3516,7796,0.799607380379
38,2020-04-13,2.0,8.0,,,,,,,201,149,260,3425,2455,4590,5875,3666,8056,0.793331893761
39,2020-04-14,1.0,9.0,,,,,,,196,146,255,3389,2448,4528,6071,3813,8311,0.788291236804
40,2020-04-15,1.0,10.0,,,,,,,191,143,249,3342,2430,4459,6262,3957,8559,0.784229041846
41,2020-04-16,2.0,12.0,,,,,,,186,139,241,3287,2404,4370,6448,4097,8800,0.78094437425
42,2020-04-17,4.0,16.0,,,,,,,181,136,233,3225,2371,4267,6629,4233,9032,0.778280067139
43,2020-04-18,0.0,16.0,,,,,,,176,131,224,3159,2332,4161,6805,4364,9255,0.77611285759
44,2020-04-19,2.0,18.0,,,,,,,171,126,218,3090,2288,4052,6976,4491,9473,0.774345587984
45,2020-04-20,6.0,24.0,,,,,,,167,122,214,3018,2237,3942,7143,4614,9687,0.7729012338240001
46,2020-04-21,2.0,26.0,,,,,,,163,118,208,2946,2185,3829,7306,4732,9894,0.7717183863079999
47,2020-04-22,1.0,27.0,,,,,,,158,115,201,2873,2131,3717,7464,4848,10095,0.770747838547
48,2020-04-23,4.0,31.0,,,,,,,154,112,196,2801,2077,3607,7618,4960,10290,0.7699499914569999
49,2020-04-24,1.0,32.0,,,,,,,150,109,191,2729,2023,3502,7769,5070,10480,0.769292864988
50,2020-04-25,0.0,32.0,,,,,,,146,107,185,2659,1970,3405,7915,5177,10665,0.768637548512
51,2020-04-26,2.0,34.0,,,,,,,143,104,182,2590,1917,3316,8057,5281,10846,0.768125288046
52,2020-04-27,0.0,34.0,,,,,,,139,100,180,2522,1865,3231,8196,5382,11026,0.7677934012309999
53,2020-04-28,4.0,38.0,,,,,,,135,96,179,2456,1813,3149,8332,5479,11205,0.7675731004699999
54,2020-04-29,0.0,38.0,,,,,,,132,93,176,2392,1759,3070,8463,5573,11380,0.767470696706
55,2020-04-30,3.0,41.0,,,,,,,129,89,173,2330,1705,2993,8592,5662,11552,0.7675114457960001
56,2020-05-01,5.0,46.0,,,,,,,125,86,169,2270,1652,2922,8717,5749,11721,0.7677474479440001
57,2020-05-02,2.0,48.0,,,,,,,122,83,166,2211,1600,2855,8840,5833,11887,0.768041841229
58,2020-05-03,0.0,48.0,,,,,,,119,81,164,2154,1550,2795,8959,5915,12050,0.7684069481300001
59,2020-05-04,0.0,48.0,,,,,,,116,79,161,2099,1503,2738,9075,5995,12211,0.7688576273540001
60,2020-05-05,0.0,48.0,,,,,,,114,77,158,2046,1458,2682,9189,6072,12368,0.769411732997
61,2020-05-06,2.0,50.0,,,,,,,111,74,155,1994,1414,2629,9300,6147,12523,0.7700906374950001
62,2020-05-07,1.0,51.0,,,,,,,108,72,152,1944,1371,2580,9408,6219,12674,0.770919806917
63,2020-05-08,1.0,52.0,,,,,,,106,69,149,1895,1327,2533,9514,6288,12822,0.771929413166
64,2020-05-09,0.0,52.0,,,,,,,103,67,145,1849,1285,2487,9617,6355,12967,0.7731549542209999
65,2020-05-10,2.0,54.0,,,,,,,101,65,143,1803,1243,2445,9718,6421,13109,0.774637832796
66,2020-05-11,0.0,54.0,,,,,,,99,63,140,1759,1202,2403,9817,6484,13249,0.776425818956
67,2020-05-12,4.0,58.0,,,,,,,96,61,138,1717,1162,2360,9913,6545,13386,0.778573287736
68,2020-05-13,0.0,58.0,,,,,,,94,59,135,1676,1124,2316,10007,6604,13520,0.781141081136
69,2020-05-14,2.0,60.0,,,,,,,92,57,133,1637,1088,2274,10100,6661,13653,0.7841957997600001
70,2020-05-15,4.0,64.0,,,,,,,91,55,131,1599,1054,2232,10191,6717,13784,0.787808288566
71,2020-05-16,0.0,64.0,,,,,,,89,54,129,1562,1021,2192,10279,6771,13912,0.792051059819
72,2020-05-17,3.0,67.0,,,,,,,87,52,127,1527,990,2153,10367,6823,14039,0.796994415159
73,2020-05-18,1.0,68.0,,,,,,,86,51,125,1494,959,2114,10453,6875,14163,0.802701116197
74,2020-05-19,0.0,68.0,,,,,,,85,50,123,1462,930,2076,10537,6925,14286,0.80921963871
75,2020-05-20,1.0,69.0,,,,,,,83,49,122,1431,902,2040,10620,6974,14408,0.816576346215
76,2020-05-21,1.0,70.0,,,,,,,82,48,122,1403,876,2007,10703,7023,14529,0.824767319893
77,2020-05-22,2.0,72.0,,,,,,,81,47,120,1376,851,1976,10784,7071,14649,0.833751014621
78,2020-05-23,0.0,72.0,,,,,,,81,47,119,1351,829,1946,10865,7118,14768,0.843443242839
79,2020-05-24,0.0,72.0,,,,,,,80,46,119,1328,808,1920,10945,7164,14886,0.853716043544
80,2020-05-25,0.0,72.0,,,,,,,80,45,118,1306,789,1895,11024,7210,15004,0.864401618884
81,2020-05-26,0.0,72.0,,,,,,,79,45,118,1287,771,1874,11103,7256,15122,0.875301677796
82,2020-05-27,2.0,74.0,,,,,,,79,45,120,1269,756,1856,11182,7301,15242,0.886201370035
83,2020-05-28,0.0,74.0,,,,,,,79,45,122,1253,743,1843,11261,7347,15363,0.8968858647139999
84,2020-05-29,0.0,74.0,,,,,,,79,46,123,1240,732,1833,11340,7393,15485,0.9071569267659999
85,2020-05-30,1.0,75.0,,,,,,,79,46,123,1228,723,1825,11418,7440,15608,0.9168468451970001
86,2020-05-31,0.0,75.0,,,,,,,79,46,125,1217,715,1820,11497,7486,15732,0.925827768388
87,2020-06-01,1.0,76.0,,,,,,,79,45,126,1209,707,1819,11576,7531,15858,0.934015631321
88,2020-06-02,2.0,78.0,,,,,,,79,44,128,1202,700,1822,11655,7576,15985,0.941369015628
89,2020-06-03,0.0,78.0,,,,,,,79,44,129,1197,694,1828,11734,7620,16114,0.947884126032
90,2020-06-04,1.0,79.0,,,,,,,79,43,131,1192,688,1836,11813,7663,16244,0.953587441015
91,2020-06-05,5.0,84.0,,,,,,,79,42,132,1190,682,1847,11892,7705,16375,0.958527539523
92,2020-06-06,0.0,84.0,,,,,,,80,41,134,1188,675,1860,11972,7746,16509,0.962767273186
93,2020-06-07,0.0,84.0,,,,,,,80,40,136,1188,668,1877,12053,7787,16644,0.966377011233
94,2020-06-08,0.0,84.0,,,,,,,81,39,139,1189,661,1896,12133,7826,16782,0.9694292462049999
