,date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean
0,2020-03-20,,,,,,,,,15,10,25,15,10,25,15,10,25,1.5942982456099999
1,2020-03-21,,,,,,,,,15,10,25,31,20,50,31,20,50,1.46087352151
2,2020-03-22,,,,,,,,,15,10,25,46,30,75,46,30,75,1.43123155246
3,2020-03-23,,,,,,,,,15,10,25,62,40,100,62,40,100,1.39671887162
4,2020-03-24,,,,,,,,,15,10,25,77,50,125,77,50,125,1.35758452726
5,2020-03-25,,,,,,,,,15,10,25,92,60,150,92,60,150,1.31440689866
6,2020-03-26,,,,,,,,,15,10,25,108,70,175,108,70,175,1.26800889727
7,2020-03-27,,,,,,,,,15,10,25,123,80,200,123,80,200,1.21935993587
8,2020-03-28,,,,,,,,,15,10,25,139,90,225,139,90,225,1.16950289485
9,2020-03-29,,,,,,,,,32,18,57,170,108,282,170,108,282,1.1194028997
10,2020-03-30,,,,,,,,,31,18,55,201,126,336,201,126,336,1.0703710345
11,2020-03-31,,,,,,,,,31,18,53,232,145,389,232,145,389,1.02338194384
12,2020-04-01,,,,,,,,,31,18,53,263,164,442,263,164,442,0.979498237861
13,2020-04-02,,,,,,,,,33,20,57,297,184,499,297,184,499,0.939636097001
14,2020-04-03,,,,,,,,,37,21,63,333,206,561,333,206,561,0.9044679385079999
15,2020-04-04,,,,,,,,,39,23,65,357,219,600,372,229,625,0.8743160552320001
16,2020-04-05,,,,,,,,,39,23,65,381,233,639,411,253,689,0.849115624116
17,2020-04-06,,,,,,,,,40,24,65,405,247,679,451,277,754,0.8284758263609999
18,2020-04-07,,,,,,,,,41,24,66,431,262,719,492,302,819,0.811804597614
19,2020-04-08,,,,,,,,,42,25,66,457,277,760,534,327,885,0.798443613141
20,2020-04-09,,,,,,,,,42,26,67,484,294,802,576,354,952,0.7877672359219999
21,2020-04-10,,,,,,,,,43,26,67,511,310,844,619,380,1019,0.7792327479629999
22,2020-04-11,,,,,,,,,43,26,67,539,327,885,662,407,1085,0.77239485802
23,2020-04-12,,,,,,,,,44,27,67,567,344,926,706,434,1151,0.766899048899
24,2020-04-13,1.0,1.0,,,,,,,44,27,67,580,353,936,750,462,1217,0.762467078863
25,2020-04-14,0.0,1.0,,,,,,,44,27,67,593,363,948,794,490,1284,0.7588815583140001
26,2020-04-15,0.0,1.0,,,,,,,44,28,66,606,372,961,838,518,1349,0.755972391693
27,2020-04-16,1.0,2.0,,,,,,,44,28,66,619,382,974,882,546,1415,0.7536059529219999
28,2020-04-17,0.0,2.0,,,,,,,44,28,66,630,390,983,926,574,1481,0.751676686949
29,2020-04-18,0.0,2.0,,,,,,,44,28,66,637,396,986,970,603,1546,0.7501007073039999
30,2020-04-19,0.0,2.0,,,,,,,44,28,65,642,402,986,1014,631,1611,0.748810980173
31,2020-04-20,0.0,2.0,,,,,,,44,28,65,647,406,986,1058,659,1675,0.7477536795999999
32,2020-04-21,0.0,2.0,,,,,,,44,28,65,651,410,985,1102,688,1739,0.74688542393
33,2020-04-22,4.0,6.0,,,,,,,44,28,64,653,414,984,1146,716,1803,0.746082228631
34,2020-04-23,1.0,7.0,,,,,,,43,28,64,655,416,981,1189,744,1866,0.745473867574
35,2020-04-24,0.0,7.0,,,,,,,43,28,63,656,419,978,1232,773,1929,0.745042915517
36,2020-04-25,0.0,7.0,,,,,,,43,28,63,656,420,973,1275,801,1992,0.744754498171
37,2020-04-26,0.0,7.0,,,,,,,43,28,63,655,421,969,1318,829,2054,0.7446095812610001
38,2020-04-27,0.0,7.0,,,,,,,42,27,62,654,422,964,1360,857,2115,0.744650617193
39,2020-04-28,0.0,7.0,,,,,,,42,27,62,652,422,959,1402,884,2176,0.7449974312790001
40,2020-04-29,0.0,7.0,,,,,,,42,27,61,650,421,954,1444,911,2237,0.7454259363410001
41,2020-04-30,0.0,7.0,,,,,,,42,26,61,648,420,948,1486,938,2297,0.745953587971
42,2020-05-01,0.0,7.0,,,,,,,41,26,60,645,418,941,1527,964,2356,0.746601423425
43,2020-05-02,0.0,7.0,,,,,,,41,25,59,641,416,935,1568,990,2415,0.7473947108140001
44,2020-05-03,0.0,7.0,,,,,,,41,25,59,638,413,928,1608,1016,2474,0.748363688517
45,2020-05-04,0.0,7.0,,,,,,,40,25,58,634,410,921,1648,1041,2531,0.74954437809
46,2020-05-05,0.0,7.0,,,,,,,40,24,58,630,406,914,1688,1066,2588,0.7509794491349999
47,2020-05-06,0.0,7.0,,,,,,,40,24,57,626,402,906,1728,1091,2645,0.752719095691
48,2020-05-07,0.0,7.0,,,,,,,39,24,57,621,398,899,1767,1115,2701,0.754821853758
49,2020-05-08,0.0,7.0,,,,,,,39,24,56,617,394,891,1806,1139,2757,0.757355254806
50,2020-05-09,0.0,7.0,,,,,,,39,23,55,613,390,883,1845,1163,2811,0.760396161195
51,2020-05-10,0.0,7.0,,,,,,,38,23,55,608,385,875,1883,1186,2866,0.764030570571
52,2020-05-11,0.0,7.0,,,,,,,38,23,54,604,380,867,1921,1209,2920,0.7683526141179999
53,2020-05-12,0.0,7.0,,,,,,,38,23,54,599,375,859,1959,1233,2973,0.773462415808
54,2020-05-13,0.0,7.0,,,,,,,38,23,54,595,371,851,1997,1256,3026,0.779462449659
55,2020-05-14,0.0,7.0,,,,,,,38,22,53,591,367,843,2035,1279,3079,0.786452058558
56,2020-05-15,0.0,7.0,,,,,,,38,22,53,587,363,835,2073,1302,3131,0.794519921965
57,2020-05-16,0.0,7.0,,,,,,,38,22,53,584,360,828,2110,1325,3184,0.803734522183
58,2020-05-17,1.0,8.0,,,,,,,38,23,53,581,357,821,2148,1348,3236,0.814133083956
59,2020-05-18,2.0,10.0,,,,,,,38,23,53,578,355,815,2186,1371,3288,0.8257100290330001
60,2020-05-19,0.0,10.0,,,,,,,38,23,53,576,353,809,2224,1394,3340,0.838406599016
